k, beta 
5.35639e-01, 5.12174e-01 
1.36515e+01, 2.00000e-02 
9.10182e+00, 3.00000e-02 
6.82721e+00, 4.00000e-02 
5.46264e+00, 5.00000e-02 
4.55309e+00, 6.00000e-02 
3.90355e+00, 7.00000e-02 
3.41651e+00, 8.00000e-02 
3.03782e+00, 9.00000e-02 
2.73495e+00, 1.00000e-01 
2.48725e+00, 1.10000e-01 
2.28090e+00, 1.20000e-01 
2.10638e+00, 1.30000e-01 
1.95686e+00, 1.40000e-01 
1.82734e+00, 1.50000e-01 
1.71407e+00, 1.60000e-01 
1.61418e+00, 1.70000e-01 
1.52545e+00, 1.80000e-01 
1.44610e+00, 1.90000e-01 
1.37474e+00, 2.00000e-01 
1.31023e+00, 2.10000e-01 
1.25162e+00, 2.20000e-01 
1.19815e+00, 2.30000e-01 
1.14917e+00, 2.40000e-01 
1.10415e+00, 2.50000e-01 
1.06264e+00, 2.60000e-01 
1.02423e+00, 2.70000e-01 
9.88603e-01, 2.80000e-01 
9.55465e-01, 2.90000e-01 
9.24569e-01, 3.00000e-01 
8.95698e-01, 3.10000e-01 
8.68661e-01, 3.20000e-01 
8.43292e-01, 3.30000e-01 
8.19444e-01, 3.40000e-01 
7.96986e-01, 3.50000e-01 
7.75803e-01, 3.60000e-01 
7.55791e-01, 3.70000e-01 
7.36858e-01, 3.80000e-01 
7.18920e-01, 3.90000e-01 
7.01904e-01, 4.00000e-01 
6.85742e-01, 4.10000e-01 
6.70372e-01, 4.20000e-01 
6.55739e-01, 4.30000e-01 
6.41794e-01, 4.40000e-01 
6.28490e-01, 4.50000e-01 
6.15785e-01, 4.60000e-01 
6.03642e-01, 4.70000e-01 
5.92025e-01, 4.80000e-01 
5.80902e-01, 4.90000e-01 
5.70243e-01, 5.00000e-01 
5.60021e-01, 5.10000e-01 
5.50211e-01, 5.20000e-01 
5.40789e-01, 5.30000e-01 
5.31734e-01, 5.40000e-01 
5.23026e-01, 5.50000e-01 
5.14647e-01, 5.60000e-01 
5.06578e-01, 5.70000e-01 
4.98805e-01, 5.80000e-01 
4.91311e-01, 5.90000e-01 
4.84083e-01, 6.00000e-01 
4.77108e-01, 6.10000e-01 
4.70374e-01, 6.20000e-01 
4.63869e-01, 6.30000e-01 
4.57582e-01, 6.40000e-01 
4.51504e-01, 6.50000e-01 
4.45624e-01, 6.60000e-01 
4.39935e-01, 6.70000e-01 
4.34427e-01, 6.80000e-01 
4.29093e-01, 6.90000e-01 
4.23925e-01, 7.00000e-01 
4.18916e-01, 7.10000e-01 
4.14060e-01, 7.20000e-01 
4.09350e-01, 7.30000e-01 
4.04781e-01, 7.40000e-01 
4.00346e-01, 7.50000e-01 
3.96041e-01, 7.60000e-01 
3.91860e-01, 7.70000e-01 
3.87798e-01, 7.80000e-01 
3.83852e-01, 7.90000e-01 
3.80017e-01, 8.00000e-01 
3.76288e-01, 8.10000e-01 
3.72662e-01, 8.20000e-01 
3.69135e-01, 8.30000e-01 
3.65704e-01, 8.40000e-01 
3.62365e-01, 8.50000e-01 
3.59114e-01, 8.60000e-01 
3.55950e-01, 8.70000e-01 
3.52868e-01, 8.80000e-01 
3.49867e-01, 8.90000e-01 
3.46943e-01, 9.00000e-01 
3.44094e-01, 9.10000e-01 
3.41317e-01, 9.20000e-01 
3.38611e-01, 9.30000e-01 
3.35972e-01, 9.40000e-01 
3.33399e-01, 9.50000e-01 
3.30890e-01, 9.60000e-01 
3.28443e-01, 9.70000e-01 
3.26055e-01, 9.80000e-01 
3.23726e-01, 9.90000e-01 
3.21453e-01, 1.00000e+00 
3.19234e-01, 1.01000e+00 
3.17068e-01, 1.02000e+00 
3.14954e-01, 1.03000e+00 
3.12890e-01, 1.04000e+00 
3.10874e-01, 1.05000e+00 
3.08906e-01, 1.06000e+00 
3.06983e-01, 1.07000e+00 
3.05105e-01, 1.08000e+00 
3.03270e-01, 1.09000e+00 
3.01478e-01, 1.10000e+00 
2.99726e-01, 1.11000e+00 
2.98014e-01, 1.12000e+00 
2.96342e-01, 1.13000e+00 
2.94707e-01, 1.14000e+00 
2.93109e-01, 1.15000e+00 
2.91546e-01, 1.16000e+00 
2.90019e-01, 1.17000e+00 
2.88526e-01, 1.18000e+00 
2.87066e-01, 1.19000e+00 
2.85639e-01, 1.20000e+00 
2.84243e-01, 1.21000e+00 
2.82878e-01, 1.22000e+00 
2.81543e-01, 1.23000e+00 
2.80238e-01, 1.24000e+00 
2.78961e-01, 1.25000e+00 
2.77712e-01, 1.26000e+00 
2.76490e-01, 1.27000e+00 
2.75295e-01, 1.28000e+00 
2.74126e-01, 1.29000e+00 
2.72982e-01, 1.30000e+00 
2.71864e-01, 1.31000e+00 
2.70769e-01, 1.32000e+00 
2.69699e-01, 1.33000e+00 
2.68651e-01, 1.34000e+00 
2.67626e-01, 1.35000e+00 
