k, beta 
2.35968e-02, 9.68850e+00 
2.76886e-02, 2.00000e-02 
1.87820e-02, 3.00000e-02 
1.44256e-02, 4.00000e-02 
1.18893e-02, 5.00000e-02 
1.02630e-02, 6.00000e-02 
9.15668e-03, 7.00000e-02 
8.37540e-03, 8.00000e-02 
7.81081e-03, 9.00000e-02 
7.39788e-03, 1.00000e-01 
7.09526e-03, 1.10000e-01 
6.87538e-03, 1.20000e-01 
6.71913e-03, 1.30000e-01 
6.61288e-03, 1.40000e-01 
6.54664e-03, 1.50000e-01 
6.51290e-03, 1.60000e-01 
6.50592e-03, 1.70000e-01 
6.52125e-03, 1.80000e-01 
6.55536e-03, 1.90000e-01 
6.60543e-03, 2.00000e-01 
6.66919e-03, 2.10000e-01 
6.74477e-03, 2.20000e-01 
6.83063e-03, 2.30000e-01 
6.92548e-03, 2.40000e-01 
7.02824e-03, 2.50000e-01 
7.13800e-03, 2.60000e-01 
7.25399e-03, 2.70000e-01 
7.37553e-03, 2.80000e-01 
7.50205e-03, 2.90000e-01 
7.63306e-03, 3.00000e-01 
7.76811e-03, 3.10000e-01 
7.90684e-03, 3.20000e-01 
8.04890e-03, 3.30000e-01 
8.19400e-03, 3.40000e-01 
8.34188e-03, 3.50000e-01 
8.49231e-03, 3.60000e-01 
8.64508e-03, 3.70000e-01 
8.80001e-03, 3.80000e-01 
8.95694e-03, 3.90000e-01 
9.11570e-03, 4.00000e-01 
9.27617e-03, 4.10000e-01 
9.43823e-03, 4.20000e-01 
9.60176e-03, 4.30000e-01 
9.76667e-03, 4.40000e-01 
9.93286e-03, 4.50000e-01 
1.01002e-02, 4.60000e-01 
1.02688e-02, 4.70000e-01 
1.04383e-02, 4.80000e-01 
1.06089e-02, 4.90000e-01 
1.07804e-02, 5.00000e-01 
1.09527e-02, 5.10000e-01 
1.11259e-02, 5.20000e-01 
1.12998e-02, 5.30000e-01 
1.14745e-02, 5.40000e-01 
1.16499e-02, 5.50000e-01 
1.18259e-02, 5.60000e-01 
1.20026e-02, 5.70000e-01 
1.21799e-02, 5.80000e-01 
1.23577e-02, 5.90000e-01 
1.25360e-02, 6.00000e-01 
1.27149e-02, 6.10000e-01 
1.28942e-02, 6.20000e-01 
1.30740e-02, 6.30000e-01 
1.32542e-02, 6.40000e-01 
1.34348e-02, 6.50000e-01 
1.36159e-02, 6.60000e-01 
1.37973e-02, 6.70000e-01 
1.39791e-02, 6.80000e-01 
1.41612e-02, 6.90000e-01 
1.43437e-02, 7.00000e-01 
1.45264e-02, 7.10000e-01 
1.47095e-02, 7.20000e-01 
1.48929e-02, 7.30000e-01 
1.50766e-02, 7.40000e-01 
1.52605e-02, 7.50000e-01 
1.54447e-02, 7.60000e-01 
1.56291e-02, 7.70000e-01 
1.58138e-02, 7.80000e-01 
1.59987e-02, 7.90000e-01 
1.61838e-02, 8.00000e-01 
1.63692e-02, 8.10000e-01 
1.65547e-02, 8.20000e-01 
1.67404e-02, 8.30000e-01 
1.69264e-02, 8.40000e-01 
1.71125e-02, 8.50000e-01 
1.72988e-02, 8.60000e-01 
1.74853e-02, 8.70000e-01 
1.76719e-02, 8.80000e-01 
1.78587e-02, 8.90000e-01 
1.80456e-02, 9.00000e-01 
1.82327e-02, 9.10000e-01 
1.84200e-02, 9.20000e-01 
1.86074e-02, 9.30000e-01 
1.87949e-02, 9.40000e-01 
1.89825e-02, 9.50000e-01 
1.91703e-02, 9.60000e-01 
1.93582e-02, 9.70000e-01 
1.95462e-02, 9.80000e-01 
1.97344e-02, 9.90000e-01 
1.99226e-02, 1.00000e+00 
2.01110e-02, 1.01000e+00 
2.02995e-02, 1.02000e+00 
2.04880e-02, 1.03000e+00 
2.06767e-02, 1.04000e+00 
2.08655e-02, 1.05000e+00 
2.10543e-02, 1.06000e+00 
2.12433e-02, 1.07000e+00 
2.14323e-02, 1.08000e+00 
2.16215e-02, 1.09000e+00 
2.18107e-02, 1.10000e+00 
2.20000e-02, 1.11000e+00 
2.21893e-02, 1.12000e+00 
2.23788e-02, 1.13000e+00 
2.25683e-02, 1.14000e+00 
2.27579e-02, 1.15000e+00 
2.29476e-02, 1.16000e+00 
2.31373e-02, 1.17000e+00 
2.33271e-02, 1.18000e+00 
2.35170e-02, 1.19000e+00 
2.37070e-02, 1.20000e+00 
2.38970e-02, 1.21000e+00 
2.40870e-02, 1.22000e+00 
2.42772e-02, 1.23000e+00 
2.44673e-02, 1.24000e+00 
2.46576e-02, 1.25000e+00 
2.48479e-02, 1.26000e+00 
2.50382e-02, 1.27000e+00 
2.52286e-02, 1.28000e+00 
2.54191e-02, 1.29000e+00 
2.56096e-02, 1.30000e+00 
2.58002e-02, 1.31000e+00 
2.59908e-02, 1.32000e+00 
2.61814e-02, 1.33000e+00 
2.63721e-02, 1.34000e+00 
2.65629e-02, 1.35000e+00 
2.67537e-02, 1.36000e+00 
2.69445e-02, 1.37000e+00 
2.71354e-02, 1.38000e+00 
2.73263e-02, 1.39000e+00 
2.75173e-02, 1.40000e+00 
2.77083e-02, 1.41000e+00 
2.78993e-02, 1.42000e+00 
2.80904e-02, 1.43000e+00 
2.82815e-02, 1.44000e+00 
2.84727e-02, 1.45000e+00 
2.86638e-02, 1.46000e+00 
2.88551e-02, 1.47000e+00 
2.90463e-02, 1.48000e+00 
2.92376e-02, 1.49000e+00 
2.94289e-02, 1.50000e+00 
2.96203e-02, 1.51000e+00 
2.98117e-02, 1.52000e+00 
3.00031e-02, 1.53000e+00 
3.01945e-02, 1.54000e+00 
3.03860e-02, 1.55000e+00 
3.05775e-02, 1.56000e+00 
3.07691e-02, 1.57000e+00 
3.09606e-02, 1.58000e+00 
3.11522e-02, 1.59000e+00 
3.13439e-02, 1.60000e+00 
3.15355e-02, 1.61000e+00 
3.17272e-02, 1.62000e+00 
3.19189e-02, 1.63000e+00 
3.21106e-02, 1.64000e+00 
3.23023e-02, 1.65000e+00 
3.24941e-02, 1.66000e+00 
3.26859e-02, 1.67000e+00 
3.28777e-02, 1.68000e+00 
3.30696e-02, 1.69000e+00 
3.32614e-02, 1.70000e+00 
3.34533e-02, 1.71000e+00 
3.36452e-02, 1.72000e+00 
3.38372e-02, 1.73000e+00 
3.40291e-02, 1.74000e+00 
3.42211e-02, 1.75000e+00 
3.44131e-02, 1.76000e+00 
3.46051e-02, 1.77000e+00 
3.47971e-02, 1.78000e+00 
3.49892e-02, 1.79000e+00 
3.51813e-02, 1.80000e+00 
3.53733e-02, 1.81000e+00 
3.55655e-02, 1.82000e+00 
3.57576e-02, 1.83000e+00 
3.59497e-02, 1.84000e+00 
3.61419e-02, 1.85000e+00 
3.63341e-02, 1.86000e+00 
3.65263e-02, 1.87000e+00 
3.67185e-02, 1.88000e+00 
3.69107e-02, 1.89000e+00 
3.71030e-02, 1.90000e+00 
3.72952e-02, 1.91000e+00 
3.74875e-02, 1.92000e+00 
3.76798e-02, 1.93000e+00 
3.78721e-02, 1.94000e+00 
3.80644e-02, 1.95000e+00 
3.82568e-02, 1.96000e+00 
3.84491e-02, 1.97000e+00 
3.86415e-02, 1.98000e+00 
3.88339e-02, 1.99000e+00 
3.90262e-02, 2.00000e+00 
3.92187e-02, 2.01000e+00 
3.94111e-02, 2.02000e+00 
3.96035e-02, 2.03000e+00 
3.97960e-02, 2.04000e+00 
3.99884e-02, 2.05000e+00 
4.01809e-02, 2.06000e+00 
4.03734e-02, 2.07000e+00 
4.05659e-02, 2.08000e+00 
4.07584e-02, 2.09000e+00 
4.09509e-02, 2.10000e+00 
4.11434e-02, 2.11000e+00 
4.13360e-02, 2.12000e+00 
4.15285e-02, 2.13000e+00 
4.17211e-02, 2.14000e+00 
4.19137e-02, 2.15000e+00 
4.21063e-02, 2.16000e+00 
4.22989e-02, 2.17000e+00 
4.24915e-02, 2.18000e+00 
4.26841e-02, 2.19000e+00 
4.28767e-02, 2.20000e+00 
4.30694e-02, 2.21000e+00 
4.32620e-02, 2.22000e+00 
4.34547e-02, 2.23000e+00 
4.36474e-02, 2.24000e+00 
4.38401e-02, 2.25000e+00 
4.40328e-02, 2.26000e+00 
4.42255e-02, 2.27000e+00 
4.44182e-02, 2.28000e+00 
4.46109e-02, 2.29000e+00 
4.48036e-02, 2.30000e+00 
4.49964e-02, 2.31000e+00 
4.51891e-02, 2.32000e+00 
4.53819e-02, 2.33000e+00 
4.55746e-02, 2.34000e+00 
4.57674e-02, 2.35000e+00 
4.59602e-02, 2.36000e+00 
4.61530e-02, 2.37000e+00 
4.63458e-02, 2.38000e+00 
4.65386e-02, 2.39000e+00 
4.67314e-02, 2.40000e+00 
4.69242e-02, 2.41000e+00 
4.71170e-02, 2.42000e+00 
4.73099e-02, 2.43000e+00 
4.75027e-02, 2.44000e+00 
4.76956e-02, 2.45000e+00 
4.78884e-02, 2.46000e+00 
4.80813e-02, 2.47000e+00 
4.82742e-02, 2.48000e+00 
4.84671e-02, 2.49000e+00 
4.86600e-02, 2.50000e+00 
4.88528e-02, 2.51000e+00 
4.90458e-02, 2.52000e+00 
4.92387e-02, 2.53000e+00 
4.94316e-02, 2.54000e+00 
4.96245e-02, 2.55000e+00 
4.98174e-02, 2.56000e+00 
5.00104e-02, 2.57000e+00 
5.02033e-02, 2.58000e+00 
5.03963e-02, 2.59000e+00 
5.05892e-02, 2.60000e+00 
5.07822e-02, 2.61000e+00 
5.09751e-02, 2.62000e+00 
5.11681e-02, 2.63000e+00 
5.13611e-02, 2.64000e+00 
5.15541e-02, 2.65000e+00 
5.17471e-02, 2.66000e+00 
5.19401e-02, 2.67000e+00 
5.21331e-02, 2.68000e+00 
5.23261e-02, 2.69000e+00 
5.25191e-02, 2.70000e+00 
5.27121e-02, 2.71000e+00 
5.29051e-02, 2.72000e+00 
5.30982e-02, 2.73000e+00 
5.32912e-02, 2.74000e+00 
5.34843e-02, 2.75000e+00 
5.36773e-02, 2.76000e+00 
5.38703e-02, 2.77000e+00 
5.40634e-02, 2.78000e+00 
5.42565e-02, 2.79000e+00 
5.44495e-02, 2.80000e+00 
5.46426e-02, 2.81000e+00 
5.48357e-02, 2.82000e+00 
5.50288e-02, 2.83000e+00 
5.52219e-02, 2.84000e+00 
5.54149e-02, 2.85000e+00 
5.56080e-02, 2.86000e+00 
5.58011e-02, 2.87000e+00 
5.59942e-02, 2.88000e+00 
5.61874e-02, 2.89000e+00 
5.63805e-02, 2.90000e+00 
5.65736e-02, 2.91000e+00 
5.67667e-02, 2.92000e+00 
5.69598e-02, 2.93000e+00 
5.71530e-02, 2.94000e+00 
5.73461e-02, 2.95000e+00 
5.75393e-02, 2.96000e+00 
5.77324e-02, 2.97000e+00 
5.79255e-02, 2.98000e+00 
5.81187e-02, 2.99000e+00 
5.83119e-02, 3.00000e+00 
5.85050e-02, 3.01000e+00 
5.86982e-02, 3.02000e+00 
5.88914e-02, 3.03000e+00 
5.90845e-02, 3.04000e+00 
5.92777e-02, 3.05000e+00 
5.94709e-02, 3.06000e+00 
5.96641e-02, 3.07000e+00 
5.98573e-02, 3.08000e+00 
6.00505e-02, 3.09000e+00 
6.02436e-02, 3.10000e+00 
6.04368e-02, 3.11000e+00 
6.06301e-02, 3.12000e+00 
6.08233e-02, 3.13000e+00 
6.10165e-02, 3.14000e+00 
6.12097e-02, 3.15000e+00 
6.14029e-02, 3.16000e+00 
6.15961e-02, 3.17000e+00 
6.17893e-02, 3.18000e+00 
6.19826e-02, 3.19000e+00 
6.21758e-02, 3.20000e+00 
6.23690e-02, 3.21000e+00 
6.25623e-02, 3.22000e+00 
6.27555e-02, 3.23000e+00 
6.29488e-02, 3.24000e+00 
6.31420e-02, 3.25000e+00 
6.33353e-02, 3.26000e+00 
6.35285e-02, 3.27000e+00 
6.37218e-02, 3.28000e+00 
6.39150e-02, 3.29000e+00 
6.41083e-02, 3.30000e+00 
6.43016e-02, 3.31000e+00 
6.44948e-02, 3.32000e+00 
6.46881e-02, 3.33000e+00 
6.48814e-02, 3.34000e+00 
6.50747e-02, 3.35000e+00 
6.52679e-02, 3.36000e+00 
6.54612e-02, 3.37000e+00 
6.56545e-02, 3.38000e+00 
6.58478e-02, 3.39000e+00 
6.60411e-02, 3.40000e+00 
6.62344e-02, 3.41000e+00 
6.64277e-02, 3.42000e+00 
6.66210e-02, 3.43000e+00 
6.68143e-02, 3.44000e+00 
6.70076e-02, 3.45000e+00 
6.72009e-02, 3.46000e+00 
6.73942e-02, 3.47000e+00 
6.75875e-02, 3.48000e+00 
6.77808e-02, 3.49000e+00 
6.79742e-02, 3.50000e+00 
6.81675e-02, 3.51000e+00 
6.83608e-02, 3.52000e+00 
6.85541e-02, 3.53000e+00 
6.87475e-02, 3.54000e+00 
6.89408e-02, 3.55000e+00 
6.91341e-02, 3.56000e+00 
6.93275e-02, 3.57000e+00 
6.95208e-02, 3.58000e+00 
6.97142e-02, 3.59000e+00 
6.99075e-02, 3.60000e+00 
7.01008e-02, 3.61000e+00 
7.02942e-02, 3.62000e+00 
7.04875e-02, 3.63000e+00 
7.06809e-02, 3.64000e+00 
7.08742e-02, 3.65000e+00 
7.10676e-02, 3.66000e+00 
7.12610e-02, 3.67000e+00 
7.14543e-02, 3.68000e+00 
7.16477e-02, 3.69000e+00 
7.18411e-02, 3.70000e+00 
7.20344e-02, 3.71000e+00 
7.22278e-02, 3.72000e+00 
7.24212e-02, 3.73000e+00 
7.26145e-02, 3.74000e+00 
7.28079e-02, 3.75000e+00 
7.30013e-02, 3.76000e+00 
7.31947e-02, 3.77000e+00 
7.33881e-02, 3.78000e+00 
7.35814e-02, 3.79000e+00 
7.37748e-02, 3.80000e+00 
7.39682e-02, 3.81000e+00 
7.41616e-02, 3.82000e+00 
7.43550e-02, 3.83000e+00 
7.45484e-02, 3.84000e+00 
7.47418e-02, 3.85000e+00 
7.49352e-02, 3.86000e+00 
7.51286e-02, 3.87000e+00 
7.53220e-02, 3.88000e+00 
7.55154e-02, 3.89000e+00 
7.57088e-02, 3.90000e+00 
7.59022e-02, 3.91000e+00 
7.60956e-02, 3.92000e+00 
7.62890e-02, 3.93000e+00 
7.64825e-02, 3.94000e+00 
7.66759e-02, 3.95000e+00 
7.68693e-02, 3.96000e+00 
7.70627e-02, 3.97000e+00 
7.72561e-02, 3.98000e+00 
7.74495e-02, 3.99000e+00 
7.76430e-02, 4.00000e+00 
7.78364e-02, 4.01000e+00 
7.80298e-02, 4.02000e+00 
7.82233e-02, 4.03000e+00 
7.84167e-02, 4.04000e+00 
7.86101e-02, 4.05000e+00 
7.88036e-02, 4.06000e+00 
7.89970e-02, 4.07000e+00 
7.91904e-02, 4.08000e+00 
7.93839e-02, 4.09000e+00 
7.95773e-02, 4.10000e+00 
7.97707e-02, 4.11000e+00 
7.99642e-02, 4.12000e+00 
8.01576e-02, 4.13000e+00 
8.03511e-02, 4.14000e+00 
8.05445e-02, 4.15000e+00 
8.07380e-02, 4.16000e+00 
8.09314e-02, 4.17000e+00 
8.11249e-02, 4.18000e+00 
8.13183e-02, 4.19000e+00 
8.15118e-02, 4.20000e+00 
8.17053e-02, 4.21000e+00 
8.18987e-02, 4.22000e+00 
8.20922e-02, 4.23000e+00 
8.22856e-02, 4.24000e+00 
8.24791e-02, 4.25000e+00 
8.26726e-02, 4.26000e+00 
8.28660e-02, 4.27000e+00 
8.30595e-02, 4.28000e+00 
8.32530e-02, 4.29000e+00 
8.34464e-02, 4.30000e+00 
8.36399e-02, 4.31000e+00 
8.38334e-02, 4.32000e+00 
8.40269e-02, 4.33000e+00 
8.42203e-02, 4.34000e+00 
8.44138e-02, 4.35000e+00 
8.46073e-02, 4.36000e+00 
8.48008e-02, 4.37000e+00 
8.49942e-02, 4.38000e+00 
8.51877e-02, 4.39000e+00 
8.53812e-02, 4.40000e+00 
8.55747e-02, 4.41000e+00 
8.57682e-02, 4.42000e+00 
8.59617e-02, 4.43000e+00 
8.61552e-02, 4.44000e+00 
8.63486e-02, 4.45000e+00 
8.65421e-02, 4.46000e+00 
8.67356e-02, 4.47000e+00 
8.69291e-02, 4.48000e+00 
8.71226e-02, 4.49000e+00 
8.73161e-02, 4.50000e+00 
8.75096e-02, 4.51000e+00 
8.77031e-02, 4.52000e+00 
8.78966e-02, 4.53000e+00 
8.80901e-02, 4.54000e+00 
8.82836e-02, 4.55000e+00 
8.84771e-02, 4.56000e+00 
8.86706e-02, 4.57000e+00 
8.88641e-02, 4.58000e+00 
8.90576e-02, 4.59000e+00 
8.92511e-02, 4.60000e+00 
8.94446e-02, 4.61000e+00 
8.96382e-02, 4.62000e+00 
8.98317e-02, 4.63000e+00 
9.00252e-02, 4.64000e+00 
9.02187e-02, 4.65000e+00 
9.04122e-02, 4.66000e+00 
9.06057e-02, 4.67000e+00 
9.07992e-02, 4.68000e+00 
9.09928e-02, 4.69000e+00 
9.11863e-02, 4.70000e+00 
9.13798e-02, 4.71000e+00 
9.15733e-02, 4.72000e+00 
9.17668e-02, 4.73000e+00 
9.19604e-02, 4.74000e+00 
9.21539e-02, 4.75000e+00 
9.23474e-02, 4.76000e+00 
9.25409e-02, 4.77000e+00 
9.27345e-02, 4.78000e+00 
9.29280e-02, 4.79000e+00 
9.31215e-02, 4.80000e+00 
9.33150e-02, 4.81000e+00 
9.35086e-02, 4.82000e+00 
9.37021e-02, 4.83000e+00 
9.38956e-02, 4.84000e+00 
9.40892e-02, 4.85000e+00 
9.42827e-02, 4.86000e+00 
9.44762e-02, 4.87000e+00 
9.46698e-02, 4.88000e+00 
9.48633e-02, 4.89000e+00 
9.50569e-02, 4.90000e+00 
9.52504e-02, 4.91000e+00 
9.54439e-02, 4.92000e+00 
9.56375e-02, 4.93000e+00 
9.58310e-02, 4.94000e+00 
9.60246e-02, 4.95000e+00 
9.62181e-02, 4.96000e+00 
9.64116e-02, 4.97000e+00 
9.66052e-02, 4.98000e+00 
9.67987e-02, 4.99000e+00 
9.69923e-02, 5.00000e+00 
9.71858e-02, 5.01000e+00 
9.73794e-02, 5.02000e+00 
9.75729e-02, 5.03000e+00 
9.77665e-02, 5.04000e+00 
9.79600e-02, 5.05000e+00 
9.81536e-02, 5.06000e+00 
9.83471e-02, 5.07000e+00 
9.85407e-02, 5.08000e+00 
9.87343e-02, 5.09000e+00 
9.89278e-02, 5.10000e+00 
9.91214e-02, 5.11000e+00 
9.93149e-02, 5.12000e+00 
9.95085e-02, 5.13000e+00 
9.97020e-02, 5.14000e+00 
9.98956e-02, 5.15000e+00 
1.00089e-01, 5.16000e+00 
1.00283e-01, 5.17000e+00 
1.00476e-01, 5.18000e+00 
1.00670e-01, 5.19000e+00 
1.00863e-01, 5.20000e+00 
1.01057e-01, 5.21000e+00 
1.01251e-01, 5.22000e+00 
1.01444e-01, 5.23000e+00 
1.01638e-01, 5.24000e+00 
1.01831e-01, 5.25000e+00 
1.02025e-01, 5.26000e+00 
1.02218e-01, 5.27000e+00 
1.02412e-01, 5.28000e+00 
1.02606e-01, 5.29000e+00 
1.02799e-01, 5.30000e+00 
1.02993e-01, 5.31000e+00 
1.03186e-01, 5.32000e+00 
1.03380e-01, 5.33000e+00 
1.03573e-01, 5.34000e+00 
1.03767e-01, 5.35000e+00 
1.03961e-01, 5.36000e+00 
1.04154e-01, 5.37000e+00 
1.04348e-01, 5.38000e+00 
1.04541e-01, 5.39000e+00 
1.04735e-01, 5.40000e+00 
1.04928e-01, 5.41000e+00 
1.05122e-01, 5.42000e+00 
1.05316e-01, 5.43000e+00 
1.05509e-01, 5.44000e+00 
1.05703e-01, 5.45000e+00 
1.05896e-01, 5.46000e+00 
1.06090e-01, 5.47000e+00 
1.06284e-01, 5.48000e+00 
1.06477e-01, 5.49000e+00 
1.06671e-01, 5.50000e+00 
1.06864e-01, 5.51000e+00 
1.07058e-01, 5.52000e+00 
1.07251e-01, 5.53000e+00 
1.07445e-01, 5.54000e+00 
1.07639e-01, 5.55000e+00 
1.07832e-01, 5.56000e+00 
1.08026e-01, 5.57000e+00 
1.08219e-01, 5.58000e+00 
1.08413e-01, 5.59000e+00 
1.08607e-01, 5.60000e+00 
1.08800e-01, 5.61000e+00 
1.08994e-01, 5.62000e+00 
1.09187e-01, 5.63000e+00 
1.09381e-01, 5.64000e+00 
1.09575e-01, 5.65000e+00 
1.09768e-01, 5.66000e+00 
1.09962e-01, 5.67000e+00 
1.10155e-01, 5.68000e+00 
1.10349e-01, 5.69000e+00 
1.10543e-01, 5.70000e+00 
1.10736e-01, 5.71000e+00 
1.10930e-01, 5.72000e+00 
1.11123e-01, 5.73000e+00 
1.11317e-01, 5.74000e+00 
1.11511e-01, 5.75000e+00 
1.11704e-01, 5.76000e+00 
1.11898e-01, 5.77000e+00 
1.12091e-01, 5.78000e+00 
1.12285e-01, 5.79000e+00 
1.12479e-01, 5.80000e+00 
1.12672e-01, 5.81000e+00 
1.12866e-01, 5.82000e+00 
1.13059e-01, 5.83000e+00 
1.13253e-01, 5.84000e+00 
1.13447e-01, 5.85000e+00 
1.13640e-01, 5.86000e+00 
1.13834e-01, 5.87000e+00 
1.14027e-01, 5.88000e+00 
1.14221e-01, 5.89000e+00 
1.14415e-01, 5.90000e+00 
1.14608e-01, 5.91000e+00 
1.14802e-01, 5.92000e+00 
1.14995e-01, 5.93000e+00 
1.15189e-01, 5.94000e+00 
1.15383e-01, 5.95000e+00 
1.15576e-01, 5.96000e+00 
1.15770e-01, 5.97000e+00 
1.15963e-01, 5.98000e+00 
1.16157e-01, 5.99000e+00 
1.16351e-01, 6.00000e+00 
1.16544e-01, 6.01000e+00 
1.16738e-01, 6.02000e+00 
1.16932e-01, 6.03000e+00 
1.17125e-01, 6.04000e+00 
1.17319e-01, 6.05000e+00 
1.17512e-01, 6.06000e+00 
1.17706e-01, 6.07000e+00 
1.17900e-01, 6.08000e+00 
1.18093e-01, 6.09000e+00 
1.18287e-01, 6.10000e+00 
1.18480e-01, 6.11000e+00 
1.18674e-01, 6.12000e+00 
1.18868e-01, 6.13000e+00 
1.19061e-01, 6.14000e+00 
1.19255e-01, 6.15000e+00 
1.19449e-01, 6.16000e+00 
1.19642e-01, 6.17000e+00 
1.19836e-01, 6.18000e+00 
1.20029e-01, 6.19000e+00 
1.20223e-01, 6.20000e+00 
1.20417e-01, 6.21000e+00 
1.20610e-01, 6.22000e+00 
1.20804e-01, 6.23000e+00 
1.20998e-01, 6.24000e+00 
1.21191e-01, 6.25000e+00 
1.21385e-01, 6.26000e+00 
1.21578e-01, 6.27000e+00 
1.21772e-01, 6.28000e+00 
1.21966e-01, 6.29000e+00 
1.22159e-01, 6.30000e+00 
1.22353e-01, 6.31000e+00 
1.22547e-01, 6.32000e+00 
1.22740e-01, 6.33000e+00 
1.22934e-01, 6.34000e+00 
1.23128e-01, 6.35000e+00 
1.23321e-01, 6.36000e+00 
1.23515e-01, 6.37000e+00 
1.23708e-01, 6.38000e+00 
1.23902e-01, 6.39000e+00 
1.24096e-01, 6.40000e+00 
1.24289e-01, 6.41000e+00 
1.24483e-01, 6.42000e+00 
1.24677e-01, 6.43000e+00 
