k,lhs,rhs
2.05719,-0.291125,0.0197342
2.0573,-0.29013,0.0193564
2.0574,-0.289131,0.0189891
2.05751,-0.288129,0.0186313
2.05762,-0.287123,0.0182827
2.05773,-0.286113,0.0179425
2.05784,-0.2851,0.0176103
2.05794,-0.284083,0.0172856
2.05805,-0.283063,0.0169679
2.05816,-0.28204,0.0166568
2.05827,-0.281012,0.0163519
2.05838,-0.279982,0.0160528
2.05849,-0.278947,0.0157592
2.05859,-0.27791,0.0154707
2.0587,-0.276869,0.0151871
2.05881,-0.275824,0.014908
2.05892,-0.274776,0.0146331
2.05903,-0.273724,0.0143623
2.05913,-0.27267,0.0140952
2.05924,-0.271611,0.0138317
2.05935,-0.27055,0.0135715
2.05946,-0.269485,0.0133143
2.05957,-0.268416,0.0130601
2.05967,-0.267344,0.0128085
2.05978,-0.266269,0.0125595
2.05989,-0.265191,0.0123128
2.06,-0.264109,0.0120683
2.06011,-0.263024,0.0118259
2.06021,-0.261936,0.0115853
2.06032,-0.260845,0.0113465
2.06043,-0.25975,0.0111093
2.06054,-0.258652,0.0108735
2.06065,-0.257551,0.010639
2.06076,-0.256446,0.0104058
2.06086,-0.255339,0.0101736
2.06097,-0.254228,0.00994245
2.06108,-0.253114,0.00971213
2.06119,-0.251997,0.00948255
2.0613,-0.250877,0.00925362
2.0614,-0.249753,0.00902522
2.06151,-0.248627,0.00879727
2.06162,-0.247497,0.00856965
2.06173,-0.246365,0.00834228
2.06184,-0.245229,0.00811506
2.06194,-0.24409,0.00788789
2.06205,-0.242948,0.00766069
2.06216,-0.241804,0.00743337
2.06227,-0.240656,0.00720583
2.06238,-0.239505,0.006978
2.06248,-0.238351,0.00674978
2.06259,-0.237195,0.00652109
2.0627,-0.236035,0.00629185
2.06281,-0.234872,0.00606197
2.06292,-0.233707,0.00583137
2.06303,-0.232538,0.00559996
2.06313,-0.231367,0.00536767
2.06324,-0.230193,0.0051344
2.06335,-0.229016,0.00490008
2.06346,-0.227836,0.00466463
2.06357,-0.226653,0.00442794
2.06367,-0.225468,0.00418995
2.06378,-0.224279,0.00395057
2.06389,-0.223088,0.00370971
2.064,-0.221894,0.00346729
2.06411,-0.220697,0.0032232
2.06421,-0.219498,0.00297738
2.06432,-0.218296,0.00272972
2.06443,-0.217091,0.00248014
2.06454,-0.215884,0.00222853
2.06465,-0.214673,0.00197481
2.06475,-0.21346,0.00171887
2.06486,-0.212245,0.00146062
2.06497,-0.211027,0.00119996
2.06508,-0.209806,0.000936772
2.06519,-0.208583,0.000670957
2.0653,-0.207357,0.000402404
2.0654,-0.206128,0.000130999
2.06551,-0.204897,-0.000143374
2.06562,-0.203663,-0.000420835
2.06573,-0.202427,-0.000701509
2.06584,-0.201188,-0.000985522
2.06594,-0.199947,-0.00127301
2.06605,-0.198703,-0.0015641
2.06616,-0.197457,-0.00185894
2.06627,-0.196209,-0.00215768
2.06638,-0.194957,-0.00246047
2.06648,-0.193704,-0.00276746
2.06659,-0.192448,-0.00307883
2.0667,-0.19119,-0.00339473
2.06681,-0.189929,-0.00371534
2.06692,-0.188666,-0.00404086
2.06702,-0.187401,-0.00437147
2.06713,-0.186133,-0.00470738
2.06724,-0.184863,-0.00504879
2.06735,-0.183591,-0.00539592
2.06746,-0.182316,-0.005749
2.06757,-0.181039,-0.00610828
2.06767,-0.17976,-0.00647399
2.06778,-0.178479,-0.00684641
2.06789,-0.177196,-0.00722582
2.068,-0.17591,-0.00761249
2.06811,-0.174622,-0.00800674
2.06821,-0.173332,-0.00840889
2.06832,-0.17204,-0.00881928
2.06843,-0.170745,-0.00923826
2.06854,-0.169449,-0.0096662
2.06865,-0.16815,-0.0101035
2.06875,-0.166849,-0.0105506
2.06886,-0.165546,-0.0110079
2.06897,-0.164242,-0.0114759
2.06908,-0.162935,-0.0119552
2.06919,-0.161626,-0.0124461
2.06929,-0.160315,-0.0129493
2.0694,-0.159002,-0.0134654
2.06951,-0.157687,-0.013995
2.06962,-0.15637,-0.0145388
2.06973,-0.155051,-0.0150975
2.06984,-0.153731,-0.0156719
2.06994,-0.152408,-0.0162627
2.07005,-0.151083,-0.016871
2.07016,-0.149757,-0.0174975
2.07027,-0.148429,-0.0181434
2.07038,-0.147099,-0.0188097
2.07048,-0.145767,-0.0194976
2.07059,-0.144433,-0.0202083
2.0707,-0.143097,-0.0209431
2.07081,-0.14176,-0.0217037
2.07092,-0.140421,-0.0224915
2.07102,-0.13908,-0.0233082
2.07113,-0.137737,-0.0241558
2.07124,-0.136393,-0.0250362
2.07135,-0.135047,-0.0259517
2.07146,-0.133699,-0.0269047
