k, beta 
2.14178e-01, 4.03697e+00 
2.27525e+00, 2.00000e-02 
1.51697e+00, 3.00000e-02 
1.13787e+00, 4.00000e-02 
9.10440e-01, 5.00000e-02 
7.58848e-01, 6.00000e-02 
6.50591e-01, 7.00000e-02 
5.69419e-01, 8.00000e-02 
5.06303e-01, 9.00000e-02 
4.55826e-01, 1.00000e-01 
4.14541e-01, 1.10000e-01 
3.80151e-01, 1.20000e-01 
3.51064e-01, 1.30000e-01 
3.26143e-01, 1.40000e-01 
3.04557e-01, 1.50000e-01 
2.85678e-01, 1.60000e-01 
2.69030e-01, 1.70000e-01 
2.54241e-01, 1.80000e-01 
2.41017e-01, 1.90000e-01 
2.29124e-01, 2.00000e-01 
2.18371e-01, 2.10000e-01 
2.08603e-01, 2.20000e-01 
1.99691e-01, 2.30000e-01 
1.91529e-01, 2.40000e-01 
1.84026e-01, 2.50000e-01 
1.77106e-01, 2.60000e-01 
1.70705e-01, 2.70000e-01 
1.64767e-01, 2.80000e-01 
1.59244e-01, 2.90000e-01 
1.54095e-01, 3.00000e-01 
1.49283e-01, 3.10000e-01 
1.44777e-01, 3.20000e-01 
1.40549e-01, 3.30000e-01 
1.36574e-01, 3.40000e-01 
1.32831e-01, 3.50000e-01 
1.29300e-01, 3.60000e-01 
1.25965e-01, 3.70000e-01 
1.22810e-01, 3.80000e-01 
1.19820e-01, 3.90000e-01 
1.16984e-01, 4.00000e-01 
1.14290e-01, 4.10000e-01 
1.11729e-01, 4.20000e-01 
1.09290e-01, 4.30000e-01 
1.06966e-01, 4.40000e-01 
1.04748e-01, 4.50000e-01 
1.02631e-01, 4.60000e-01 
1.00607e-01, 4.70000e-01 
9.86708e-02, 4.80000e-01 
9.68169e-02, 4.90000e-01 
9.50405e-02, 5.00000e-01 
9.33368e-02, 5.10000e-01 
9.17018e-02, 5.20000e-01 
9.01315e-02, 5.30000e-01 
8.86224e-02, 5.40000e-01 
8.71711e-02, 5.50000e-01 
8.57745e-02, 5.60000e-01 
8.44297e-02, 5.70000e-01 
8.31341e-02, 5.80000e-01 
8.18852e-02, 5.90000e-01 
8.06805e-02, 6.00000e-01 
7.95181e-02, 6.10000e-01 
7.83957e-02, 6.20000e-01 
7.73115e-02, 6.30000e-01 
7.62637e-02, 6.40000e-01 
7.52507e-02, 6.50000e-01 
7.42707e-02, 6.60000e-01 
7.33225e-02, 6.70000e-01 
7.24045e-02, 6.80000e-01 
7.15155e-02, 6.90000e-01 
7.06541e-02, 7.00000e-01 
6.98193e-02, 7.10000e-01 
6.90100e-02, 7.20000e-01 
6.82250e-02, 7.30000e-01 
6.74634e-02, 7.40000e-01 
6.67243e-02, 7.50000e-01 
6.60068e-02, 7.60000e-01 
6.53100e-02, 7.70000e-01 
6.46331e-02, 7.80000e-01 
6.39754e-02, 7.90000e-01 
6.33362e-02, 8.00000e-01 
6.27147e-02, 8.10000e-01 
6.21104e-02, 8.20000e-01 
6.15226e-02, 8.30000e-01 
6.09507e-02, 8.40000e-01 
6.03941e-02, 8.50000e-01 
5.98524e-02, 8.60000e-01 
5.93250e-02, 8.70000e-01 
5.88114e-02, 8.80000e-01 
5.83111e-02, 8.90000e-01 
5.78238e-02, 9.00000e-01 
5.73490e-02, 9.10000e-01 
5.68862e-02, 9.20000e-01 
5.64351e-02, 9.30000e-01 
5.59954e-02, 9.40000e-01 
5.55666e-02, 9.50000e-01 
5.51484e-02, 9.60000e-01 
5.47405e-02, 9.70000e-01 
5.43426e-02, 9.80000e-01 
5.39543e-02, 9.90000e-01 
5.35754e-02, 1.00000e+00 
5.32056e-02, 1.01000e+00 
5.28447e-02, 1.02000e+00 
5.24923e-02, 1.03000e+00 
5.21483e-02, 1.04000e+00 
5.18123e-02, 1.05000e+00 
5.14843e-02, 1.06000e+00 
5.11638e-02, 1.07000e+00 
5.08508e-02, 1.08000e+00 
5.05450e-02, 1.09000e+00 
5.02463e-02, 1.10000e+00 
4.99543e-02, 1.11000e+00 
4.96691e-02, 1.12000e+00 
4.93903e-02, 1.13000e+00 
4.91178e-02, 1.14000e+00 
4.88514e-02, 1.15000e+00 
4.85911e-02, 1.16000e+00 
4.83366e-02, 1.17000e+00 
4.80877e-02, 1.18000e+00 
4.78444e-02, 1.19000e+00 
4.76065e-02, 1.20000e+00 
4.73739e-02, 1.21000e+00 
4.71464e-02, 1.22000e+00 
4.69239e-02, 1.23000e+00 
4.67063e-02, 1.24000e+00 
4.64935e-02, 1.25000e+00 
4.62853e-02, 1.26000e+00 
4.60817e-02, 1.27000e+00 
4.58825e-02, 1.28000e+00 
4.56877e-02, 1.29000e+00 
4.54971e-02, 1.30000e+00 
4.53106e-02, 1.31000e+00 
4.51282e-02, 1.32000e+00 
4.49498e-02, 1.33000e+00 
4.47752e-02, 1.34000e+00 
4.46044e-02, 1.35000e+00 
4.44373e-02, 1.36000e+00 
4.42738e-02, 1.37000e+00 
4.41139e-02, 1.38000e+00 
4.39574e-02, 1.39000e+00 
4.38043e-02, 1.40000e+00 
4.36546e-02, 1.41000e+00 
4.35080e-02, 1.42000e+00 
4.33647e-02, 1.43000e+00 
4.32245e-02, 1.44000e+00 
4.30873e-02, 1.45000e+00 
4.29531e-02, 1.46000e+00 
4.28218e-02, 1.47000e+00 
4.26934e-02, 1.48000e+00 
4.25678e-02, 1.49000e+00 
4.24449e-02, 1.50000e+00 
4.23248e-02, 1.51000e+00 
4.22073e-02, 1.52000e+00 
4.20924e-02, 1.53000e+00 
4.19800e-02, 1.54000e+00 
4.18701e-02, 1.55000e+00 
4.17626e-02, 1.56000e+00 
4.16576e-02, 1.57000e+00 
4.15549e-02, 1.58000e+00 
4.14545e-02, 1.59000e+00 
4.13564e-02, 1.60000e+00 
4.12605e-02, 1.61000e+00 
4.11668e-02, 1.62000e+00 
4.10752e-02, 1.63000e+00 
4.09857e-02, 1.64000e+00 
4.08983e-02, 1.65000e+00 
4.08129e-02, 1.66000e+00 
4.07295e-02, 1.67000e+00 
4.06481e-02, 1.68000e+00 
4.05685e-02, 1.69000e+00 
4.04909e-02, 1.70000e+00 
4.04151e-02, 1.71000e+00 
4.03411e-02, 1.72000e+00 
4.02689e-02, 1.73000e+00 
4.01985e-02, 1.74000e+00 
4.01298e-02, 1.75000e+00 
4.00628e-02, 1.76000e+00 
3.99975e-02, 1.77000e+00 
3.99338e-02, 1.78000e+00 
3.98717e-02, 1.79000e+00 
3.98113e-02, 1.80000e+00 
3.97523e-02, 1.81000e+00 
3.96949e-02, 1.82000e+00 
3.96391e-02, 1.83000e+00 
3.95847e-02, 1.84000e+00 
3.95317e-02, 1.85000e+00 
3.94802e-02, 1.86000e+00 
3.94301e-02, 1.87000e+00 
3.93815e-02, 1.88000e+00 
3.93341e-02, 1.89000e+00 
3.92882e-02, 1.90000e+00 
3.92435e-02, 1.91000e+00 
3.92002e-02, 1.92000e+00 
3.91581e-02, 1.93000e+00 
3.91173e-02, 1.94000e+00 
3.90778e-02, 1.95000e+00 
