k, beta 
5.46032e+01, 9.69474e+00 
2.73030e+01, 2.00000e-02 
1.82036e+01, 3.00000e-02 
1.36544e+01, 4.00000e-02 
1.09253e+01, 5.00000e-02 
9.10618e+00, 6.00000e-02 
7.80710e+00, 7.00000e-02 
6.83303e+00, 8.00000e-02 
6.07563e+00, 9.00000e-02 
5.46991e+00, 1.00000e-01 
4.97449e+00, 1.10000e-01 
4.56181e+00, 1.20000e-01 
4.21276e+00, 1.30000e-01 
3.91372e+00, 1.40000e-01 
3.65468e+00, 1.50000e-01 
3.42814e+00, 1.60000e-01 
3.22836e+00, 1.70000e-01 
3.05089e+00, 1.80000e-01 
2.89221e+00, 1.90000e-01 
2.74949e+00, 2.00000e-01 
2.62045e+00, 2.10000e-01 
2.50323e+00, 2.20000e-01 
2.39629e+00, 2.30000e-01 
2.29834e+00, 2.40000e-01 
2.20831e+00, 2.50000e-01 
2.12527e+00, 2.60000e-01 
2.04846e+00, 2.70000e-01 
1.97721e+00, 2.80000e-01 
1.91093e+00, 2.90000e-01 
1.84914e+00, 3.00000e-01 
1.79140e+00, 3.10000e-01 
1.73732e+00, 3.20000e-01 
1.68658e+00, 3.30000e-01 
1.63889e+00, 3.40000e-01 
1.59397e+00, 3.50000e-01 
1.55161e+00, 3.60000e-01 
1.51158e+00, 3.70000e-01 
1.47372e+00, 3.80000e-01 
1.43784e+00, 3.90000e-01 
1.40381e+00, 4.00000e-01 
1.37148e+00, 4.10000e-01 
1.34074e+00, 4.20000e-01 
1.31148e+00, 4.30000e-01 
1.28359e+00, 4.40000e-01 
1.25698e+00, 4.50000e-01 
1.23157e+00, 4.60000e-01 
1.20728e+00, 4.70000e-01 
1.18405e+00, 4.80000e-01 
1.16180e+00, 4.90000e-01 
1.14049e+00, 5.00000e-01 
1.12004e+00, 5.10000e-01 
1.10042e+00, 5.20000e-01 
1.08158e+00, 5.30000e-01 
1.06347e+00, 5.40000e-01 
1.04605e+00, 5.50000e-01 
1.02929e+00, 5.60000e-01 
1.01316e+00, 5.70000e-01 
9.97609e-01, 5.80000e-01 
9.82622e-01, 5.90000e-01 
9.68166e-01, 6.00000e-01 
9.54217e-01, 6.10000e-01 
9.40748e-01, 6.20000e-01 
9.27738e-01, 6.30000e-01 
9.15165e-01, 6.40000e-01 
9.03008e-01, 6.50000e-01 
8.91249e-01, 6.60000e-01 
8.79870e-01, 6.70000e-01 
8.68854e-01, 6.80000e-01 
8.58186e-01, 6.90000e-01 
8.47850e-01, 7.00000e-01 
8.37832e-01, 7.10000e-01 
8.28120e-01, 7.20000e-01 
8.18700e-01, 7.30000e-01 
8.09561e-01, 7.40000e-01 
8.00692e-01, 7.50000e-01 
7.92081e-01, 7.60000e-01 
7.83719e-01, 7.70000e-01 
7.75597e-01, 7.80000e-01 
7.67705e-01, 7.90000e-01 
7.60034e-01, 8.00000e-01 
7.52577e-01, 8.10000e-01 
7.45325e-01, 8.20000e-01 
7.38271e-01, 8.30000e-01 
7.31408e-01, 8.40000e-01 
7.24729e-01, 8.50000e-01 
7.18229e-01, 8.60000e-01 
7.11900e-01, 8.70000e-01 
7.05737e-01, 8.80000e-01 
6.99734e-01, 8.90000e-01 
6.93886e-01, 9.00000e-01 
6.88188e-01, 9.10000e-01 
6.82635e-01, 9.20000e-01 
6.77222e-01, 9.30000e-01 
6.71945e-01, 9.40000e-01 
6.66799e-01, 9.50000e-01 
6.61781e-01, 9.60000e-01 
6.56886e-01, 9.70000e-01 
6.52111e-01, 9.80000e-01 
6.47452e-01, 9.90000e-01 
6.42905e-01, 1.00000e+00 
6.38468e-01, 1.01000e+00 
6.34136e-01, 1.02000e+00 
6.29908e-01, 1.03000e+00 
6.25780e-01, 1.04000e+00 
6.21748e-01, 1.05000e+00 
6.17811e-01, 1.06000e+00 
6.13966e-01, 1.07000e+00 
6.10210e-01, 1.08000e+00 
6.06540e-01, 1.09000e+00 
6.02955e-01, 1.10000e+00 
5.99452e-01, 1.11000e+00 
5.96029e-01, 1.12000e+00 
5.92683e-01, 1.13000e+00 
5.89413e-01, 1.14000e+00 
5.86217e-01, 1.15000e+00 
5.83093e-01, 1.16000e+00 
5.80039e-01, 1.17000e+00 
5.77053e-01, 1.18000e+00 
5.74133e-01, 1.19000e+00 
5.71278e-01, 1.20000e+00 
5.68486e-01, 1.21000e+00 
5.65756e-01, 1.22000e+00 
5.63087e-01, 1.23000e+00 
5.60475e-01, 1.24000e+00 
5.57921e-01, 1.25000e+00 
5.55423e-01, 1.26000e+00 
5.52980e-01, 1.27000e+00 
5.50590e-01, 1.28000e+00 
5.48252e-01, 1.29000e+00 
5.45965e-01, 1.30000e+00 
