r(m), B_r(T), B_theta(T), B_z(T) 
0.00000e+00, 1.57127e+00, 1.57127e+00, -0.00000e+00 
2.50000e-03, 1.57127e+00, 1.57127e+00, -2.09635e-03 
5.00000e-03, 1.57126e+00, 1.57126e+00, -4.19270e-03 
7.50000e-03, 1.57126e+00, 1.57125e+00, -6.28903e-03 
1.00000e-02, 1.57124e+00, 1.57123e+00, -8.38533e-03 
1.25000e-02, 1.57123e+00, 1.57121e+00, -1.04816e-02 
1.50000e-02, 1.57121e+00, 1.57118e+00, -1.25778e-02 
1.75000e-02, 1.57119e+00, 1.57115e+00, -1.46740e-02 
2.00000e-02, 1.57116e+00, 1.57112e+00, -1.67701e-02 
2.25000e-02, 1.57113e+00, 1.57108e+00, -1.88662e-02 
2.50000e-02, 1.57110e+00, 1.57103e+00, -2.09622e-02 
2.75000e-02, 1.57106e+00, 1.57098e+00, -2.30581e-02 
3.00000e-02, 1.57102e+00, 1.57092e+00, -2.51539e-02 
3.25000e-02, 1.57098e+00, 1.57086e+00, -2.72496e-02 
3.50000e-02, 1.57094e+00, 1.57080e+00, -2.93452e-02 
3.75000e-02, 1.57089e+00, 1.57073e+00, -3.14407e-02 
4.00000e-02, 1.57083e+00, 1.57065e+00, -3.35361e-02 
4.25000e-02, 1.57078e+00, 1.57058e+00, -3.56313e-02 
4.50000e-02, 1.57072e+00, 1.57049e+00, -3.77264e-02 
4.75000e-02, 1.57065e+00, 1.57040e+00, -3.98213e-02 
5.00000e-02, 1.57059e+00, 1.57031e+00, -4.19161e-02 
5.25000e-02, 1.57052e+00, 1.57021e+00, -4.40107e-02 
5.50000e-02, 1.57044e+00, 1.57011e+00, -4.61052e-02 
5.75000e-02, 1.57037e+00, 1.57000e+00, -4.81995e-02 
6.00000e-02, 1.57029e+00, 1.56988e+00, -5.02935e-02 
6.25000e-02, 1.57020e+00, 1.56977e+00, -5.23874e-02 
6.50000e-02, 1.57012e+00, 1.56964e+00, -5.44811e-02 
6.75000e-02, 1.57003e+00, 1.56952e+00, -5.65746e-02 
7.00000e-02, 1.56993e+00, 1.56938e+00, -5.86678e-02 
7.25000e-02, 1.56983e+00, 1.56925e+00, -6.07608e-02 
7.50000e-02, 1.56973e+00, 1.56910e+00, -6.28536e-02 
7.75000e-02, 1.56963e+00, 1.56896e+00, -6.49461e-02 
8.00000e-02, 1.56952e+00, 1.56881e+00, -6.70384e-02 
8.25000e-02, 1.56941e+00, 1.56865e+00, -6.91304e-02 
8.50000e-02, 1.56930e+00, 1.56849e+00, -7.12221e-02 
8.75000e-02, 1.56918e+00, 1.56832e+00, -7.33136e-02 
9.00000e-02, 1.56906e+00, 1.56815e+00, -7.54047e-02 
9.25000e-02, 1.56893e+00, 1.56798e+00, -7.74956e-02 
9.50000e-02, 1.56880e+00, 1.56780e+00, -7.95861e-02 
9.75000e-02, 1.56867e+00, 1.56761e+00, -8.16764e-02 
1.00000e-01, 1.56854e+00, 1.56742e+00, -8.37663e-02 
1.02500e-01, 1.56840e+00, 1.56723e+00, -8.58559e-02 
1.05000e-01, 1.56826e+00, 1.56703e+00, -8.79452e-02 
1.07500e-01, 1.56811e+00, 1.56682e+00, -9.00341e-02 
1.10000e-01, 1.56796e+00, 1.56661e+00, -9.21227e-02 
1.12500e-01, 1.56781e+00, 1.56640e+00, -9.42109e-02 
