r(m), B_r(T), B_theta(T), B_z(T) 
0.00000e+00, 1.59540e+01, 1.59540e+01, -0.00000e+00 
2.50000e-03, 1.59508e+01, 1.59447e+01, -6.22403e-01 
5.00000e-03, 1.59413e+01, 1.59170e+01, -1.24408e+00 
7.50000e-03, 1.59255e+01, 1.58709e+01, -1.86430e+00 
1.00000e-02, 1.59033e+01, 1.58063e+01, -2.48235e+00 
1.25000e-02, 1.58748e+01, 1.57235e+01, -3.09750e+00 
1.50000e-02, 1.58401e+01, 1.56225e+01, -3.70904e+00 
1.75000e-02, 1.57991e+01, 1.55034e+01, -4.31626e+00 
2.00000e-02, 1.57519e+01, 1.53665e+01, -4.91844e+00 
2.25000e-02, 1.56985e+01, 1.52118e+01, -5.51489e+00 
2.50000e-02, 1.56390e+01, 1.50395e+01, -6.10491e+00 
2.75000e-02, 1.55734e+01, 1.48500e+01, -6.68783e+00 
3.00000e-02, 1.55017e+01, 1.46434e+01, -7.26296e+00 
3.25000e-02, 1.54241e+01, 1.44201e+01, -7.82964e+00 
3.50000e-02, 1.53405e+01, 1.41802e+01, -8.38722e+00 
3.75000e-02, 1.52511e+01, 1.39241e+01, -8.93505e+00 
4.00000e-02, 1.51559e+01, 1.36522e+01, -9.47250e+00 
4.25000e-02, 1.50549e+01, 1.33648e+01, -9.99896e+00 
4.50000e-02, 1.49484e+01, 1.30622e+01, -1.05138e+01 
4.75000e-02, 1.48363e+01, 1.27449e+01, -1.10165e+01 
5.00000e-02, 1.47187e+01, 1.24133e+01, -1.15064e+01 
5.25000e-02, 1.45958e+01, 1.20677e+01, -1.19831e+01 
5.50000e-02, 1.44676e+01, 1.17087e+01, -1.24458e+01 
5.75000e-02, 1.43343e+01, 1.13366e+01, -1.28942e+01 
6.00000e-02, 1.41959e+01, 1.09521e+01, -1.33278e+01 
6.25000e-02, 1.40525e+01, 1.05555e+01, -1.37460e+01 
6.50000e-02, 1.39042e+01, 1.01474e+01, -1.41484e+01 
6.75000e-02, 1.37513e+01, 9.72827e+00, -1.45345e+01 
7.00000e-02, 1.35937e+01, 9.29871e+00, -1.49039e+01 
7.25000e-02, 1.34316e+01, 8.85925e+00, -1.52563e+01 
7.50000e-02, 1.32652e+01, 8.41044e+00, -1.55912e+01 
7.75000e-02, 1.30946e+01, 7.95287e+00, -1.59084e+01 
8.00000e-02, 1.29198e+01, 7.48711e+00, -1.62073e+01 
8.25000e-02, 1.27410e+01, 7.01377e+00, -1.64878e+01 
8.50000e-02, 1.25585e+01, 6.53345e+00, -1.67496e+01 
8.75000e-02, 1.23722e+01, 6.04676e+00, -1.69924e+01 
9.00000e-02, 1.21824e+01, 5.55433e+00, -1.72160e+01 
9.25000e-02, 1.19891e+01, 5.05677e+00, -1.74201e+01 
9.50000e-02, 1.17926e+01, 4.55473e+00, -1.76046e+01 
9.75000e-02, 1.15930e+01, 4.04884e+00, -1.77692e+01 
1.00000e-01, 1.13904e+01, 3.53974e+00, -1.79140e+01 
1.02500e-01, 1.11850e+01, 3.02809e+00, -1.80386e+01 
1.05000e-01, 1.09770e+01, 2.51452e+00, -1.81432e+01 
1.07500e-01, 1.07664e+01, 1.99969e+00, -1.82275e+01 
1.10000e-01, 1.05535e+01, 1.48425e+00, -1.82917e+01 
1.12500e-01, 1.03384e+01, 9.68847e-01, -1.83355e+01 
1.15000e-01, 1.01213e+01, 4.54129e-01, -1.83592e+01 
1.17500e-01, 9.90226e+00, -5.92559e-02, -1.83626e+01 
1.20000e-01, 9.68154e+00, -5.70664e-01, -1.83459e+01 
1.22500e-01, 9.45927e+00, -1.07945e+00, -1.83092e+01 
1.25000e-01, 9.23560e+00, -1.58499e+00, -1.82526e+01 
1.27500e-01, 9.01071e+00, -2.08664e+00, -1.81762e+01 
1.30000e-01, 8.78474e+00, -2.58379e+00, -1.80803e+01 
1.32500e-01, 8.55787e+00, -3.07581e+00, -1.79648e+01 
1.35000e-01, 8.33025e+00, -3.56209e+00, -1.78302e+01 
1.37500e-01, 8.10204e+00, -4.04205e+00, -1.76767e+01 
1.40000e-01, 7.87341e+00, -4.51507e+00, -1.75044e+01 
1.42500e-01, 7.64451e+00, -4.98059e+00, -1.73137e+01 
1.45000e-01, 7.41550e+00, -5.43803e+00, -1.71049e+01 
1.47500e-01, 7.18654e+00, -5.88684e+00, -1.68783e+01 
1.50000e-01, 6.95779e+00, -6.32647e+00, -1.66343e+01 
1.52500e-01, 6.72940e+00, -6.75638e+00, -1.63732e+01 
1.55000e-01, 6.50152e+00, -7.17607e+00, -1.60955e+01 
1.57500e-01, 6.27431e+00, -7.58502e+00, -1.58015e+01 
1.60000e-01, 6.04792e+00, -7.98274e+00, -1.54917e+01 
1.62500e-01, 5.82250e+00, -8.36878e+00, -1.51665e+01 
1.65000e-01, 5.59820e+00, -8.74265e+00, -1.48265e+01 
1.67500e-01, 5.37515e+00, -9.10394e+00, -1.44720e+01 
1.70000e-01, 5.15351e+00, -9.45222e+00, -1.41037e+01 
1.72500e-01, 4.93342e+00, -9.78708e+00, -1.37219e+01 
1.75000e-01, 4.71501e+00, -1.01081e+01, -1.33273e+01 
