r(m), B_r(T), B_theta(T), B_z(T) 
0.00000e+00, 2.65066e-01, 2.65066e-01, -0.00000e+00 
2.50000e-03, 2.65066e-01, 2.65066e-01, -1.22017e-04 
5.00000e-03, 2.65066e-01, 2.65066e-01, -2.44035e-04 
7.50000e-03, 2.65065e-01, 2.65065e-01, -3.66052e-04 
1.00000e-02, 2.65065e-01, 2.65065e-01, -4.88069e-04 
1.25000e-02, 2.65065e-01, 2.65065e-01, -6.10086e-04 
1.50000e-02, 2.65065e-01, 2.65064e-01, -7.32102e-04 
1.75000e-02, 2.65064e-01, 2.65063e-01, -8.54118e-04 
2.00000e-02, 2.65064e-01, 2.65063e-01, -9.76134e-04 
2.25000e-02, 2.65063e-01, 2.65062e-01, -1.09815e-03 
2.50000e-02, 2.65062e-01, 2.65061e-01, -1.22016e-03 
2.75000e-02, 2.65062e-01, 2.65060e-01, -1.34218e-03 
3.00000e-02, 2.65061e-01, 2.65059e-01, -1.46419e-03 
3.25000e-02, 2.65060e-01, 2.65058e-01, -1.58621e-03 
3.50000e-02, 2.65059e-01, 2.65056e-01, -1.70822e-03 
3.75000e-02, 2.65058e-01, 2.65055e-01, -1.83023e-03 
4.00000e-02, 2.65057e-01, 2.65054e-01, -1.95224e-03 
4.25000e-02, 2.65056e-01, 2.65052e-01, -2.07425e-03 
4.50000e-02, 2.65055e-01, 2.65050e-01, -2.19626e-03 
4.75000e-02, 2.65054e-01, 2.65049e-01, -2.31827e-03 
5.00000e-02, 2.65052e-01, 2.65047e-01, -2.44027e-03 
5.25000e-02, 2.65051e-01, 2.65045e-01, -2.56228e-03 
5.50000e-02, 2.65050e-01, 2.65043e-01, -2.68428e-03 
5.75000e-02, 2.65048e-01, 2.65041e-01, -2.80629e-03 
6.00000e-02, 2.65047e-01, 2.65038e-01, -2.92829e-03 
6.25000e-02, 2.65045e-01, 2.65036e-01, -3.05029e-03 
6.50000e-02, 2.65043e-01, 2.65034e-01, -3.17229e-03 
6.75000e-02, 2.65041e-01, 2.65031e-01, -3.29429e-03 
7.00000e-02, 2.65040e-01, 2.65029e-01, -3.41628e-03 
7.25000e-02, 2.65038e-01, 2.65026e-01, -3.53828e-03 
7.50000e-02, 2.65036e-01, 2.65023e-01, -3.66027e-03 
7.75000e-02, 2.65034e-01, 2.65020e-01, -3.78226e-03 
8.00000e-02, 2.65032e-01, 2.65017e-01, -3.90425e-03 
8.25000e-02, 2.65029e-01, 2.65014e-01, -4.02624e-03 
8.50000e-02, 2.65027e-01, 2.65011e-01, -4.14822e-03 
8.75000e-02, 2.65025e-01, 2.65008e-01, -4.27021e-03 
9.00000e-02, 2.65022e-01, 2.65004e-01, -4.39219e-03 
9.25000e-02, 2.65020e-01, 2.65001e-01, -4.51417e-03 
9.50000e-02, 2.65018e-01, 2.64997e-01, -4.63615e-03 
9.75000e-02, 2.65015e-01, 2.64994e-01, -4.75813e-03 
1.00000e-01, 2.65012e-01, 2.64990e-01, -4.88010e-03 
1.02500e-01, 2.65010e-01, 2.64986e-01, -5.00207e-03 
1.05000e-01, 2.65007e-01, 2.64982e-01, -5.12404e-03 
1.07500e-01, 2.65004e-01, 2.64978e-01, -5.24601e-03 
1.10000e-01, 2.65001e-01, 2.64974e-01, -5.36797e-03 
1.12500e-01, 2.64998e-01, 2.64970e-01, -5.48993e-03 
1.15000e-01, 2.64995e-01, 2.64965e-01, -5.61189e-03 
1.17500e-01, 2.64992e-01, 2.64961e-01, -5.73385e-03 
1.20000e-01, 2.64989e-01, 2.64956e-01, -5.85580e-03 
1.22500e-01, 2.64986e-01, 2.64952e-01, -5.97776e-03 
1.25000e-01, 2.64982e-01, 2.64947e-01, -6.09971e-03 
1.27500e-01, 2.64979e-01, 2.64942e-01, -6.22165e-03 
1.30000e-01, 2.64975e-01, 2.64937e-01, -6.34360e-03 
1.32500e-01, 2.64972e-01, 2.64932e-01, -6.46554e-03 
1.35000e-01, 2.64968e-01, 2.64927e-01, -6.58747e-03 
1.37500e-01, 2.64965e-01, 2.64922e-01, -6.70941e-03 
1.40000e-01, 2.64961e-01, 2.64917e-01, -6.83134e-03 
1.42500e-01, 2.64957e-01, 2.64912e-01, -6.95327e-03 
1.45000e-01, 2.64953e-01, 2.64906e-01, -7.07519e-03 
1.47500e-01, 2.64949e-01, 2.64901e-01, -7.19711e-03 
1.50000e-01, 2.64945e-01, 2.64895e-01, -7.31903e-03 
1.52500e-01, 2.64941e-01, 2.64889e-01, -7.44095e-03 
1.55000e-01, 2.64937e-01, 2.64883e-01, -7.56286e-03 
1.57500e-01, 2.64933e-01, 2.64877e-01, -7.68477e-03 
1.60000e-01, 2.64929e-01, 2.64871e-01, -7.80667e-03 
1.62500e-01, 2.64925e-01, 2.64865e-01, -7.92857e-03 
1.65000e-01, 2.64920e-01, 2.64859e-01, -8.05047e-03 
1.67500e-01, 2.64916e-01, 2.64853e-01, -8.17237e-03 
1.70000e-01, 2.64911e-01, 2.64846e-01, -8.29426e-03 
1.72500e-01, 2.64907e-01, 2.64840e-01, -8.41614e-03 
1.75000e-01, 2.64902e-01, 2.64833e-01, -8.53802e-03 
1.77500e-01, 2.64897e-01, 2.64827e-01, -8.65990e-03 
1.80000e-01, 2.64893e-01, 2.64820e-01, -8.78178e-03 
1.82500e-01, 2.64888e-01, 2.64813e-01, -8.90365e-03 
1.85000e-01, 2.64883e-01, 2.64806e-01, -9.02552e-03 
1.87500e-01, 2.64878e-01, 2.64799e-01, -9.14738e-03 
1.90000e-01, 2.64873e-01, 2.64792e-01, -9.26924e-03 
1.92500e-01, 2.64868e-01, 2.64784e-01, -9.39109e-03 
1.95000e-01, 2.64863e-01, 2.64777e-01, -9.51294e-03 
1.97500e-01, 2.64857e-01, 2.64770e-01, -9.63479e-03 
2.00000e-01, 2.64852e-01, 2.64762e-01, -9.75663e-03 
2.02500e-01, 2.64847e-01, 2.64755e-01, -9.87846e-03 
2.05000e-01, 2.64841e-01, 2.64747e-01, -1.00003e-02 
2.07500e-01, 2.64836e-01, 2.64739e-01, -1.01221e-02 
2.10000e-01, 2.64830e-01, 2.64731e-01, -1.02439e-02 
2.12500e-01, 2.64824e-01, 2.64723e-01, -1.03658e-02 
2.15000e-01, 2.64819e-01, 2.64715e-01, -1.04876e-02 
2.17500e-01, 2.64813e-01, 2.64707e-01, -1.06094e-02 
2.20000e-01, 2.64807e-01, 2.64698e-01, -1.07312e-02 
2.22500e-01, 2.64801e-01, 2.64690e-01, -1.08530e-02 
2.25000e-01, 2.64795e-01, 2.64682e-01, -1.09748e-02 
2.27500e-01, 2.64789e-01, 2.64673e-01, -1.10966e-02 
2.30000e-01, 2.64783e-01, 2.64664e-01, -1.12184e-02 
2.32500e-01, 2.64777e-01, 2.64655e-01, -1.13401e-02 
2.35000e-01, 2.64771e-01, 2.64647e-01, -1.14619e-02 
2.37500e-01, 2.64764e-01, 2.64638e-01, -1.15837e-02 
2.40000e-01, 2.64758e-01, 2.64629e-01, -1.17054e-02 
2.42500e-01, 2.64752e-01, 2.64619e-01, -1.18272e-02 
2.45000e-01, 2.64745e-01, 2.64610e-01, -1.19489e-02 
2.47500e-01, 2.64738e-01, 2.64601e-01, -1.20707e-02 
2.50000e-01, 2.64732e-01, 2.64591e-01, -1.21924e-02 
2.52500e-01, 2.64725e-01, 2.64582e-01, -1.23142e-02 
2.55000e-01, 2.64718e-01, 2.64572e-01, -1.24359e-02 
2.57500e-01, 2.64711e-01, 2.64563e-01, -1.25576e-02 
2.60000e-01, 2.64705e-01, 2.64553e-01, -1.26793e-02 
2.62500e-01, 2.64698e-01, 2.64543e-01, -1.28011e-02 
2.65000e-01, 2.64691e-01, 2.64533e-01, -1.29228e-02 
2.67500e-01, 2.64683e-01, 2.64523e-01, -1.30445e-02 
2.70000e-01, 2.64676e-01, 2.64513e-01, -1.31662e-02 
2.72500e-01, 2.64669e-01, 2.64502e-01, -1.32878e-02 
2.75000e-01, 2.64662e-01, 2.64492e-01, -1.34095e-02 
2.77500e-01, 2.64654e-01, 2.64481e-01, -1.35312e-02 
2.80000e-01, 2.64647e-01, 2.64471e-01, -1.36529e-02 
2.82500e-01, 2.64639e-01, 2.64460e-01, -1.37745e-02 
2.85000e-01, 2.64632e-01, 2.64449e-01, -1.38962e-02 
2.87500e-01, 2.64624e-01, 2.64439e-01, -1.40179e-02 
2.90000e-01, 2.64616e-01, 2.64428e-01, -1.41395e-02 
2.92500e-01, 2.64609e-01, 2.64417e-01, -1.42611e-02 
2.95000e-01, 2.64601e-01, 2.64405e-01, -1.43828e-02 
