r(m), E_r(T), E_theta(T), E_z(T) 
0.00000e+00, 1.57142e+10, -1.57142e+10, 0.00000e+00 
2.50000e-03, 1.57051e+10, -1.57111e+10, 3.30424e-13 
5.00000e-03, 1.56778e+10, -1.57017e+10, 6.60462e-13 
7.50000e-03, 1.56323e+10, -1.56861e+10, 9.89730e-13 
1.00000e-02, 1.55688e+10, -1.56643e+10, 1.31784e-12 
1.25000e-02, 1.54872e+10, -1.56363e+10, 1.64442e-12 
1.50000e-02, 1.53877e+10, -1.56020e+10, 1.96907e-12 
1.75000e-02, 1.52704e+10, -1.55617e+10, 2.29143e-12 
2.00000e-02, 1.51355e+10, -1.55152e+10, 2.61112e-12 
2.25000e-02, 1.49831e+10, -1.54626e+10, 2.92777e-12 
2.50000e-02, 1.48135e+10, -1.54039e+10, 3.24100e-12 
2.75000e-02, 1.46268e+10, -1.53393e+10, 3.55046e-12 
3.00000e-02, 1.44234e+10, -1.52687e+10, 3.85579e-12 
3.25000e-02, 1.42034e+10, -1.51922e+10, 4.15663e-12 
3.50000e-02, 1.39671e+10, -1.51099e+10, 4.45264e-12 
3.75000e-02, 1.37149e+10, -1.50219e+10, 4.74348e-12 
4.00000e-02, 1.34470e+10, -1.49281e+10, 5.02880e-12 
4.25000e-02, 1.31639e+10, -1.48287e+10, 5.30829e-12 
4.50000e-02, 1.28659e+10, -1.47237e+10, 5.58163e-12 
4.75000e-02, 1.25534e+10, -1.46133e+10, 5.84849e-12 
5.00000e-02, 1.22267e+10, -1.44975e+10, 6.10859e-12 
5.25000e-02, 1.18863e+10, -1.43765e+10, 6.36162e-12 
5.50000e-02, 1.15327e+10, -1.42502e+10, 6.60730e-12 
5.75000e-02, 1.11662e+10, -1.41189e+10, 6.84536e-12 
6.00000e-02, 1.07875e+10, -1.39825e+10, 7.07552e-12 
6.25000e-02, 1.03968e+10, -1.38413e+10, 7.29753e-12 
6.50000e-02, 9.99487e+09, -1.36953e+10, 7.51115e-12 
6.75000e-02, 9.58206e+09, -1.35446e+10, 7.71613e-12 
7.00000e-02, 9.15896e+09, -1.33894e+10, 7.91227e-12 
7.25000e-02, 8.72610e+09, -1.32298e+10, 8.09934e-12 
7.50000e-02, 8.28404e+09, -1.30659e+10, 8.27715e-12 
7.75000e-02, 7.83334e+09, -1.28978e+10, 8.44550e-12 
8.00000e-02, 7.37459e+09, -1.27256e+10, 8.60422e-12 
8.25000e-02, 6.90836e+09, -1.25496e+10, 8.75314e-12 
8.50000e-02, 6.43526e+09, -1.23697e+10, 8.89212e-12 
8.75000e-02, 5.95588e+09, -1.21862e+10, 9.02101e-12 
9.00000e-02, 5.47085e+09, -1.19993e+10, 9.13969e-12 
9.25000e-02, 4.98077e+09, -1.18089e+10, 9.24805e-12 
9.50000e-02, 4.48628e+09, -1.16154e+10, 9.34598e-12 
9.75000e-02, 3.98799e+09, -1.14188e+10, 9.43340e-12 
1.00000e-01, 3.48655e+09, -1.12192e+10, 9.51024e-12 
1.02500e-01, 2.98258e+09, -1.10169e+10, 9.57643e-12 
