r(m), E_r(T), E_theta(T), E_z(T) 
0.00000e+00, 2.61082e+08, 0.00000e+00, 0.00000e+00 
2.50000e-03, 2.61082e+08, 0.00000e+00, 1.46594e-18 
5.00000e-03, 2.61082e+08, 0.00000e+00, 2.93188e-18 
7.50000e-03, 2.61082e+08, 0.00000e+00, 4.39781e-18 
1.00000e-02, 2.61081e+08, 0.00000e+00, 5.86375e-18 
1.25000e-02, 2.61081e+08, 0.00000e+00, 7.32968e-18 
1.50000e-02, 2.61080e+08, 0.00000e+00, 8.79561e-18 
1.75000e-02, 2.61080e+08, 0.00000e+00, 1.02615e-17 
2.00000e-02, 2.61079e+08, 0.00000e+00, 1.17275e-17 
2.25000e-02, 2.61078e+08, 0.00000e+00, 1.31934e-17 
2.50000e-02, 2.61077e+08, 0.00000e+00, 1.46593e-17 
2.75000e-02, 2.61076e+08, 0.00000e+00, 1.61252e-17 
3.00000e-02, 2.61075e+08, 0.00000e+00, 1.75911e-17 
3.25000e-02, 2.61074e+08, 0.00000e+00, 1.90570e-17 
3.50000e-02, 2.61073e+08, 0.00000e+00, 2.05228e-17 
3.75000e-02, 2.61072e+08, 0.00000e+00, 2.19887e-17 
4.00000e-02, 2.61070e+08, 0.00000e+00, 2.34546e-17 
4.25000e-02, 2.61069e+08, 0.00000e+00, 2.49204e-17 
4.50000e-02, 2.61067e+08, 0.00000e+00, 2.63862e-17 
4.75000e-02, 2.61065e+08, 0.00000e+00, 2.78521e-17 
5.00000e-02, 2.61063e+08, 0.00000e+00, 2.93179e-17 
5.25000e-02, 2.61061e+08, 0.00000e+00, 3.07837e-17 
5.50000e-02, 2.61059e+08, 0.00000e+00, 3.22495e-17 
5.75000e-02, 2.61057e+08, 0.00000e+00, 3.37152e-17 
6.00000e-02, 2.61055e+08, 0.00000e+00, 3.51810e-17 
6.25000e-02, 2.61053e+08, 0.00000e+00, 3.66467e-17 
6.50000e-02, 2.61050e+08, 0.00000e+00, 3.81124e-17 
6.75000e-02, 2.61048e+08, 0.00000e+00, 3.95781e-17 
7.00000e-02, 2.61045e+08, 0.00000e+00, 4.10438e-17 
7.25000e-02, 2.61043e+08, 0.00000e+00, 4.25095e-17 
7.50000e-02, 2.61040e+08, 0.00000e+00, 4.39751e-17 
7.75000e-02, 2.61037e+08, 0.00000e+00, 4.54408e-17 
8.00000e-02, 2.61034e+08, 0.00000e+00, 4.69064e-17 
8.25000e-02, 2.61031e+08, 0.00000e+00, 4.83720e-17 
8.50000e-02, 2.61028e+08, 0.00000e+00, 4.98375e-17 
8.75000e-02, 2.61025e+08, 0.00000e+00, 5.13031e-17 
9.00000e-02, 2.61022e+08, 0.00000e+00, 5.27686e-17 
9.25000e-02, 2.61018e+08, 0.00000e+00, 5.42341e-17 
9.50000e-02, 2.61015e+08, 0.00000e+00, 5.56995e-17 
9.75000e-02, 2.61011e+08, 0.00000e+00, 5.71650e-17 
1.00000e-01, 2.61007e+08, 0.00000e+00, 5.86304e-17 
1.02500e-01, 2.61004e+08, 0.00000e+00, 6.00958e-17 
1.05000e-01, 2.61000e+08, 0.00000e+00, 6.15611e-17 
1.07500e-01, 2.60996e+08, 0.00000e+00, 6.30265e-17 
1.10000e-01, 2.60992e+08, 0.00000e+00, 6.44918e-17 
1.12500e-01, 2.60987e+08, 0.00000e+00, 6.59571e-17 
1.15000e-01, 2.60983e+08, 0.00000e+00, 6.74223e-17 
1.17500e-01, 2.60979e+08, 0.00000e+00, 6.88875e-17 
1.20000e-01, 2.60974e+08, 0.00000e+00, 7.03527e-17 
1.22500e-01, 2.60970e+08, 0.00000e+00, 7.18178e-17 
1.25000e-01, 2.60965e+08, 0.00000e+00, 7.32830e-17 
1.27500e-01, 2.60961e+08, 0.00000e+00, 7.47480e-17 
1.30000e-01, 2.60956e+08, 0.00000e+00, 7.62131e-17 
1.32500e-01, 2.60951e+08, 0.00000e+00, 7.76781e-17 
1.35000e-01, 2.60946e+08, 0.00000e+00, 7.91431e-17 
1.37500e-01, 2.60941e+08, 0.00000e+00, 8.06080e-17 
1.40000e-01, 2.60936e+08, 0.00000e+00, 8.20729e-17 
1.42500e-01, 2.60930e+08, 0.00000e+00, 8.35378e-17 
1.45000e-01, 2.60925e+08, 0.00000e+00, 8.50026e-17 
1.47500e-01, 2.60919e+08, 0.00000e+00, 8.64674e-17 
1.50000e-01, 2.60914e+08, 0.00000e+00, 8.79322e-17 
1.52500e-01, 2.60908e+08, 0.00000e+00, 8.93969e-17 
1.55000e-01, 2.60902e+08, 0.00000e+00, 9.08616e-17 
1.57500e-01, 2.60897e+08, 0.00000e+00, 9.23262e-17 
1.60000e-01, 2.60891e+08, 0.00000e+00, 9.37908e-17 
1.62500e-01, 2.60885e+08, 0.00000e+00, 9.52553e-17 
1.65000e-01, 2.60879e+08, 0.00000e+00, 9.67198e-17 
1.67500e-01, 2.60872e+08, 0.00000e+00, 9.81843e-17 
1.70000e-01, 2.60866e+08, 0.00000e+00, 9.96487e-17 
1.72500e-01, 2.60860e+08, 0.00000e+00, 1.01113e-16 
1.75000e-01, 2.60853e+08, 0.00000e+00, 1.02577e-16 
1.77500e-01, 2.60847e+08, 0.00000e+00, 1.04042e-16 
1.80000e-01, 2.60840e+08, 0.00000e+00, 1.05506e-16 
1.82500e-01, 2.60833e+08, 0.00000e+00, 1.06970e-16 
1.85000e-01, 2.60826e+08, 0.00000e+00, 1.08434e-16 
1.87500e-01, 2.60819e+08, 0.00000e+00, 1.09898e-16 
1.90000e-01, 2.60812e+08, 0.00000e+00, 1.11362e-16 
1.92500e-01, 2.60805e+08, 0.00000e+00, 1.12826e-16 
1.95000e-01, 2.60798e+08, 0.00000e+00, 1.14290e-16 
1.97500e-01, 2.60790e+08, 0.00000e+00, 1.15754e-16 
2.00000e-01, 2.60783e+08, 0.00000e+00, 1.17218e-16 
2.02500e-01, 2.60776e+08, 0.00000e+00, 1.18682e-16 
2.05000e-01, 2.60768e+08, 0.00000e+00, 1.20145e-16 
2.07500e-01, 2.60760e+08, 0.00000e+00, 1.21609e-16 
2.10000e-01, 2.60752e+08, 0.00000e+00, 1.23073e-16 
2.12500e-01, 2.60745e+08, 0.00000e+00, 1.24536e-16 
2.15000e-01, 2.60737e+08, 0.00000e+00, 1.26000e-16 
2.17500e-01, 2.60728e+08, 0.00000e+00, 1.27463e-16 
2.20000e-01, 2.60720e+08, 0.00000e+00, 1.28926e-16 
2.22500e-01, 2.60712e+08, 0.00000e+00, 1.30390e-16 
2.25000e-01, 2.60704e+08, 0.00000e+00, 1.31853e-16 
2.27500e-01, 2.60695e+08, 0.00000e+00, 1.33316e-16 
2.30000e-01, 2.60687e+08, 0.00000e+00, 1.34779e-16 
2.32500e-01, 2.60678e+08, 0.00000e+00, 1.36242e-16 
2.35000e-01, 2.60669e+08, 0.00000e+00, 1.37705e-16 
2.37500e-01, 2.60660e+08, 0.00000e+00, 1.39168e-16 
2.40000e-01, 2.60652e+08, 0.00000e+00, 1.40631e-16 
2.42500e-01, 2.60642e+08, 0.00000e+00, 1.42094e-16 
2.45000e-01, 2.60633e+08, 0.00000e+00, 1.43557e-16 
2.47500e-01, 2.60624e+08, 0.00000e+00, 1.45019e-16 
2.50000e-01, 2.60615e+08, 0.00000e+00, 1.46482e-16 
2.52500e-01, 2.60606e+08, 0.00000e+00, 1.47945e-16 
2.55000e-01, 2.60596e+08, 0.00000e+00, 1.49407e-16 
2.57500e-01, 2.60586e+08, 0.00000e+00, 1.50870e-16 
2.60000e-01, 2.60577e+08, 0.00000e+00, 1.52332e-16 
2.62500e-01, 2.60567e+08, 0.00000e+00, 1.53794e-16 
2.65000e-01, 2.60557e+08, 0.00000e+00, 1.55256e-16 
2.67500e-01, 2.60547e+08, 0.00000e+00, 1.56719e-16 
