r(m), B_r(T), B_theta(T), B_z(T) 
0.00000e+00, 3.52553e+00, 3.52553e+00, -0.00000e+00 
2.50000e-03, 3.52545e+00, 3.52542e+00, -2.15852e-02 
5.00000e-03, 3.52521e+00, 3.52508e+00, -4.31687e-02 
7.50000e-03, 3.52482e+00, 3.52452e+00, -6.47487e-02 
1.00000e-02, 3.52427e+00, 3.52374e+00, -8.63235e-02 
1.25000e-02, 3.52356e+00, 3.52274e+00, -1.07891e-01 
1.50000e-02, 3.52270e+00, 3.52151e+00, -1.29450e-01 
1.75000e-02, 3.52168e+00, 3.52006e+00, -1.50999e-01 
2.00000e-02, 3.52050e+00, 3.51839e+00, -1.72535e-01 
2.25000e-02, 3.51916e+00, 3.51649e+00, -1.94058e-01 
2.50000e-02, 3.51767e+00, 3.51437e+00, -2.15564e-01 
2.75000e-02, 3.51602e+00, 3.51203e+00, -2.37053e-01 
3.00000e-02, 3.51422e+00, 3.50947e+00, -2.58523e-01 
3.25000e-02, 3.51226e+00, 3.50668e+00, -2.79973e-01 
3.50000e-02, 3.51014e+00, 3.50368e+00, -3.01399e-01 
3.75000e-02, 3.50787e+00, 3.50045e+00, -3.22801e-01 
4.00000e-02, 3.50544e+00, 3.49700e+00, -3.44177e-01 
4.25000e-02, 3.50285e+00, 3.49333e+00, -3.65525e-01 
4.50000e-02, 3.50011e+00, 3.48944e+00, -3.86844e-01 
4.75000e-02, 3.49722e+00, 3.48533e+00, -4.08131e-01 
5.00000e-02, 3.49416e+00, 3.48100e+00, -4.29385e-01 
5.25000e-02, 3.49096e+00, 3.47645e+00, -4.50605e-01 
5.50000e-02, 3.48760e+00, 3.47168e+00, -4.71788e-01 
5.75000e-02, 3.48408e+00, 3.46669e+00, -4.92932e-01 
6.00000e-02, 3.48041e+00, 3.46148e+00, -5.14037e-01 
6.25000e-02, 3.47659e+00, 3.45606e+00, -5.35101e-01 
6.50000e-02, 3.47262e+00, 3.45042e+00, -5.56121e-01 
6.75000e-02, 3.46849e+00, 3.44456e+00, -5.77096e-01 
7.00000e-02, 3.46420e+00, 3.43848e+00, -5.98025e-01 
7.25000e-02, 3.45977e+00, 3.43219e+00, -6.18905e-01 
7.50000e-02, 3.45518e+00, 3.42568e+00, -6.39735e-01 
7.75000e-02, 3.45044e+00, 3.41896e+00, -6.60513e-01 
8.00000e-02, 3.44555e+00, 3.41203e+00, -6.81238e-01 
8.25000e-02, 3.44051e+00, 3.40488e+00, -7.01908e-01 
8.50000e-02, 3.43532e+00, 3.39752e+00, -7.22522e-01 
8.75000e-02, 3.42997e+00, 3.38994e+00, -7.43077e-01 
9.00000e-02, 3.42448e+00, 3.38216e+00, -7.63571e-01 
9.25000e-02, 3.41884e+00, 3.37416e+00, -7.84004e-01 
9.50000e-02, 3.41305e+00, 3.36595e+00, -8.04374e-01 
9.75000e-02, 3.40710e+00, 3.35753e+00, -8.24679e-01 
1.00000e-01, 3.40102e+00, 3.34891e+00, -8.44917e-01 
1.02500e-01, 3.39478e+00, 3.34007e+00, -8.65087e-01 
1.05000e-01, 3.38839e+00, 3.33103e+00, -8.85188e-01 
1.07500e-01, 3.38186e+00, 3.32178e+00, -9.05216e-01 
1.10000e-01, 3.37519e+00, 3.31233e+00, -9.25172e-01 
1.12500e-01, 3.36836e+00, 3.30267e+00, -9.45053e-01 
1.15000e-01, 3.36139e+00, 3.29280e+00, -9.64858e-01 
1.17500e-01, 3.35428e+00, 3.28273e+00, -9.84584e-01 
1.20000e-01, 3.34702e+00, 3.27246e+00, -1.00423e+00 
1.22500e-01, 3.33962e+00, 3.26199e+00, -1.02380e+00 
1.25000e-01, 3.33207e+00, 3.25132e+00, -1.04328e+00 
1.27500e-01, 3.32439e+00, 3.24044e+00, -1.06268e+00 
1.30000e-01, 3.31656e+00, 3.22937e+00, -1.08200e+00 
1.32500e-01, 3.30858e+00, 3.21810e+00, -1.10122e+00 
1.35000e-01, 3.30047e+00, 3.20663e+00, -1.12036e+00 
1.37500e-01, 3.29222e+00, 3.19496e+00, -1.13941e+00 
1.40000e-01, 3.28383e+00, 3.18310e+00, -1.15836e+00 
1.42500e-01, 3.27530e+00, 3.17105e+00, -1.17723e+00 
1.45000e-01, 3.26663e+00, 3.15880e+00, -1.19600e+00 
1.47500e-01, 3.25782e+00, 3.14636e+00, -1.21467e+00 
1.50000e-01, 3.24887e+00, 3.13373e+00, -1.23324e+00 
1.52500e-01, 3.23979e+00, 3.12091e+00, -1.25172e+00 
1.55000e-01, 3.23057e+00, 3.10790e+00, -1.27009e+00 
1.57500e-01, 3.22122e+00, 3.09470e+00, -1.28836e+00 
