r(m), E_r(T), E_theta(T), E_z(T) 
0.00000e+00, 2.61082e+08, 0.00000e+00, 0.00000e+00 
2.50000e-03, 2.61074e+08, 0.00000e+00, 3.44922e-15 
5.00000e-03, 2.61049e+08, 0.00000e+00, 6.89817e-15 
7.50000e-03, 2.61008e+08, 0.00000e+00, 1.03466e-14 
1.00000e-02, 2.60950e+08, 0.00000e+00, 1.37941e-14 
1.25000e-02, 2.60875e+08, 0.00000e+00, 1.72405e-14 
1.50000e-02, 2.60785e+08, 0.00000e+00, 2.06856e-14 
1.75000e-02, 2.60677e+08, 0.00000e+00, 2.41289e-14 
2.00000e-02, 2.60553e+08, 0.00000e+00, 2.75704e-14 
2.25000e-02, 2.60413e+08, 0.00000e+00, 3.10095e-14 
2.50000e-02, 2.60256e+08, 0.00000e+00, 3.44462e-14 
2.75000e-02, 2.60083e+08, 0.00000e+00, 3.78801e-14 
3.00000e-02, 2.59893e+08, 0.00000e+00, 4.13109e-14 
3.25000e-02, 2.59686e+08, 0.00000e+00, 4.47384e-14 
3.50000e-02, 2.59464e+08, 0.00000e+00, 4.81622e-14 
3.75000e-02, 2.59225e+08, 0.00000e+00, 5.15822e-14 
4.00000e-02, 2.58969e+08, 0.00000e+00, 5.49980e-14 
4.25000e-02, 2.58698e+08, 0.00000e+00, 5.84093e-14 
4.50000e-02, 2.58409e+08, 0.00000e+00, 6.18159e-14 
4.75000e-02, 2.58105e+08, 0.00000e+00, 6.52175e-14 
5.00000e-02, 2.57784e+08, 0.00000e+00, 6.86138e-14 
5.25000e-02, 2.57447e+08, 0.00000e+00, 7.20046e-14 
5.50000e-02, 2.57094e+08, 0.00000e+00, 7.53895e-14 
5.75000e-02, 2.56725e+08, 0.00000e+00, 7.87684e-14 
6.00000e-02, 2.56339e+08, 0.00000e+00, 8.21409e-14 
6.25000e-02, 2.55937e+08, 0.00000e+00, 8.55067e-14 
6.50000e-02, 2.55520e+08, 0.00000e+00, 8.88657e-14 
6.75000e-02, 2.55086e+08, 0.00000e+00, 9.22174e-14 
7.00000e-02, 2.54636e+08, 0.00000e+00, 9.55617e-14 
7.25000e-02, 2.54170e+08, 0.00000e+00, 9.88982e-14 
7.50000e-02, 2.53688e+08, 0.00000e+00, 1.02227e-13 
7.75000e-02, 2.53191e+08, 0.00000e+00, 1.05547e-13 
8.00000e-02, 2.52677e+08, 0.00000e+00, 1.08859e-13 
8.25000e-02, 2.52148e+08, 0.00000e+00, 1.12162e-13 
8.50000e-02, 2.51602e+08, 0.00000e+00, 1.15456e-13 
8.75000e-02, 2.51041e+08, 0.00000e+00, 1.18740e-13 
9.00000e-02, 2.50465e+08, 0.00000e+00, 1.22015e-13 
9.25000e-02, 2.49873e+08, 0.00000e+00, 1.25280e-13 
9.50000e-02, 2.49265e+08, 0.00000e+00, 1.28535e-13 
9.75000e-02, 2.48641e+08, 0.00000e+00, 1.31780e-13 
1.00000e-01, 2.48003e+08, 0.00000e+00, 1.35014e-13 
1.02500e-01, 2.47348e+08, 0.00000e+00, 1.38237e-13 
1.05000e-01, 2.46679e+08, 0.00000e+00, 1.41449e-13 
1.07500e-01, 2.45994e+08, 0.00000e+00, 1.44650e-13 
1.10000e-01, 2.45294e+08, 0.00000e+00, 1.47838e-13 
1.12500e-01, 2.44578e+08, 0.00000e+00, 1.51015e-13 
1.15000e-01, 2.43848e+08, 0.00000e+00, 1.54180e-13 
1.17500e-01, 2.43102e+08, 0.00000e+00, 1.57332e-13 
1.20000e-01, 2.42341e+08, 0.00000e+00, 1.60472e-13 
1.22500e-01, 2.41566e+08, 0.00000e+00, 1.63598e-13 
1.25000e-01, 2.40775e+08, 0.00000e+00, 1.66712e-13 
1.27500e-01, 2.39970e+08, 0.00000e+00, 1.69812e-13 
1.30000e-01, 2.39150e+08, 0.00000e+00, 1.72898e-13 
