r(m), B_r(T), B_theta(T), B_z(T) 
0.00000e+00, 5.93162e+00, 5.93162e+00, -0.00000e+00 
2.50000e-03, 5.93097e+00, 5.92976e+00, -1.69215e-01 
5.00000e-03, 5.92901e+00, 5.92419e+00, -3.38322e-01 
7.50000e-03, 5.92576e+00, 5.91490e+00, -5.07215e-01 
1.00000e-02, 5.92121e+00, 5.90191e+00, -6.75786e-01 
1.25000e-02, 5.91535e+00, 5.88523e+00, -8.43928e-01 
1.50000e-02, 5.90821e+00, 5.86486e+00, -1.01153e+00 
1.75000e-02, 5.89977e+00, 5.84082e+00, -1.17850e+00 
2.00000e-02, 5.89004e+00, 5.81313e+00, -1.34472e+00 
2.25000e-02, 5.87902e+00, 5.78181e+00, -1.51008e+00 
2.50000e-02, 5.86673e+00, 5.74687e+00, -1.67449e+00 
2.75000e-02, 5.85317e+00, 5.70835e+00, -1.83784e+00 
3.00000e-02, 5.83833e+00, 5.66627e+00, -2.00002e+00 
3.25000e-02, 5.82224e+00, 5.62066e+00, -2.16093e+00 
3.50000e-02, 5.80489e+00, 5.57155e+00, -2.32048e+00 
3.75000e-02, 5.78629e+00, 5.51898e+00, -2.47855e+00 
4.00000e-02, 5.76645e+00, 5.46298e+00, -2.63506e+00 
4.25000e-02, 5.74539e+00, 5.40360e+00, -2.78990e+00 
4.50000e-02, 5.72310e+00, 5.34087e+00, -2.94298e+00 
4.75000e-02, 5.69960e+00, 5.27483e+00, -3.09420e+00 
5.00000e-02, 5.67490e+00, 5.20555e+00, -3.24346e+00 
5.25000e-02, 5.64901e+00, 5.13305e+00, -3.39067e+00 
5.50000e-02, 5.62195e+00, 5.05741e+00, -3.53575e+00 
5.75000e-02, 5.59371e+00, 4.97865e+00, -3.67859e+00 
6.00000e-02, 5.56432e+00, 4.89686e+00, -3.81911e+00 
6.25000e-02, 5.53379e+00, 4.81207e+00, -3.95723e+00 
6.50000e-02, 5.50212e+00, 4.72435e+00, -4.09285e+00 
6.75000e-02, 5.46935e+00, 4.63376e+00, -4.22590e+00 
7.00000e-02, 5.43547e+00, 4.54036e+00, -4.35629e+00 
7.25000e-02, 5.40050e+00, 4.44423e+00, -4.48394e+00 
7.50000e-02, 5.36447e+00, 4.34542e+00, -4.60878e+00 
7.75000e-02, 5.32738e+00, 4.24401e+00, -4.73072e+00 
8.00000e-02, 5.28925e+00, 4.14007e+00, -4.84970e+00 
8.25000e-02, 5.25009e+00, 4.03366e+00, -4.96564e+00 
8.50000e-02, 5.20993e+00, 3.92487e+00, -5.07847e+00 
8.75000e-02, 5.16878e+00, 3.81377e+00, -5.18813e+00 
9.00000e-02, 5.12666e+00, 3.70043e+00, -5.29454e+00 
9.25000e-02, 5.08358e+00, 3.58495e+00, -5.39765e+00 
9.50000e-02, 5.03957e+00, 3.46739e+00, -5.49739e+00 
9.75000e-02, 4.99464e+00, 3.34784e+00, -5.59371e+00 
1.00000e-01, 4.94882e+00, 3.22638e+00, -5.68655e+00 
1.02500e-01, 4.90211e+00, 3.10309e+00, -5.77585e+00 
1.05000e-01, 4.85455e+00, 2.97807e+00, -5.86157e+00 
1.07500e-01, 4.80616e+00, 2.85140e+00, -5.94365e+00 
1.10000e-01, 4.75694e+00, 2.72317e+00, -6.02206e+00 
1.12500e-01, 4.70693e+00, 2.59346e+00, -6.09673e+00 
1.15000e-01, 4.65614e+00, 2.46237e+00, -6.16765e+00 
1.17500e-01, 4.60460e+00, 2.32998e+00, -6.23475e+00 
1.20000e-01, 4.55233e+00, 2.19640e+00, -6.29802e+00 
1.22500e-01, 4.49934e+00, 2.06171e+00, -6.35742e+00 
1.25000e-01, 4.44567e+00, 1.92600e+00, -6.41291e+00 
1.27500e-01, 4.39133e+00, 1.78937e+00, -6.46447e+00 
1.30000e-01, 4.33635e+00, 1.65191e+00, -6.51207e+00 
1.32500e-01, 4.28075e+00, 1.51372e+00, -6.55569e+00 
1.35000e-01, 4.22455e+00, 1.37489e+00, -6.59532e+00 
1.37500e-01, 4.16778e+00, 1.23552e+00, -6.63093e+00 
1.40000e-01, 4.11046e+00, 1.09570e+00, -6.66251e+00 
1.42500e-01, 4.05261e+00, 9.55538e-01, -6.69005e+00 
1.45000e-01, 3.99425e+00, 8.15119e-01, -6.71354e+00 
1.47500e-01, 3.93542e+00, 6.74543e-01, -6.73297e+00 
1.50000e-01, 3.87613e+00, 5.33906e-01, -6.74835e+00 
1.52500e-01, 3.81641e+00, 3.93305e-01, -6.75967e+00 
1.55000e-01, 3.75628e+00, 2.52835e-01, -6.76693e+00 
1.57500e-01, 3.69577e+00, 1.12592e-01, -6.77015e+00 
1.60000e-01, 3.63491e+00, -2.73275e-02, -6.76932e+00 
