r(m), E_r(T), E_theta(T), E_z(T) 
0.00000e+00, 1.91425e+09, -1.91425e+09, 0.00000e+00 
2.50000e-03, 1.91424e+09, -1.91425e+09, 9.84143e-17 
5.00000e-03, 1.91423e+09, -1.91424e+09, 1.96828e-16 
7.50000e-03, 1.91421e+09, -1.91423e+09, 2.95241e-16 
1.00000e-02, 1.91417e+09, -1.91422e+09, 3.93652e-16 
1.25000e-02, 1.91413e+09, -1.91420e+09, 4.92061e-16 
1.50000e-02, 1.91408e+09, -1.91418e+09, 5.90468e-16 
1.75000e-02, 1.91402e+09, -1.91415e+09, 6.88872e-16 
2.00000e-02, 1.91395e+09, -1.91412e+09, 7.87272e-16 
2.25000e-02, 1.91387e+09, -1.91409e+09, 8.85668e-16 
2.50000e-02, 1.91378e+09, -1.91405e+09, 9.84059e-16 
2.75000e-02, 1.91368e+09, -1.91401e+09, 1.08245e-15 
3.00000e-02, 1.91358e+09, -1.91397e+09, 1.18083e-15 
3.25000e-02, 1.91346e+09, -1.91392e+09, 1.27920e-15 
3.50000e-02, 1.91333e+09, -1.91387e+09, 1.37757e-15 
3.75000e-02, 1.91320e+09, -1.91381e+09, 1.47593e-15 
4.00000e-02, 1.91305e+09, -1.91375e+09, 1.57428e-15 
4.25000e-02, 1.91290e+09, -1.91369e+09, 1.67263e-15 
4.50000e-02, 1.91274e+09, -1.91362e+09, 1.77096e-15 
4.75000e-02, 1.91256e+09, -1.91355e+09, 1.86929e-15 
5.00000e-02, 1.91238e+09, -1.91347e+09, 1.96761e-15 
5.25000e-02, 1.91219e+09, -1.91339e+09, 2.06591e-15 
5.50000e-02, 1.91199e+09, -1.91331e+09, 2.16421e-15 
5.75000e-02, 1.91178e+09, -1.91322e+09, 2.26250e-15 
6.00000e-02, 1.91156e+09, -1.91313e+09, 2.36077e-15 
6.25000e-02, 1.91133e+09, -1.91303e+09, 2.45903e-15 
6.50000e-02, 1.91109e+09, -1.91293e+09, 2.55728e-15 
6.75000e-02, 1.91085e+09, -1.91283e+09, 2.65551e-15 
7.00000e-02, 1.91059e+09, -1.91272e+09, 2.75374e-15 
7.25000e-02, 1.91032e+09, -1.91261e+09, 2.85194e-15 
7.50000e-02, 1.91005e+09, -1.91250e+09, 2.95014e-15 
7.75000e-02, 1.90976e+09, -1.91238e+09, 3.04831e-15 
8.00000e-02, 1.90947e+09, -1.91225e+09, 3.14647e-15 
8.25000e-02, 1.90917e+09, -1.91213e+09, 3.24462e-15 
8.50000e-02, 1.90885e+09, -1.91200e+09, 3.34275e-15 
8.75000e-02, 1.90853e+09, -1.91186e+09, 3.44086e-15 
9.00000e-02, 1.90820e+09, -1.91172e+09, 3.53895e-15 
9.25000e-02, 1.90786e+09, -1.91158e+09, 3.63702e-15 
9.50000e-02, 1.90751e+09, -1.91144e+09, 3.73508e-15 
9.75000e-02, 1.90715e+09, -1.91129e+09, 3.83312e-15 
1.00000e-01, 1.90678e+09, -1.91113e+09, 3.93113e-15 
1.02500e-01, 1.90640e+09, -1.91097e+09, 4.02913e-15 
1.05000e-01, 1.90602e+09, -1.91081e+09, 4.12710e-15 
1.07500e-01, 1.90562e+09, -1.91065e+09, 4.22506e-15 
1.10000e-01, 1.90521e+09, -1.91048e+09, 4.32299e-15 
1.12500e-01, 1.90480e+09, -1.91030e+09, 4.42090e-15 
1.15000e-01, 1.90437e+09, -1.91013e+09, 4.51878e-15 
1.17500e-01, 1.90394e+09, -1.90994e+09, 4.61665e-15 
1.20000e-01, 1.90350e+09, -1.90976e+09, 4.71449e-15 
1.22500e-01, 1.90305e+09, -1.90957e+09, 4.81230e-15 
1.25000e-01, 1.90258e+09, -1.90938e+09, 4.91009e-15 
1.27500e-01, 1.90211e+09, -1.90918e+09, 5.00785e-15 
1.30000e-01, 1.90163e+09, -1.90898e+09, 5.10559e-15 
1.32500e-01, 1.90114e+09, -1.90878e+09, 5.20330e-15 
1.35000e-01, 1.90065e+09, -1.90857e+09, 5.30099e-15 
1.37500e-01, 1.90014e+09, -1.90836e+09, 5.39865e-15 
1.40000e-01, 1.89962e+09, -1.90814e+09, 5.49628e-15 
1.42500e-01, 1.89910e+09, -1.90792e+09, 5.59388e-15 
1.45000e-01, 1.89856e+09, -1.90770e+09, 5.69145e-15 
