r(m), E_r(T), E_theta(T), E_z(T) 
0.00000e+00, 4.48225e+09, 0.00000e+00, 0.00000e+00 
2.50000e-03, 4.48196e+09, 0.00000e+00, 6.36899e-15 
5.00000e-03, 4.48107e+09, 0.00000e+00, 1.27371e-14 
7.50000e-03, 4.47960e+09, 0.00000e+00, 1.91036e-14 
1.00000e-02, 4.47754e+09, 0.00000e+00, 2.54675e-14 
1.25000e-02, 4.47489e+09, 0.00000e+00, 3.18280e-14 
1.50000e-02, 4.47165e+09, 0.00000e+00, 3.81842e-14 
1.75000e-02, 4.46782e+09, 0.00000e+00, 4.45354e-14 
2.00000e-02, 4.46341e+09, 0.00000e+00, 5.08807e-14 
2.25000e-02, 4.45841e+09, 0.00000e+00, 5.72192e-14 
2.50000e-02, 4.45282e+09, 0.00000e+00, 6.35500e-14 
2.75000e-02, 4.44665e+09, 0.00000e+00, 6.98724e-14 
3.00000e-02, 4.43989e+09, 0.00000e+00, 7.61855e-14 
3.25000e-02, 4.43255e+09, 0.00000e+00, 8.24885e-14 
3.50000e-02, 4.42463e+09, 0.00000e+00, 8.87804e-14 
3.75000e-02, 4.41613e+09, 0.00000e+00, 9.50606e-14 
4.00000e-02, 4.40705e+09, 0.00000e+00, 1.01328e-13 
4.25000e-02, 4.39739e+09, 0.00000e+00, 1.07582e-13 
4.50000e-02, 4.38716e+09, 0.00000e+00, 1.13822e-13 
4.75000e-02, 4.37634e+09, 0.00000e+00, 1.20046e-13 
5.00000e-02, 4.36496e+09, 0.00000e+00, 1.26255e-13 
5.25000e-02, 4.35300e+09, 0.00000e+00, 1.32447e-13 
5.50000e-02, 4.34047e+09, 0.00000e+00, 1.38621e-13 
5.75000e-02, 4.32738e+09, 0.00000e+00, 1.44777e-13 
6.00000e-02, 4.31372e+09, 0.00000e+00, 1.50913e-13 
6.25000e-02, 4.29949e+09, 0.00000e+00, 1.57030e-13 
6.50000e-02, 4.28470e+09, 0.00000e+00, 1.63125e-13 
6.75000e-02, 4.26935e+09, 0.00000e+00, 1.69199e-13 
7.00000e-02, 4.25344e+09, 0.00000e+00, 1.75250e-13 
