r(m), B_r(T), B_theta(T), B_z(T) 
0.00000e+00, 5.41668e-01, 5.41668e-01, -0.00000e+00 
2.50000e-03, 5.41668e-01, 5.41668e-01, -4.51971e-04 
5.00000e-03, 5.41668e-01, 5.41668e-01, -9.03942e-04 
7.50000e-03, 5.41667e-01, 5.41667e-01, -1.35591e-03 
1.00000e-02, 5.41667e-01, 5.41665e-01, -1.80788e-03 
1.25000e-02, 5.41666e-01, 5.41663e-01, -2.25985e-03 
1.50000e-02, 5.41665e-01, 5.41661e-01, -2.71181e-03 
1.75000e-02, 5.41663e-01, 5.41659e-01, -3.16378e-03 
2.00000e-02, 5.41662e-01, 5.41656e-01, -3.61574e-03 
2.25000e-02, 5.41660e-01, 5.41652e-01, -4.06770e-03 
2.50000e-02, 5.41658e-01, 5.41648e-01, -4.51965e-03 
2.75000e-02, 5.41656e-01, 5.41644e-01, -4.97160e-03 
3.00000e-02, 5.41653e-01, 5.41640e-01, -5.42355e-03 
3.25000e-02, 5.41651e-01, 5.41635e-01, -5.87549e-03 
3.50000e-02, 5.41648e-01, 5.41629e-01, -6.32742e-03 
3.75000e-02, 5.41645e-01, 5.41623e-01, -6.77936e-03 
4.00000e-02, 5.41641e-01, 5.41617e-01, -7.23128e-03 
4.25000e-02, 5.41638e-01, 5.41611e-01, -7.68320e-03 
4.50000e-02, 5.41634e-01, 5.41604e-01, -8.13511e-03 
4.75000e-02, 5.41630e-01, 5.41596e-01, -8.58702e-03 
5.00000e-02, 5.41626e-01, 5.41588e-01, -9.03892e-03 
5.25000e-02, 5.41622e-01, 5.41580e-01, -9.49081e-03 
5.50000e-02, 5.41617e-01, 5.41572e-01, -9.94269e-03 
5.75000e-02, 5.41612e-01, 5.41563e-01, -1.03946e-02 
6.00000e-02, 5.41607e-01, 5.41553e-01, -1.08464e-02 
6.25000e-02, 5.41602e-01, 5.41543e-01, -1.12983e-02 
6.50000e-02, 5.41597e-01, 5.41533e-01, -1.17501e-02 
6.75000e-02, 5.41591e-01, 5.41523e-01, -1.22020e-02 
7.00000e-02, 5.41585e-01, 5.41512e-01, -1.26538e-02 
7.25000e-02, 5.41579e-01, 5.41500e-01, -1.31056e-02 
7.50000e-02, 5.41573e-01, 5.41488e-01, -1.35574e-02 
7.75000e-02, 5.41567e-01, 5.41476e-01, -1.40092e-02 
8.00000e-02, 5.41560e-01, 5.41463e-01, -1.44610e-02 
8.25000e-02, 5.41553e-01, 5.41450e-01, -1.49128e-02 
8.50000e-02, 5.41546e-01, 5.41437e-01, -1.53645e-02 
8.75000e-02, 5.41539e-01, 5.41423e-01, -1.58163e-02 
9.00000e-02, 5.41531e-01, 5.41409e-01, -1.62680e-02 
9.25000e-02, 5.41524e-01, 5.41394e-01, -1.67197e-02 
9.50000e-02, 5.41516e-01, 5.41379e-01, -1.71714e-02 
9.75000e-02, 5.41507e-01, 5.41364e-01, -1.76231e-02 
1.00000e-01, 5.41499e-01, 5.41348e-01, -1.80748e-02 
1.02500e-01, 5.41490e-01, 5.41332e-01, -1.85264e-02 
1.05000e-01, 5.41482e-01, 5.41315e-01, -1.89781e-02 
1.07500e-01, 5.41473e-01, 5.41298e-01, -1.94297e-02 
1.10000e-01, 5.41463e-01, 5.41281e-01, -1.98813e-02 
1.12500e-01, 5.41454e-01, 5.41263e-01, -2.03329e-02 
1.15000e-01, 5.41444e-01, 5.41245e-01, -2.07845e-02 
1.17500e-01, 5.41435e-01, 5.41226e-01, -2.12360e-02 
1.20000e-01, 5.41425e-01, 5.41207e-01, -2.16876e-02 
1.22500e-01, 5.41414e-01, 5.41188e-01, -2.21391e-02 
1.25000e-01, 5.41404e-01, 5.41168e-01, -2.25906e-02 
1.27500e-01, 5.41393e-01, 5.41148e-01, -2.30421e-02 
1.30000e-01, 5.41382e-01, 5.41127e-01, -2.34935e-02 
1.32500e-01, 5.41371e-01, 5.41106e-01, -2.39450e-02 
1.35000e-01, 5.41360e-01, 5.41085e-01, -2.43964e-02 
1.37500e-01, 5.41348e-01, 5.41063e-01, -2.48478e-02 
1.40000e-01, 5.41336e-01, 5.41041e-01, -2.52992e-02 
1.42500e-01, 5.41325e-01, 5.41018e-01, -2.57506e-02 
1.45000e-01, 5.41312e-01, 5.40995e-01, -2.62019e-02 
1.47500e-01, 5.41300e-01, 5.40972e-01, -2.66532e-02 
1.50000e-01, 5.41287e-01, 5.40948e-01, -2.71045e-02 
1.52500e-01, 5.41275e-01, 5.40924e-01, -2.75558e-02 
1.55000e-01, 5.41262e-01, 5.40899e-01, -2.80070e-02 
1.57500e-01, 5.41248e-01, 5.40874e-01, -2.84582e-02 
1.60000e-01, 5.41235e-01, 5.40849e-01, -2.89094e-02 
1.62500e-01, 5.41221e-01, 5.40823e-01, -2.93606e-02 
1.65000e-01, 5.41207e-01, 5.40797e-01, -2.98118e-02 
1.67500e-01, 5.41193e-01, 5.40770e-01, -3.02629e-02 
1.70000e-01, 5.41179e-01, 5.40743e-01, -3.07140e-02 
1.72500e-01, 5.41165e-01, 5.40716e-01, -3.11651e-02 
1.75000e-01, 5.41150e-01, 5.40688e-01, -3.16161e-02 
1.77500e-01, 5.41135e-01, 5.40660e-01, -3.20671e-02 
1.80000e-01, 5.41120e-01, 5.40631e-01, -3.25181e-02 
1.82500e-01, 5.41104e-01, 5.40602e-01, -3.29691e-02 
1.85000e-01, 5.41089e-01, 5.40573e-01, -3.34200e-02 
1.87500e-01, 5.41073e-01, 5.40543e-01, -3.38709e-02 
