r(m), B_r(T), B_theta(T), B_z(T) 
0.00000e+00, 2.68638e+00, 2.68638e+00, -0.00000e+00 
2.50000e-03, 2.68632e+00, 2.68620e+00, -3.55043e-02 
5.00000e-03, 2.68613e+00, 2.68566e+00, -7.10039e-02 
7.50000e-03, 2.68583e+00, 2.68478e+00, -1.06494e-01 
1.00000e-02, 2.68541e+00, 2.68353e+00, -1.41970e-01 
1.25000e-02, 2.68486e+00, 2.68193e+00, -1.77427e-01 
1.50000e-02, 2.68420e+00, 2.67998e+00, -2.12861e-01 
1.75000e-02, 2.68341e+00, 2.67767e+00, -2.48266e-01 
2.00000e-02, 2.68250e+00, 2.67500e+00, -2.83638e-01 
2.25000e-02, 2.68147e+00, 2.67198e+00, -3.18972e-01 
2.50000e-02, 2.68032e+00, 2.66861e+00, -3.54264e-01 
2.75000e-02, 2.67905e+00, 2.66488e+00, -3.89509e-01 
3.00000e-02, 2.67766e+00, 2.66081e+00, -4.24701e-01 
3.25000e-02, 2.67615e+00, 2.65638e+00, -4.59838e-01 
3.50000e-02, 2.67452e+00, 2.65160e+00, -4.94913e-01 
3.75000e-02, 2.67277e+00, 2.64646e+00, -5.29922e-01 
4.00000e-02, 2.67090e+00, 2.64098e+00, -5.64861e-01 
4.25000e-02, 2.66891e+00, 2.63515e+00, -5.99724e-01 
4.50000e-02, 2.66680e+00, 2.62897e+00, -6.34508e-01 
4.75000e-02, 2.66457e+00, 2.62245e+00, -6.69208e-01 
5.00000e-02, 2.66222e+00, 2.61557e+00, -7.03818e-01 
5.25000e-02, 2.65975e+00, 2.60836e+00, -7.38335e-01 
5.50000e-02, 2.65717e+00, 2.60079e+00, -7.72753e-01 
5.75000e-02, 2.65446e+00, 2.59289e+00, -8.07069e-01 
6.00000e-02, 2.65164e+00, 2.58464e+00, -8.41277e-01 
6.25000e-02, 2.64870e+00, 2.57605e+00, -8.75374e-01 
6.50000e-02, 2.64564e+00, 2.56713e+00, -9.09354e-01 
6.75000e-02, 2.64246e+00, 2.55786e+00, -9.43214e-01 
7.00000e-02, 2.63917e+00, 2.54826e+00, -9.76948e-01 
7.25000e-02, 2.63576e+00, 2.53832e+00, -1.01055e+00 
7.50000e-02, 2.63223e+00, 2.52805e+00, -1.04402e+00 
7.75000e-02, 2.62859e+00, 2.51744e+00, -1.07735e+00 
8.00000e-02, 2.62483e+00, 2.50651e+00, -1.11054e+00 
8.25000e-02, 2.62096e+00, 2.49525e+00, -1.14358e+00 
8.50000e-02, 2.61697e+00, 2.48365e+00, -1.17647e+00 
8.75000e-02, 2.61286e+00, 2.47174e+00, -1.20920e+00 
9.00000e-02, 2.60864e+00, 2.45950e+00, -1.24178e+00 
9.25000e-02, 2.60431e+00, 2.44693e+00, -1.27418e+00 
9.50000e-02, 2.59986e+00, 2.43405e+00, -1.30642e+00 
9.75000e-02, 2.59530e+00, 2.42084e+00, -1.33849e+00 
1.00000e-01, 2.59063e+00, 2.40733e+00, -1.37037e+00 
1.02500e-01, 2.58584e+00, 2.39349e+00, -1.40208e+00 
1.05000e-01, 2.58094e+00, 2.37935e+00, -1.43360e+00 
1.07500e-01, 2.57593e+00, 2.36489e+00, -1.46493e+00 
1.10000e-01, 2.57081e+00, 2.35012e+00, -1.49606e+00 
1.12500e-01, 2.56558e+00, 2.33505e+00, -1.52700e+00 
1.15000e-01, 2.56024e+00, 2.31968e+00, -1.55774e+00 
1.17500e-01, 2.55479e+00, 2.30400e+00, -1.58827e+00 
1.20000e-01, 2.54922e+00, 2.28803e+00, -1.61858e+00 
1.22500e-01, 2.54355e+00, 2.27175e+00, -1.64869e+00 
1.25000e-01, 2.53778e+00, 2.25518e+00, -1.67857e+00 
1.27500e-01, 2.53189e+00, 2.23833e+00, -1.70824e+00 
1.30000e-01, 2.52590e+00, 2.22118e+00, -1.73768e+00 
1.32500e-01, 2.51980e+00, 2.20374e+00, -1.76689e+00 
1.35000e-01, 2.51359e+00, 2.18602e+00, -1.79586e+00 
1.37500e-01, 2.50728e+00, 2.16802e+00, -1.82460e+00 
1.40000e-01, 2.50086e+00, 2.14973e+00, -1.85309e+00 
1.42500e-01, 2.49434e+00, 2.13117e+00, -1.88135e+00 
1.45000e-01, 2.48771e+00, 2.11234e+00, -1.90935e+00 
1.47500e-01, 2.48098e+00, 2.09324e+00, -1.93710e+00 
1.50000e-01, 2.47415e+00, 2.07387e+00, -1.96460e+00 
1.52500e-01, 2.46722e+00, 2.05423e+00, -1.99183e+00 
1.55000e-01, 2.46018e+00, 2.03433e+00, -2.01881e+00 
1.57500e-01, 2.45305e+00, 2.01417e+00, -2.04551e+00 
1.60000e-01, 2.44581e+00, 1.99375e+00, -2.07195e+00 
1.62500e-01, 2.43847e+00, 1.97308e+00, -2.09812e+00 
1.65000e-01, 2.43104e+00, 1.95216e+00, -2.12401e+00 
1.67500e-01, 2.42351e+00, 1.93099e+00, -2.14962e+00 
1.70000e-01, 2.41588e+00, 1.90958e+00, -2.17494e+00 
1.72500e-01, 2.40815e+00, 1.88792e+00, -2.19998e+00 
1.75000e-01, 2.40032e+00, 1.86603e+00, -2.22473e+00 
1.77500e-01, 2.39240e+00, 1.84390e+00, -2.24919e+00 
1.80000e-01, 2.38439e+00, 1.82155e+00, -2.27336e+00 
1.82500e-01, 2.37628e+00, 1.79896e+00, -2.29722e+00 
1.85000e-01, 2.36808e+00, 1.77615e+00, -2.32078e+00 
1.87500e-01, 2.35978e+00, 1.75311e+00, -2.34404e+00 
1.90000e-01, 2.35140e+00, 1.72986e+00, -2.36699e+00 
1.92500e-01, 2.34292e+00, 1.70639e+00, -2.38963e+00 
1.95000e-01, 2.33435e+00, 1.68271e+00, -2.41196e+00 
1.97500e-01, 2.32569e+00, 1.65883e+00, -2.43397e+00 
2.00000e-01, 2.31694e+00, 1.63474e+00, -2.45566e+00 
2.02500e-01, 2.30811e+00, 1.61044e+00, -2.47704e+00 
2.05000e-01, 2.29918e+00, 1.58595e+00, -2.49808e+00 
2.07500e-01, 2.29017e+00, 1.56127e+00, -2.51880e+00 
2.10000e-01, 2.28108e+00, 1.53640e+00, -2.53920e+00 
2.12500e-01, 2.27190e+00, 1.51134e+00, -2.55925e+00 
2.15000e-01, 2.26263e+00, 1.48609e+00, -2.57898e+00 
2.17500e-01, 2.25328e+00, 1.46067e+00, -2.59837e+00 
2.20000e-01, 2.24385e+00, 1.43507e+00, -2.61742e+00 
2.22500e-01, 2.23434e+00, 1.40930e+00, -2.63613e+00 
2.25000e-01, 2.22475e+00, 1.38336e+00, -2.65449e+00 
2.27500e-01, 2.21507e+00, 1.35726e+00, -2.67251e+00 
2.30000e-01, 2.20532e+00, 1.33100e+00, -2.69019e+00 
2.32500e-01, 2.19549e+00, 1.30458e+00, -2.70751e+00 
2.35000e-01, 2.18558e+00, 1.27801e+00, -2.72448e+00 
2.37500e-01, 2.17559e+00, 1.25129e+00, -2.74109e+00 
2.40000e-01, 2.16553e+00, 1.22442e+00, -2.75735e+00 
2.42500e-01, 2.15539e+00, 1.19742e+00, -2.77326e+00 
2.45000e-01, 2.14518e+00, 1.17027e+00, -2.78880e+00 
2.47500e-01, 2.13490e+00, 1.14300e+00, -2.80398e+00 
2.50000e-01, 2.12454e+00, 1.11559e+00, -2.81880e+00 
2.52500e-01, 2.11411e+00, 1.08806e+00, -2.83325e+00 
2.55000e-01, 2.10361e+00, 1.06041e+00, -2.84734e+00 
2.57500e-01, 2.09304e+00, 1.03264e+00, -2.86106e+00 
2.60000e-01, 2.08241e+00, 1.00476e+00, -2.87441e+00 
2.62500e-01, 2.07170e+00, 9.76764e-01, -2.88738e+00 
2.65000e-01, 2.06093e+00, 9.48668e-01, -2.89999e+00 
2.67500e-01, 2.05009e+00, 9.20471e-01, -2.91222e+00 
2.70000e-01, 2.03919e+00, 8.92177e-01, -2.92408e+00 
2.72500e-01, 2.02822e+00, 8.63790e-01, -2.93556e+00 
2.75000e-01, 2.01719e+00, 8.35315e-01, -2.94666e+00 
2.77500e-01, 2.00610e+00, 8.06756e-01, -2.95738e+00 
2.80000e-01, 1.99495e+00, 7.78116e-01, -2.96773e+00 
2.82500e-01, 1.98373e+00, 7.49401e-01, -2.97769e+00 
2.85000e-01, 1.97246e+00, 7.20613e-01, -2.98727e+00 
2.87500e-01, 1.96113e+00, 6.91758e-01, -2.99647e+00 
2.90000e-01, 1.94974e+00, 6.62839e-01, -3.00528e+00 
2.92500e-01, 1.93829e+00, 6.33860e-01, -3.01371e+00 
2.95000e-01, 1.92679e+00, 6.04827e-01, -3.02176e+00 
2.97500e-01, 1.91524e+00, 5.75742e-01, -3.02941e+00 
3.00000e-01, 1.90363e+00, 5.46611e-01, -3.03669e+00 
3.02500e-01, 1.89197e+00, 5.17437e-01, -3.04357e+00 
3.05000e-01, 1.88025e+00, 4.88225e-01, -3.05007e+00 
3.07500e-01, 1.86849e+00, 4.58979e-01, -3.05618e+00 
3.10000e-01, 1.85668e+00, 4.29702e-01, -3.06190e+00 
3.12500e-01, 1.84482e+00, 4.00400e-01, -3.06723e+00 
3.15000e-01, 1.83291e+00, 3.71077e-01, -3.07217e+00 
3.17500e-01, 1.82095e+00, 3.41736e-01, -3.07672e+00 
3.20000e-01, 1.80895e+00, 3.12383e-01, -3.08089e+00 
3.22500e-01, 1.79691e+00, 2.83020e-01, -3.08466e+00 
3.25000e-01, 1.78482e+00, 2.53653e-01, -3.08804e+00 
3.27500e-01, 1.77269e+00, 2.24286e-01, -3.09103e+00 
3.30000e-01, 1.76051e+00, 1.94923e-01, -3.09364e+00 
3.32500e-01, 1.74830e+00, 1.65567e-01, -3.09585e+00 
3.35000e-01, 1.73605e+00, 1.36224e-01, -3.09767e+00 
3.37500e-01, 1.72376e+00, 1.06898e-01, -3.09911e+00 
3.40000e-01, 1.71143e+00, 7.75924e-02, -3.10015e+00 
3.42500e-01, 1.69906e+00, 4.83117e-02, -3.10081e+00 
3.45000e-01, 1.68666e+00, 1.90602e-02, -3.10107e+00 
3.47500e-01, 1.67423e+00, -1.01581e-02, -3.10095e+00 
3.50000e-01, 1.66176e+00, -3.93387e-02, -3.10044e+00 
3.52500e-01, 1.64926e+00, -6.84778e-02, -3.09955e+00 
3.55000e-01, 1.63673e+00, -9.75709e-02, -3.09826e+00 
3.57500e-01, 1.62417e+00, -1.26614e-01, -3.09659e+00 
3.60000e-01, 1.61157e+00, -1.55603e-01, -3.09454e+00 
3.62500e-01, 1.59896e+00, -1.84534e-01, -3.09210e+00 
3.65000e-01, 1.58631e+00, -2.13402e-01, -3.08928e+00 
3.67500e-01, 1.57364e+00, -2.42204e-01, -3.08607e+00 
3.70000e-01, 1.56094e+00, -2.70935e-01, -3.08249e+00 
3.72500e-01, 1.54822e+00, -2.99591e-01, -3.07852e+00 
3.75000e-01, 1.53548e+00, -3.28169e-01, -3.07417e+00 
3.77500e-01, 1.52271e+00, -3.56664e-01, -3.06944e+00 
3.80000e-01, 1.50992e+00, -3.85072e-01, -3.06434e+00 
3.82500e-01, 1.49712e+00, -4.13388e-01, -3.05886e+00 
3.85000e-01, 1.48429e+00, -4.41611e-01, -3.05300e+00 
3.87500e-01, 1.47145e+00, -4.69734e-01, -3.04677e+00 
3.90000e-01, 1.45859e+00, -4.97754e-01, -3.04017e+00 
3.92500e-01, 1.44571e+00, -5.25667e-01, -3.03319e+00 
3.95000e-01, 1.43282e+00, -5.53470e-01, -3.02585e+00 
3.97500e-01, 1.41992e+00, -5.81158e-01, -3.01813e+00 
4.00000e-01, 1.40700e+00, -6.08727e-01, -3.01005e+00 
4.02500e-01, 1.39408e+00, -6.36173e-01, -3.00161e+00 
4.05000e-01, 1.38114e+00, -6.63494e-01, -2.99280e+00 
4.07500e-01, 1.36819e+00, -6.90684e-01, -2.98363e+00 
4.10000e-01, 1.35523e+00, -7.17740e-01, -2.97410e+00 
4.12500e-01, 1.34227e+00, -7.44658e-01, -2.96421e+00 
4.15000e-01, 1.32930e+00, -7.71435e-01, -2.95397e+00 
4.17500e-01, 1.31633e+00, -7.98066e-01, -2.94337e+00 
4.20000e-01, 1.30335e+00, -8.24548e-01, -2.93242e+00 
4.22500e-01, 1.29036e+00, -8.50878e-01, -2.92112e+00 
4.25000e-01, 1.27738e+00, -8.77051e-01, -2.90947e+00 
4.27500e-01, 1.26439e+00, -9.03063e-01, -2.89747e+00 
4.30000e-01, 1.25140e+00, -9.28913e-01, -2.88513e+00 
4.32500e-01, 1.23842e+00, -9.54594e-01, -2.87245e+00 
4.35000e-01, 1.22543e+00, -9.80105e-01, -2.85943e+00 
4.37500e-01, 1.21245e+00, -1.00544e+00, -2.84607e+00 
4.40000e-01, 1.19947e+00, -1.03060e+00, -2.83237e+00 
4.42500e-01, 1.18650e+00, -1.05558e+00, -2.81835e+00 
4.45000e-01, 1.17353e+00, -1.08037e+00, -2.80399e+00 
4.47500e-01, 1.16057e+00, -1.10497e+00, -2.78930e+00 
4.50000e-01, 1.14762e+00, -1.12939e+00, -2.77429e+00 
4.52500e-01, 1.13468e+00, -1.15360e+00, -2.75896e+00 
4.55000e-01, 1.12174e+00, -1.17762e+00, -2.74331e+00 
4.57500e-01, 1.10882e+00, -1.20144e+00, -2.72734e+00 
4.60000e-01, 1.09591e+00, -1.22505e+00, -2.71106e+00 
4.62500e-01, 1.08301e+00, -1.24846e+00, -2.69446e+00 
4.65000e-01, 1.07012e+00, -1.27165e+00, -2.67755e+00 
4.67500e-01, 1.05725e+00, -1.29463e+00, -2.66034e+00 
4.70000e-01, 1.04440e+00, -1.31739e+00, -2.64283e+00 
4.72500e-01, 1.03156e+00, -1.33993e+00, -2.62501e+00 
4.75000e-01, 1.01874e+00, -1.36225e+00, -2.60690e+00 
4.77500e-01, 1.00594e+00, -1.38434e+00, -2.58849e+00 
4.80000e-01, 9.93152e-01, -1.40620e+00, -2.56979e+00 
4.82500e-01, 9.80389e-01, -1.42782e+00, -2.55081e+00 
4.85000e-01, 9.67648e-01, -1.44922e+00, -2.53153e+00 
4.87500e-01, 9.54929e-01, -1.47037e+00, -2.51198e+00 
4.90000e-01, 9.42233e-01, -1.49128e+00, -2.49215e+00 
4.92500e-01, 9.29561e-01, -1.51195e+00, -2.47204e+00 
4.95000e-01, 9.16915e-01, -1.53237e+00, -2.45166e+00 
4.97500e-01, 9.04294e-01, -1.55254e+00, -2.43100e+00 
5.00000e-01, 8.91700e-01, -1.57246e+00, -2.41009e+00 
5.02500e-01, 8.79134e-01, -1.59212e+00, -2.38891e+00 
5.05000e-01, 8.66597e-01, -1.61153e+00, -2.36747e+00 
5.07500e-01, 8.54089e-01, -1.63068e+00, -2.34578e+00 
5.10000e-01, 8.41612e-01, -1.64956e+00, -2.32383e+00 
5.12500e-01, 8.29166e-01, -1.66818e+00, -2.30164e+00 
5.15000e-01, 8.16753e-01, -1.68653e+00, -2.27920e+00 
5.17500e-01, 8.04372e-01, -1.70461e+00, -2.25652e+00 
5.20000e-01, 7.92026e-01, -1.72242e+00, -2.23361e+00 
5.22500e-01, 7.79715e-01, -1.73996e+00, -2.21045e+00 
5.25000e-01, 7.67439e-01, -1.75722e+00, -2.18707e+00 
5.27500e-01, 7.55200e-01, -1.77419e+00, -2.16346e+00 
5.30000e-01, 7.42999e-01, -1.79089e+00, -2.13963e+00 
5.32500e-01, 7.30835e-01, -1.80731e+00, -2.11558e+00 
5.35000e-01, 7.18711e-01, -1.82344e+00, -2.09131e+00 
5.37500e-01, 7.06627e-01, -1.83928e+00, -2.06683e+00 
5.40000e-01, 6.94584e-01, -1.85483e+00, -2.04215e+00 
5.42500e-01, 6.82583e-01, -1.87009e+00, -2.01726e+00 
5.45000e-01, 6.70623e-01, -1.88506e+00, -1.99217e+00 
5.47500e-01, 6.58708e-01, -1.89973e+00, -1.96688e+00 
5.50000e-01, 6.46836e-01, -1.91411e+00, -1.94140e+00 
5.52500e-01, 6.35009e-01, -1.92819e+00, -1.91573e+00 
5.55000e-01, 6.23227e-01, -1.94197e+00, -1.88988e+00 
5.57500e-01, 6.11493e-01, -1.95544e+00, -1.86385e+00 
5.60000e-01, 5.99805e-01, -1.96861e+00, -1.83764e+00 
5.62500e-01, 5.88165e-01, -1.98148e+00, -1.81126e+00 
5.65000e-01, 5.76574e-01, -1.99404e+00, -1.78471e+00 
5.67500e-01, 5.65033e-01, -2.00629e+00, -1.75800e+00 
5.70000e-01, 5.53541e-01, -2.01823e+00, -1.73113e+00 
5.72500e-01, 5.42101e-01, -2.02986e+00, -1.70410e+00 
5.75000e-01, 5.30712e-01, -2.04118e+00, -1.67692e+00 
5.77500e-01, 5.19376e-01, -2.05218e+00, -1.64959e+00 
5.80000e-01, 5.08093e-01, -2.06287e+00, -1.62212e+00 
5.82500e-01, 4.96864e-01, -2.07325e+00, -1.59451e+00 
5.85000e-01, 4.85689e-01, -2.08330e+00, -1.56677e+00 
5.87500e-01, 4.74570e-01, -2.09304e+00, -1.53889e+00 
5.90000e-01, 4.63506e-01, -2.10246e+00, -1.51089e+00 
5.92500e-01, 4.52500e-01, -2.11156e+00, -1.48277e+00 
5.95000e-01, 4.41550e-01, -2.12034e+00, -1.45452e+00 
5.97500e-01, 4.30658e-01, -2.12879e+00, -1.42617e+00 
6.00000e-01, 4.19825e-01, -2.13692e+00, -1.39770e+00 
6.02500e-01, 4.09052e-01, -2.14473e+00, -1.36913e+00 
6.05000e-01, 3.98338e-01, -2.15222e+00, -1.34046e+00 
6.07500e-01, 3.87684e-01, -2.15937e+00, -1.31170e+00 
6.10000e-01, 3.77092e-01, -2.16621e+00, -1.28284e+00 
6.12500e-01, 3.66562e-01, -2.17271e+00, -1.25389e+00 
6.15000e-01, 3.56094e-01, -2.17889e+00, -1.22486e+00 
6.17500e-01, 3.45689e-01, -2.18474e+00, -1.19575e+00 
6.20000e-01, 3.35348e-01, -2.19027e+00, -1.16657e+00 
6.22500e-01, 3.25070e-01, -2.19546e+00, -1.13731e+00 
6.25000e-01, 3.14858e-01, -2.20033e+00, -1.10799e+00 
6.27500e-01, 3.04711e-01, -2.20487e+00, -1.07861e+00 
6.30000e-01, 2.94629e-01, -2.20908e+00, -1.04917e+00 
6.32500e-01, 2.84614e-01, -2.21296e+00, -1.01968e+00 
6.35000e-01, 2.74666e-01, -2.21651e+00, -9.90138e-01 
6.37500e-01, 2.64786e-01, -2.21973e+00, -9.60554e-01 
6.40000e-01, 2.54974e-01, -2.22262e+00, -9.30930e-01 
6.42500e-01, 2.45230e-01, -2.22518e+00, -9.01271e-01 
6.45000e-01, 2.35555e-01, -2.22741e+00, -8.71581e-01 
6.47500e-01, 2.25950e-01, -2.22931e+00, -8.41864e-01 
6.50000e-01, 2.16414e-01, -2.23089e+00, -8.12125e-01 
6.52500e-01, 2.06950e-01, -2.23213e+00, -7.82369e-01 
6.55000e-01, 1.97556e-01, -2.23304e+00, -7.52599e-01 
6.57500e-01, 1.88234e-01, -2.23363e+00, -7.22820e-01 
6.60000e-01, 1.78983e-01, -2.23389e+00, -6.93037e-01 
6.62500e-01, 1.69805e-01, -2.23382e+00, -6.63253e-01 
6.65000e-01, 1.60700e-01, -2.23342e+00, -6.33474e-01 
6.67500e-01, 1.51668e-01, -2.23270e+00, -6.03703e-01 
6.70000e-01, 1.42710e-01, -2.23165e+00, -5.73944e-01 
6.72500e-01, 1.33826e-01, -2.23028e+00, -5.44203e-01 
6.75000e-01, 1.25016e-01, -2.22858e+00, -5.14483e-01 
6.77500e-01, 1.16281e-01, -2.22655e+00, -4.84789e-01 
6.80000e-01, 1.07622e-01, -2.22421e+00, -4.55125e-01 
6.82500e-01, 9.90377e-02, -2.22154e+00, -4.25495e-01 
6.85000e-01, 9.05297e-02, -2.21854e+00, -3.95904e-01 
6.87500e-01, 8.20981e-02, -2.21523e+00, -3.66356e-01 
6.90000e-01, 7.37432e-02, -2.21160e+00, -3.36855e-01 
6.92500e-01, 6.54653e-02, -2.20765e+00, -3.07405e-01 
6.95000e-01, 5.72647e-02, -2.20338e+00, -2.78012e-01 
6.97500e-01, 4.91419e-02, -2.19879e+00, -2.48678e-01 
7.00000e-01, 4.10971e-02, -2.19389e+00, -2.19408e-01 
7.02500e-01, 3.31306e-02, -2.18868e+00, -1.90206e-01 
7.05000e-01, 2.52427e-02, -2.18315e+00, -1.61077e-01 
7.07500e-01, 1.74337e-02, -2.17731e+00, -1.32024e-01 
7.10000e-01, 9.70386e-03, -2.17116e+00, -1.03052e-01 
7.12500e-01, 2.05345e-03, -2.16470e+00, -7.41650e-02 
7.15000e-01, -5.51727e-03, -2.15793e+00, -4.53668e-02 
7.17500e-01, -1.30081e-02, -2.15085e+00, -1.66617e-02 
7.20000e-01, -2.04187e-02, -2.14347e+00, 1.19463e-02 
7.22500e-01, -2.77489e-02, -2.13579e+00, 4.04532e-02 
7.25000e-01, -3.49984e-02, -2.12781e+00, 6.88549e-02 
7.27500e-01, -4.21671e-02, -2.11952e+00, 9.71475e-02 
7.30000e-01, -4.92548e-02, -2.11094e+00, 1.25327e-01 
7.32500e-01, -5.62613e-02, -2.10206e+00, 1.53389e-01 
7.35000e-01, -6.31863e-02, -2.09289e+00, 1.81331e-01 
7.37500e-01, -7.00297e-02, -2.08343e+00, 2.09147e-01 
7.40000e-01, -7.67914e-02, -2.07367e+00, 2.36835e-01 
7.42500e-01, -8.34711e-02, -2.06362e+00, 2.64390e-01 
7.45000e-01, -9.00688e-02, -2.05329e+00, 2.91808e-01 
7.47500e-01, -9.65843e-02, -2.04267e+00, 3.19086e-01 
7.50000e-01, -1.03017e-01, -2.03177e+00, 3.46220e-01 
7.52500e-01, -1.09368e-01, -2.02059e+00, 3.73207e-01 
7.55000e-01, -1.15636e-01, -2.00913e+00, 4.00041e-01 
7.57500e-01, -1.21822e-01, -1.99739e+00, 4.26721e-01 
7.60000e-01, -1.27924e-01, -1.98537e+00, 4.53242e-01 
7.62500e-01, -1.33944e-01, -1.97309e+00, 4.79600e-01 
7.65000e-01, -1.39881e-01, -1.96053e+00, 5.05792e-01 
7.67500e-01, -1.45735e-01, -1.94771e+00, 5.31814e-01 
7.70000e-01, -1.51506e-01, -1.93462e+00, 5.57663e-01 
7.72500e-01, -1.57194e-01, -1.92127e+00, 5.83335e-01 
7.75000e-01, -1.62798e-01, -1.90766e+00, 6.08827e-01 
7.77500e-01, -1.68320e-01, -1.89379e+00, 6.34136e-01 
7.80000e-01, -1.73758e-01, -1.87967e+00, 6.59257e-01 
7.82500e-01, -1.79113e-01, -1.86529e+00, 6.84188e-01 
7.85000e-01, -1.84385e-01, -1.85066e+00, 7.08925e-01 
7.87500e-01, -1.89574e-01, -1.83579e+00, 7.33465e-01 
7.90000e-01, -1.94680e-01, -1.82066e+00, 7.57804e-01 
