r(m), B_r(T), B_theta(T), B_z(T) 
0.00000, 16.98105, 16.98105, -0.00000 
0.00250, 16.97722, 16.96981, -0.70919 
0.00500, 16.96575, 16.93614, -1.41743 
0.00750, 16.94665, 16.88007, -2.12379 
0.01000, 16.91993, 16.80168, -2.82732 
0.01250, 16.88561, 16.70110, -3.52709 
0.01500, 16.84374, 16.57847, -4.22218 
0.01750, 16.79433, 16.43397, -4.91166 
0.02000, 16.73745, 16.26782, -5.59461 
0.02250, 16.67314, 16.08026, -6.27014 
0.02500, 16.60146, 15.87157, -6.93734 
0.02750, 16.52247, 15.64205, -7.59535 
0.03000, 16.43624, 15.39204, -8.24328 
0.03250, 16.34286, 15.12192, -8.88029 
0.03500, 16.24239, 14.83207, -9.50554 
0.03750, 16.13495, 14.52293, -10.11821 
0.04000, 16.02061, 14.19496, -10.71750 
0.04250, 15.89949, 13.84862, -11.30263 
0.04500, 15.77168, 13.48444, -11.87284 
0.04750, 15.63732, 13.10295, -12.42739 
0.05000, 15.49650, 12.70471, -12.96557 
0.05250, 15.34936, 12.29030, -13.48668 
0.05500, 15.19603, 11.86033, -13.99007 
0.05750, 15.03665, 11.41544, -14.47508 
0.06000, 14.87135, 10.95628, -14.94111 
0.06250, 14.70028, 10.48351, -15.38757 
0.06500, 14.52360, 9.99783, -15.81391 
0.06750, 14.34145, 9.49995, -16.21960 
0.07000, 14.15399, 8.99061, -16.60413 
0.07250, 13.96140, 8.47053, -16.96706 
0.07500, 13.76383, 7.94049, -17.30793 
0.07750, 13.56146, 7.40125, -17.62636 
0.08000, 13.35447, 6.85360, -17.92197 
0.08250, 13.14303, 6.29834, -18.19442 
0.08500, 12.92733, 5.73627, -18.44341 
0.08750, 12.70755, 5.16821, -18.66868 
0.09000, 12.48388, 4.59499, -18.86999 
0.09250, 12.25651, 4.01743, -19.04715 
0.09500, 12.02563, 3.43637, -19.19998 
0.09750, 11.79145, 2.85266, -19.32836 
0.10000, 11.55416, 2.26712, -19.43220 
0.10250, 11.31395, 1.68060, -19.51144 
0.10500, 11.07103, 1.09396, -19.56605 
0.10750, 10.82561, 0.50802, -19.59606 
0.11000, 10.57788, -0.07636, -19.60150 
0.11250, 10.32806, -0.65836, -19.58247 
0.11500, 10.07634, -1.23715, -19.53907 
0.11750, 9.82294, -1.81189, -19.47147 
0.12000, 9.56805, -2.38178, -19.37985 
0.12250, 9.31190, -2.94601, -19.26444 
0.12500, 9.05468, -3.50377, -19.12548 
0.12750, 8.79660, -4.05429, -18.96327 
0.13000, 8.53786, -4.59678, -18.77813 
0.13250, 8.27867, -5.13049, -18.57042 
0.13500, 8.01924, -5.65468, -18.34051 
0.13750, 7.75976, -6.16861, -18.08883 
0.14000, 7.50043, -6.67158, -17.81582 
0.14250, 7.24146, -7.16289, -17.52196 
0.14500, 6.98304, -7.64186, -17.20775 
0.14750, 6.72537, -8.10784, -16.87373 
0.15000, 6.46863, -8.56020, -16.52045 
0.15250, 6.21302, -8.99834, -16.14851 
0.15500, 5.95872, -9.42165, -15.75850 
0.15750, 5.70591, -9.82959, -15.35107 
0.16000, 5.45478, -10.22160, -14.92688 
0.16250, 5.20549, -10.59719, -14.48659 
0.16500, 4.95823, -10.95587, -14.03092 
0.16750, 4.71314, -11.29718, -13.56058 
0.17000, 4.47041, -11.62068, -13.07631 
0.17250, 4.23018, -11.92599, -12.57887 
0.17500, 3.99260, -12.21274, -12.06902 
0.17750, 3.75783, -12.48057, -11.54755 
0.18000, 3.52600, -12.72919, -11.01526 
0.18250, 3.29724, -12.95832, -10.47296 
0.18500, 3.07169, -13.16772, -9.92147 
0.18750, 2.84945, -13.35717, -9.36161 
0.19000, 2.63066, -13.52649, -8.79424 
0.19250, 2.41540, -13.67555, -8.22017 
0.19500, 2.20379, -13.80423, -7.64028 
0.19750, 1.99589, -13.91246, -7.05539 
0.20000, 1.79180, -14.00019, -6.46637 
0.20250, 1.59159, -14.06742, -5.87406 
0.20500, 1.39531, -14.11418, -5.27932 
0.20750, 1.20301, -14.14055, -4.68298 
0.21000, 1.01472, -14.14661, -4.08588 
0.21250, 0.83048, -14.13252, -3.48886 
0.21500, 0.65029, -14.09845, -2.89274 
0.21750, 0.47415, -14.04461, -2.29833 
0.22000, 0.30205, -13.97125, -1.70642 
0.22250, 0.13396, -13.87867, -1.11781 
0.22500, -0.03018, -13.76719, -0.53325 
0.22750, -0.19043, -13.63718, 0.04650 
0.23000, -0.34687, -13.48903, 0.62072 
0.23250, -0.49960, -13.32321, 1.18870 
0.23500, -0.64875, -13.14018, 1.74976 
0.23750, -0.79446, -12.94046, 2.30325 
0.24000, -0.93690, -12.72463, 2.84856 
0.24250, -1.07627, -12.49327, 3.38507 
0.24500, -1.21278, -12.24703, 3.91225 
0.24750, -1.34668, -11.98660, 4.42957 
0.25000, -1.47826, -11.71270, 4.93654 
0.25250, -1.60782, -11.42609, 5.43274 
0.25500, -1.73570, -11.12758, 5.91776 
0.25750, -1.86230, -10.81802, 6.39126 
0.26000, -1.98803, -10.49831, 6.85295 
0.26250, -2.11336, -10.16939, 7.30258 
0.26500, -2.23879, -9.83223, 7.73997 
0.26750, -2.36488, -9.48788, 8.16499 
0.27000, -2.49223, -9.13741, 8.57758 
0.27250, -2.62152, -8.78194, 8.97776 
0.27500, -2.75345, -8.42265, 9.36560 
0.27750, -2.88881, -8.06078, 9.74125 
0.28000, -3.02845, -7.69758, 10.10496 
0.28250, -3.17328, -7.33441, 10.45703 
0.28500, -3.32431, -6.97263, 10.79790 
0.28750, -3.48260, -6.61371, 11.12804 
0.29000, -3.64931, -6.25915, 11.44808 
0.29250, -3.82571, -5.91050, 11.75872 
0.29500, -4.01314, -5.56940, 12.06078 
0.29750, -4.21305, -5.23754, 12.35521 
0.30000, -4.42702, -4.91668, 12.64306 
0.30250, -4.65673, -4.60866, 12.92553 
0.30500, -4.90398, -4.31539, 13.20396 
0.30750, -5.17074, -4.03885, 13.47983 
0.31000, -5.45908, -3.78110, 13.75477 
0.31250, -5.77125, -3.54431, 14.03058 
0.31500, -6.10966, -3.33069, 14.30924 
0.31750, -6.47689, -3.14259, 14.59290 
0.32000, -6.87568, -2.98244, 14.88391 
0.32250, -7.30902, -2.85275, 15.18482 
0.32500, -7.78004, -2.75616, 15.49841 
0.32750, -8.29216, -2.69542, 15.82767 
0.33000, -8.84897, -2.67338, 16.17585 
0.33250, -9.45436, -2.69302, 16.54643 
0.33500, -10.11244, -2.75746, 16.94319 
0.33750, -10.82765, -2.86993, 17.37017 
0.34000, -11.60467, -3.03381, 17.83172 
0.34250, -12.44855, -3.25263, 18.33252 
0.34500, -13.36462, -3.53007, 18.87758 
0.34750, -14.35861, -3.86996, 19.47225 
0.35000, -15.43659, -4.27633, 20.12229 
0.35250, -16.60505, -4.75335, 20.83383 
0.35500, -17.87088, -5.30539, 21.61343 
0.35750, -19.24142, -5.93701, 22.46809 
0.36000, -20.72449, -6.65298, 23.40530 
0.36250, -22.32837, -7.45827, 24.43302 
0.36500, -24.06191, -8.35809, 25.55975 
0.36750, -25.93448, -9.35785, 26.79453 
0.37000, -27.95603, -10.46323, 28.14701 
0.37250, -30.13715, -11.68014, 29.62744 
0.37500, -32.48907, -13.01477, 31.24671 
0.37750, -35.02368, -14.47358, 33.01643 
0.38000, -37.75363, -16.06331, 34.94890 
0.38250, -40.69231, -17.79100, 37.05721 
0.38500, -43.85391, -19.66400, 39.35526 
0.38750, -47.25347, -21.68998, 41.85778 
0.39000, -50.90693, -23.87696, 44.58042 
0.39250, -54.83113, -26.23330, 47.53977 
0.39500, -59.04395, -28.76772, 50.75340 
0.39750, -63.56425, -31.48933, 54.23996 
0.40000, -68.41202, -34.40761, 58.01918 
0.40250, -73.60838, -37.53247, 62.11198 
0.40500, -79.17565, -40.87424, 66.54048 
0.40750, -85.13741, -44.44366, 71.32812 
0.41000, -91.51860, -48.25196, 76.49967 
0.41250, -98.34551, -52.31082, 82.08134 
0.41500, -105.64592, -56.63240, 88.10085 
0.41750, -113.44915, -61.22938, 94.58750 
0.42000, -121.78612, -66.11494, 101.57223 
0.42250, -130.68945, -71.30281, 109.08774 
0.42500, -140.19351, -76.80726, 117.16856 
