r(m), E_r(T), E_theta(T), E_z(T) 
0.00000e+00, 4.35791e+09, -4.35791e+09, 0.00000e+00 
2.50000e-03, 4.35790e+09, -4.35790e+09, 9.92793e-17 
5.00000e-03, 4.35786e+09, -4.35789e+09, 1.98558e-16 
7.50000e-03, 4.35781e+09, -4.35787e+09, 2.97836e-16 
1.00000e-02, 4.35773e+09, -4.35784e+09, 3.97112e-16 
1.25000e-02, 4.35763e+09, -4.35781e+09, 4.96386e-16 
1.50000e-02, 4.35751e+09, -4.35776e+09, 5.95657e-16 
1.75000e-02, 4.35736e+09, -4.35771e+09, 6.94926e-16 
2.00000e-02, 4.35720e+09, -4.35765e+09, 7.94190e-16 
2.25000e-02, 4.35701e+09, -4.35758e+09, 8.93451e-16 
2.50000e-02, 4.35680e+09, -4.35750e+09, 9.92707e-16 
2.75000e-02, 4.35657e+09, -4.35741e+09, 1.09196e-15 
3.00000e-02, 4.35631e+09, -4.35732e+09, 1.19120e-15 
3.25000e-02, 4.35603e+09, -4.35722e+09, 1.29044e-15 
3.50000e-02, 4.35573e+09, -4.35711e+09, 1.38967e-15 
3.75000e-02, 4.35541e+09, -4.35699e+09, 1.48890e-15 
4.00000e-02, 4.35507e+09, -4.35686e+09, 1.58811e-15 
4.25000e-02, 4.35470e+09, -4.35672e+09, 1.68732e-15 
4.50000e-02, 4.35431e+09, -4.35658e+09, 1.78652e-15 
4.75000e-02, 4.35390e+09, -4.35643e+09, 1.88571e-15 
5.00000e-02, 4.35347e+09, -4.35627e+09, 1.98489e-15 
5.25000e-02, 4.35301e+09, -4.35610e+09, 2.08406e-15 
5.50000e-02, 4.35254e+09, -4.35593e+09, 2.18322e-15 
5.75000e-02, 4.35204e+09, -4.35574e+09, 2.28237e-15 
6.00000e-02, 4.35151e+09, -4.35555e+09, 2.38151e-15 
6.25000e-02, 4.35097e+09, -4.35535e+09, 2.48063e-15 
6.50000e-02, 4.35040e+09, -4.35514e+09, 2.57974e-15 
6.75000e-02, 4.34982e+09, -4.35492e+09, 2.67884e-15 
7.00000e-02, 4.34921e+09, -4.35470e+09, 2.77792e-15 
7.25000e-02, 4.34857e+09, -4.35446e+09, 2.87699e-15 
7.50000e-02, 4.34792e+09, -4.35422e+09, 2.97604e-15 
7.75000e-02, 4.34724e+09, -4.35397e+09, 3.07508e-15 
8.00000e-02, 4.34654e+09, -4.35371e+09, 3.17410e-15 
8.25000e-02, 4.34582e+09, -4.35345e+09, 3.27311e-15 
8.50000e-02, 4.34508e+09, -4.35317e+09, 3.37210e-15 
8.75000e-02, 4.34431e+09, -4.35289e+09, 3.47107e-15 
9.00000e-02, 4.34353e+09, -4.35260e+09, 3.57002e-15 
9.25000e-02, 4.34272e+09, -4.35230e+09, 3.66895e-15 
9.50000e-02, 4.34188e+09, -4.35199e+09, 3.76787e-15 
9.75000e-02, 4.34103e+09, -4.35168e+09, 3.86676e-15 
1.00000e-01, 4.34015e+09, -4.35136e+09, 3.96563e-15 
1.02500e-01, 4.33926e+09, -4.35102e+09, 4.06449e-15 
1.05000e-01, 4.33834e+09, -4.35068e+09, 4.16332e-15 
1.07500e-01, 4.33739e+09, -4.35034e+09, 4.26213e-15 
1.10000e-01, 4.33643e+09, -4.34998e+09, 4.36092e-15 
1.12500e-01, 4.33544e+09, -4.34962e+09, 4.45968e-15 
1.15000e-01, 4.33443e+09, -4.34924e+09, 4.55843e-15 
1.17500e-01, 4.33340e+09, -4.34886e+09, 4.65715e-15 
1.20000e-01, 4.33235e+09, -4.34847e+09, 4.75584e-15 
1.22500e-01, 4.33128e+09, -4.34808e+09, 4.85451e-15 
1.25000e-01, 4.33018e+09, -4.34767e+09, 4.95315e-15 
1.27500e-01, 4.32906e+09, -4.34726e+09, 5.05177e-15 
1.30000e-01, 4.32792e+09, -4.34684e+09, 5.15036e-15 
1.32500e-01, 4.32676e+09, -4.34641e+09, 5.24892e-15 
1.35000e-01, 4.32557e+09, -4.34597e+09, 5.34746e-15 
1.37500e-01, 4.32437e+09, -4.34552e+09, 5.44597e-15 
1.40000e-01, 4.32314e+09, -4.34507e+09, 5.54445e-15 
1.42500e-01, 4.32189e+09, -4.34461e+09, 5.64290e-15 
1.45000e-01, 4.32061e+09, -4.34414e+09, 5.74132e-15 
1.47500e-01, 4.31932e+09, -4.34366e+09, 5.83972e-15 
1.50000e-01, 4.31800e+09, -4.34317e+09, 5.93808e-15 
1.52500e-01, 4.31666e+09, -4.34268e+09, 6.03641e-15 
1.55000e-01, 4.31530e+09, -4.34218e+09, 6.13471e-15 
1.57500e-01, 4.31392e+09, -4.34166e+09, 6.23297e-15 
1.60000e-01, 4.31251e+09, -4.34115e+09, 6.33121e-15 
1.62500e-01, 4.31109e+09, -4.34062e+09, 6.42941e-15 
1.65000e-01, 4.30964e+09, -4.34008e+09, 6.52757e-15 
1.67500e-01, 4.30817e+09, -4.33954e+09, 6.62571e-15 
1.70000e-01, 4.30667e+09, -4.33899e+09, 6.72381e-15 
1.72500e-01, 4.30516e+09, -4.33843e+09, 6.82187e-15 
1.75000e-01, 4.30362e+09, -4.33786e+09, 6.91990e-15 
1.77500e-01, 4.30207e+09, -4.33728e+09, 7.01789e-15 
1.80000e-01, 4.30048e+09, -4.33670e+09, 7.11584e-15 
1.82500e-01, 4.29888e+09, -4.33611e+09, 7.21376e-15 
1.85000e-01, 4.29726e+09, -4.33551e+09, 7.31164e-15 
1.87500e-01, 4.29561e+09, -4.33490e+09, 7.40948e-15 
1.90000e-01, 4.29395e+09, -4.33428e+09, 7.50728e-15 
1.92500e-01, 4.29226e+09, -4.33366e+09, 7.60505e-15 
1.95000e-01, 4.29054e+09, -4.33302e+09, 7.70277e-15 
1.97500e-01, 4.28881e+09, -4.33238e+09, 7.80046e-15 
2.00000e-01, 4.28706e+09, -4.33173e+09, 7.89810e-15 
2.02500e-01, 4.28528e+09, -4.33108e+09, 7.99570e-15 
2.05000e-01, 4.28348e+09, -4.33041e+09, 8.09326e-15 
2.07500e-01, 4.28166e+09, -4.32974e+09, 8.19078e-15 
2.10000e-01, 4.27982e+09, -4.32906e+09, 8.28825e-15 
2.12500e-01, 4.27796e+09, -4.32837e+09, 8.38568e-15 
2.15000e-01, 4.27607e+09, -4.32767e+09, 8.48307e-15 
2.17500e-01, 4.27416e+09, -4.32696e+09, 8.58041e-15 
2.20000e-01, 4.27223e+09, -4.32625e+09, 8.67771e-15 
2.22500e-01, 4.27028e+09, -4.32553e+09, 8.77496e-15 
2.25000e-01, 4.26831e+09, -4.32480e+09, 8.87217e-15 
2.27500e-01, 4.26632e+09, -4.32406e+09, 8.96933e-15 
2.30000e-01, 4.26430e+09, -4.32332e+09, 9.06644e-15 
2.32500e-01, 4.26226e+09, -4.32256e+09, 9.16351e-15 
2.35000e-01, 4.26020e+09, -4.32180e+09, 9.26053e-15 
2.37500e-01, 4.25812e+09, -4.32103e+09, 9.35750e-15 
2.40000e-01, 4.25602e+09, -4.32025e+09, 9.45442e-15 
2.42500e-01, 4.25390e+09, -4.31946e+09, 9.55129e-15 
2.45000e-01, 4.25175e+09, -4.31867e+09, 9.64811e-15 
2.47500e-01, 4.24958e+09, -4.31787e+09, 9.74488e-15 
2.50000e-01, 4.24739e+09, -4.31706e+09, 9.84160e-15 
2.52500e-01, 4.24518e+09, -4.31624e+09, 9.93827e-15 
2.55000e-01, 4.24295e+09, -4.31541e+09, 1.00349e-14 
2.57500e-01, 4.24070e+09, -4.31458e+09, 1.01314e-14 
2.60000e-01, 4.23842e+09, -4.31374e+09, 1.02280e-14 
2.62500e-01, 4.23613e+09, -4.31288e+09, 1.03244e-14 
2.65000e-01, 4.23381e+09, -4.31203e+09, 1.04208e-14 
2.67500e-01, 4.23147e+09, -4.31116e+09, 1.05172e-14 
2.70000e-01, 4.22911e+09, -4.31028e+09, 1.06135e-14 
2.72500e-01, 4.22673e+09, -4.30940e+09, 1.07097e-14 
2.75000e-01, 4.22432e+09, -4.30851e+09, 1.08059e-14 
2.77500e-01, 4.22190e+09, -4.30761e+09, 1.09020e-14 
2.80000e-01, 4.21945e+09, -4.30671e+09, 1.09981e-14 
2.82500e-01, 4.21698e+09, -4.30579e+09, 1.10941e-14 
2.85000e-01, 4.21449e+09, -4.30487e+09, 1.11900e-14 
2.87500e-01, 4.21198e+09, -4.30394e+09, 1.12859e-14 
2.90000e-01, 4.20945e+09, -4.30300e+09, 1.13818e-14 
2.92500e-01, 4.20689e+09, -4.30205e+09, 1.14776e-14 
2.95000e-01, 4.20432e+09, -4.30110e+09, 1.15733e-14 
2.97500e-01, 4.20172e+09, -4.30013e+09, 1.16689e-14 
3.00000e-01, 4.19911e+09, -4.29916e+09, 1.17645e-14 
3.02500e-01, 4.19647e+09, -4.29818e+09, 1.18601e-14 
3.05000e-01, 4.19381e+09, -4.29720e+09, 1.19555e-14 
3.07500e-01, 4.19112e+09, -4.29620e+09, 1.20509e-14 
3.10000e-01, 4.18842e+09, -4.29520e+09, 1.21463e-14 
3.12500e-01, 4.18570e+09, -4.29419e+09, 1.22416e-14 
3.15000e-01, 4.18295e+09, -4.29317e+09, 1.23368e-14 
3.17500e-01, 4.18019e+09, -4.29215e+09, 1.24319e-14 
3.20000e-01, 4.17740e+09, -4.29111e+09, 1.25270e-14 
3.22500e-01, 4.17459e+09, -4.29007e+09, 1.26221e-14 
3.25000e-01, 4.17176e+09, -4.28902e+09, 1.27170e-14 
3.27500e-01, 4.16891e+09, -4.28796e+09, 1.28119e-14 
3.30000e-01, 4.16604e+09, -4.28689e+09, 1.29067e-14 
3.32500e-01, 4.16314e+09, -4.28582e+09, 1.30015e-14 
3.35000e-01, 4.16023e+09, -4.28474e+09, 1.30962e-14 
3.37500e-01, 4.15729e+09, -4.28365e+09, 1.31908e-14 
3.40000e-01, 4.15434e+09, -4.28255e+09, 1.32854e-14 
3.42500e-01, 4.15136e+09, -4.28144e+09, 1.33798e-14 
3.45000e-01, 4.14836e+09, -4.28033e+09, 1.34743e-14 
