r(m), B_r(T), B_theta(T), B_z(T) 
0.00000e+00, 4.70572e-01, 4.70572e-01, -0.00000e+00 
2.50000e-03, 4.70572e-01, 4.70572e-01, -2.33607e-04 
5.00000e-03, 4.70572e-01, 4.70572e-01, -4.67213e-04 
7.50000e-03, 4.70572e-01, 4.70572e-01, -7.00819e-04 
1.00000e-02, 4.70571e-01, 4.70571e-01, -9.34425e-04 
1.25000e-02, 4.70571e-01, 4.70570e-01, -1.16803e-03 
1.50000e-02, 4.70570e-01, 4.70569e-01, -1.40164e-03 
1.75000e-02, 4.70570e-01, 4.70568e-01, -1.63524e-03 
2.00000e-02, 4.70569e-01, 4.70567e-01, -1.86884e-03 
2.25000e-02, 4.70568e-01, 4.70566e-01, -2.10245e-03 
2.50000e-02, 4.70567e-01, 4.70564e-01, -2.33605e-03 
2.75000e-02, 4.70566e-01, 4.70562e-01, -2.56965e-03 
3.00000e-02, 4.70564e-01, 4.70560e-01, -2.80325e-03 
3.25000e-02, 4.70563e-01, 4.70558e-01, -3.03685e-03 
3.50000e-02, 4.70562e-01, 4.70556e-01, -3.27044e-03 
3.75000e-02, 4.70560e-01, 4.70554e-01, -3.50404e-03 
4.00000e-02, 4.70558e-01, 4.70551e-01, -3.73764e-03 
4.25000e-02, 4.70557e-01, 4.70548e-01, -3.97123e-03 
4.50000e-02, 4.70555e-01, 4.70545e-01, -4.20482e-03 
4.75000e-02, 4.70553e-01, 4.70542e-01, -4.43841e-03 
5.00000e-02, 4.70551e-01, 4.70539e-01, -4.67199e-03 
5.25000e-02, 4.70548e-01, 4.70536e-01, -4.90558e-03 
5.50000e-02, 4.70546e-01, 4.70532e-01, -5.13916e-03 
5.75000e-02, 4.70544e-01, 4.70528e-01, -5.37274e-03 
6.00000e-02, 4.70541e-01, 4.70524e-01, -5.60632e-03 
6.25000e-02, 4.70538e-01, 4.70520e-01, -5.83990e-03 
6.50000e-02, 4.70536e-01, 4.70516e-01, -6.07347e-03 
6.75000e-02, 4.70533e-01, 4.70512e-01, -6.30704e-03 
7.00000e-02, 4.70530e-01, 4.70507e-01, -6.54061e-03 
7.25000e-02, 4.70527e-01, 4.70502e-01, -6.77417e-03 
7.50000e-02, 4.70524e-01, 4.70497e-01, -7.00774e-03 
7.75000e-02, 4.70520e-01, 4.70492e-01, -7.24130e-03 
8.00000e-02, 4.70517e-01, 4.70487e-01, -7.47485e-03 
8.25000e-02, 4.70513e-01, 4.70482e-01, -7.70840e-03 
8.50000e-02, 4.70510e-01, 4.70476e-01, -7.94195e-03 
8.75000e-02, 4.70506e-01, 4.70470e-01, -8.17550e-03 
