r(m), B_r(T), B_theta(T), B_z(T) 
0.00000e+00, 2.08375e-01, 2.08375e-01, -0.00000e+00 
2.50000e-03, 2.08375e-01, 2.08375e-01, -7.54062e-05 
5.00000e-03, 2.08375e-01, 2.08375e-01, -1.50812e-04 
7.50000e-03, 2.08375e-01, 2.08375e-01, -2.26219e-04 
1.00000e-02, 2.08375e-01, 2.08375e-01, -3.01625e-04 
1.25000e-02, 2.08375e-01, 2.08375e-01, -3.77031e-04 
1.50000e-02, 2.08375e-01, 2.08375e-01, -4.52437e-04 
1.75000e-02, 2.08375e-01, 2.08374e-01, -5.27842e-04 
2.00000e-02, 2.08374e-01, 2.08374e-01, -6.03248e-04 
2.25000e-02, 2.08374e-01, 2.08374e-01, -6.78654e-04 
2.50000e-02, 2.08374e-01, 2.08373e-01, -7.54059e-04 
2.75000e-02, 2.08373e-01, 2.08373e-01, -8.29464e-04 
3.00000e-02, 2.08373e-01, 2.08372e-01, -9.04869e-04 
3.25000e-02, 2.08373e-01, 2.08371e-01, -9.80273e-04 
3.50000e-02, 2.08372e-01, 2.08371e-01, -1.05568e-03 
3.75000e-02, 2.08372e-01, 2.08370e-01, -1.13108e-03 
4.00000e-02, 2.08371e-01, 2.08369e-01, -1.20649e-03 
4.25000e-02, 2.08371e-01, 2.08369e-01, -1.28189e-03 
4.50000e-02, 2.08370e-01, 2.08368e-01, -1.35729e-03 
4.75000e-02, 2.08370e-01, 2.08367e-01, -1.43269e-03 
5.00000e-02, 2.08369e-01, 2.08366e-01, -1.50810e-03 
5.25000e-02, 2.08368e-01, 2.08365e-01, -1.58350e-03 
5.50000e-02, 2.08368e-01, 2.08364e-01, -1.65890e-03 
5.75000e-02, 2.08367e-01, 2.08363e-01, -1.73430e-03 
6.00000e-02, 2.08366e-01, 2.08362e-01, -1.80970e-03 
6.25000e-02, 2.08365e-01, 2.08361e-01, -1.88510e-03 
6.50000e-02, 2.08364e-01, 2.08360e-01, -1.96050e-03 
6.75000e-02, 2.08364e-01, 2.08359e-01, -2.03590e-03 
7.00000e-02, 2.08363e-01, 2.08357e-01, -2.11130e-03 
7.25000e-02, 2.08362e-01, 2.08356e-01, -2.18669e-03 
7.50000e-02, 2.08361e-01, 2.08355e-01, -2.26209e-03 
7.75000e-02, 2.08360e-01, 2.08353e-01, -2.33749e-03 
8.00000e-02, 2.08359e-01, 2.08352e-01, -2.41288e-03 
