r(m), E_r(T), E_theta(T), E_z(T) 
0.00000e+00, 5.89599e+08, -5.89599e+08, 0.00000e+00 
2.50000e-03, 5.89599e+08, -5.89599e+08, 2.62930e-18 
5.00000e-03, 5.89599e+08, -5.89599e+08, 5.25861e-18 
7.50000e-03, 5.89598e+08, -5.89599e+08, 7.88791e-18 
1.00000e-02, 5.89598e+08, -5.89598e+08, 1.05172e-17 
1.25000e-02, 5.89597e+08, -5.89598e+08, 1.31465e-17 
1.50000e-02, 5.89596e+08, -5.89597e+08, 1.57758e-17 
1.75000e-02, 5.89594e+08, -5.89596e+08, 1.84051e-17 
2.00000e-02, 5.89593e+08, -5.89595e+08, 2.10343e-17 
2.25000e-02, 5.89591e+08, -5.89594e+08, 2.36636e-17 
2.50000e-02, 5.89589e+08, -5.89593e+08, 2.62929e-17 
2.75000e-02, 5.89587e+08, -5.89591e+08, 2.89221e-17 
3.00000e-02, 5.89584e+08, -5.89590e+08, 3.15513e-17 
3.25000e-02, 5.89582e+08, -5.89588e+08, 3.41805e-17 
3.50000e-02, 5.89579e+08, -5.89586e+08, 3.68097e-17 
3.75000e-02, 5.89576e+08, -5.89584e+08, 3.94389e-17 
4.00000e-02, 5.89573e+08, -5.89582e+08, 4.20681e-17 
4.25000e-02, 5.89569e+08, -5.89580e+08, 4.46972e-17 
4.50000e-02, 5.89566e+08, -5.89577e+08, 4.73264e-17 
4.75000e-02, 5.89562e+08, -5.89575e+08, 4.99555e-17 
5.00000e-02, 5.89558e+08, -5.89572e+08, 5.25846e-17 
5.25000e-02, 5.89553e+08, -5.89569e+08, 5.52136e-17 
5.50000e-02, 5.89549e+08, -5.89566e+08, 5.78427e-17 
5.75000e-02, 5.89544e+08, -5.89563e+08, 6.04717e-17 
6.00000e-02, 5.89539e+08, -5.89560e+08, 6.31007e-17 
6.25000e-02, 5.89534e+08, -5.89557e+08, 6.57296e-17 
6.50000e-02, 5.89529e+08, -5.89553e+08, 6.83586e-17 
6.75000e-02, 5.89523e+08, -5.89550e+08, 7.09875e-17 
7.00000e-02, 5.89518e+08, -5.89546e+08, 7.36163e-17 
7.25000e-02, 5.89512e+08, -5.89542e+08, 7.62452e-17 
7.50000e-02, 5.89506e+08, -5.89538e+08, 7.88740e-17 
7.75000e-02, 5.89499e+08, -5.89534e+08, 8.15027e-17 
8.00000e-02, 5.89493e+08, -5.89530e+08, 8.41315e-17 
8.25000e-02, 5.89486e+08, -5.89525e+08, 8.67602e-17 
8.50000e-02, 5.89479e+08, -5.89521e+08, 8.93888e-17 
8.75000e-02, 5.89472e+08, -5.89516e+08, 9.20174e-17 
9.00000e-02, 5.89464e+08, -5.89511e+08, 9.46460e-17 
9.25000e-02, 5.89457e+08, -5.89506e+08, 9.72746e-17 
9.50000e-02, 5.89449e+08, -5.89501e+08, 9.99031e-17 
9.75000e-02, 5.89441e+08, -5.89496e+08, 1.02532e-16 
1.00000e-01, 5.89433e+08, -5.89491e+08, 1.05160e-16 
1.02500e-01, 5.89424e+08, -5.89485e+08, 1.07788e-16 
1.05000e-01, 5.89415e+08, -5.89480e+08, 1.10417e-16 
1.07500e-01, 5.89407e+08, -5.89474e+08, 1.13045e-16 
1.10000e-01, 5.89398e+08, -5.89468e+08, 1.15673e-16 
1.12500e-01, 5.89388e+08, -5.89462e+08, 1.18301e-16 
1.15000e-01, 5.89379e+08, -5.89456e+08, 1.20929e-16 
1.17500e-01, 5.89369e+08, -5.89449e+08, 1.23557e-16 
1.20000e-01, 5.89359e+08, -5.89443e+08, 1.26185e-16 
1.22500e-01, 5.89349e+08, -5.89436e+08, 1.28813e-16 
1.25000e-01, 5.89339e+08, -5.89430e+08, 1.31441e-16 
