r(m), E_r(T), E_theta(T), E_z(T) 
0.00000e+00, 1.06381e+10, 0.00000e+00, 0.00000e+00 
2.50000e-03, 1.06311e+10, 0.00000e+00, 2.00941e-13 
5.00000e-03, 1.06100e+10, 0.00000e+00, 4.01614e-13 
7.50000e-03, 1.05749e+10, 0.00000e+00, 6.01754e-13 
1.00000e-02, 1.05258e+10, 0.00000e+00, 8.01093e-13 
1.25000e-02, 1.04627e+10, 0.00000e+00, 9.99368e-13 
1.50000e-02, 1.03859e+10, 0.00000e+00, 1.19631e-12 
1.75000e-02, 1.02954e+10, 0.00000e+00, 1.39167e-12 
2.00000e-02, 1.01913e+10, 0.00000e+00, 1.58518e-12 
2.25000e-02, 1.00738e+10, 0.00000e+00, 1.77658e-12 
2.50000e-02, 9.94307e+09, 0.00000e+00, 1.96563e-12 
2.75000e-02, 9.79928e+09, 0.00000e+00, 2.15207e-12 
3.00000e-02, 9.64266e+09, 0.00000e+00, 2.33565e-12 
3.25000e-02, 9.47344e+09, 0.00000e+00, 2.51614e-12 
3.50000e-02, 9.29186e+09, 0.00000e+00, 2.69330e-12 
3.75000e-02, 9.09819e+09, 0.00000e+00, 2.86689e-12 
4.00000e-02, 8.89272e+09, 0.00000e+00, 3.03670e-12 
4.25000e-02, 8.67575e+09, 0.00000e+00, 3.20249e-12 
4.50000e-02, 8.44761e+09, 0.00000e+00, 3.36405e-12 
4.75000e-02, 8.20861e+09, 0.00000e+00, 3.52118e-12 
5.00000e-02, 7.95913e+09, 0.00000e+00, 3.67367e-12 
5.25000e-02, 7.69951e+09, 0.00000e+00, 3.82132e-12 
5.50000e-02, 7.43015e+09, 0.00000e+00, 3.96395e-12 
5.75000e-02, 7.15144e+09, 0.00000e+00, 4.10137e-12 
6.00000e-02, 6.86378e+09, 0.00000e+00, 4.23342e-12 
6.25000e-02, 6.56761e+09, 0.00000e+00, 4.35992e-12 
6.50000e-02, 6.26335e+09, 0.00000e+00, 4.48072e-12 
6.75000e-02, 5.95144e+09, 0.00000e+00, 4.59566e-12 
7.00000e-02, 5.63235e+09, 0.00000e+00, 4.70462e-12 
7.25000e-02, 5.30654e+09, 0.00000e+00, 4.80745e-12 
7.50000e-02, 4.97448e+09, 0.00000e+00, 4.90403e-12 
7.75000e-02, 4.63666e+09, 0.00000e+00, 4.99426e-12 
8.00000e-02, 4.29358e+09, 0.00000e+00, 5.07801e-12 
8.25000e-02, 3.94572e+09, 0.00000e+00, 5.15521e-12 
8.50000e-02, 3.59360e+09, 0.00000e+00, 5.22576e-12 
8.75000e-02, 3.23773e+09, 0.00000e+00, 5.28959e-12 
9.00000e-02, 2.87863e+09, 0.00000e+00, 5.34663e-12 
9.25000e-02, 2.51680e+09, 0.00000e+00, 5.39682e-12 
9.50000e-02, 2.15279e+09, 0.00000e+00, 5.44013e-12 
9.75000e-02, 1.78711e+09, 0.00000e+00, 5.47650e-12 
1.00000e-01, 1.42028e+09, 0.00000e+00, 5.50592e-12 
1.02500e-01, 1.05285e+09, 0.00000e+00, 5.52838e-12 
