r(m), B_r(T), B_theta(T), B_z(T) 
0.00000e+00, -nan, -nan, -nan 
2.50000e-03, -nan, -nan, -nan 
5.00000e-03, -nan, -nan, -nan 
7.50000e-03, -nan, -nan, -nan 
1.00000e-02, -nan, -nan, -nan 
1.25000e-02, -nan, -nan, -nan 
1.50000e-02, -nan, -nan, -nan 
1.75000e-02, -nan, -nan, -nan 
2.00000e-02, -nan, -nan, -nan 
2.25000e-02, -nan, -nan, -nan 
2.50000e-02, -nan, -nan, -nan 
2.75000e-02, -nan, -nan, -nan 
3.00000e-02, -nan, -nan, -nan 
3.25000e-02, -nan, -nan, -nan 
3.50000e-02, -nan, -nan, -nan 
3.75000e-02, -nan, -nan, -nan 
4.00000e-02, -nan, -nan, -nan 
4.25000e-02, -nan, -nan, -nan 
4.50000e-02, -nan, -nan, -nan 
4.75000e-02, -nan, -nan, -nan 
5.00000e-02, -nan, -nan, -nan 
5.25000e-02, -nan, -nan, -nan 
5.50000e-02, -nan, -nan, -nan 
5.75000e-02, -nan, -nan, -nan 
6.00000e-02, -nan, -nan, -nan 
6.25000e-02, -nan, -nan, -nan 
6.50000e-02, -nan, -nan, -nan 
6.75000e-02, -nan, -nan, -nan 
7.00000e-02, -nan, -nan, -nan 
7.25000e-02, -nan, -nan, -nan 
7.50000e-02, -nan, -nan, -nan 
7.75000e-02, -nan, -nan, -nan 
8.00000e-02, -nan, -nan, -nan 
8.25000e-02, -nan, -nan, -nan 
8.50000e-02, -nan, -nan, -nan 
8.75000e-02, -nan, -nan, -nan 
9.00000e-02, -nan, -nan, -nan 
9.25000e-02, -nan, -nan, -nan 
9.50000e-02, -nan, -nan, -nan 
9.75000e-02, -nan, -nan, -nan 
1.00000e-01, -nan, -nan, -nan 
1.02500e-01, -nan, -nan, -nan 
1.05000e-01, -nan, -nan, -nan 
1.07500e-01, -nan, -nan, -nan 
1.10000e-01, -nan, -nan, -nan 
1.12500e-01, -nan, -nan, -nan 
1.15000e-01, -nan, -nan, -nan 
1.17500e-01, -nan, -nan, -nan 
1.20000e-01, -nan, -nan, -nan 
1.22500e-01, -nan, -nan, -nan 
1.25000e-01, -nan, -nan, -nan 
1.27500e-01, -nan, -nan, -nan 
1.30000e-01, -nan, -nan, -nan 
1.32500e-01, -nan, -nan, -nan 
1.35000e-01, -nan, -nan, -nan 
1.37500e-01, -nan, -nan, -nan 
1.40000e-01, -nan, -nan, -nan 
1.42500e-01, -nan, -nan, -nan 
1.45000e-01, -nan, -nan, -nan 
1.47500e-01, -nan, -nan, -nan 
1.50000e-01, -nan, -nan, -nan 
1.52500e-01, -nan, -nan, -nan 
1.55000e-01, -nan, -nan, -nan 
1.57500e-01, -nan, -nan, -nan 
1.60000e-01, -nan, -nan, -nan 
1.62500e-01, -nan, -nan, -nan 
1.65000e-01, -nan, -nan, -nan 
1.67500e-01, -nan, -nan, -nan 
1.70000e-01, -nan, -nan, -nan 
1.72500e-01, -nan, -nan, -nan 
1.75000e-01, -nan, -nan, -nan 
1.77500e-01, -nan, -nan, -nan 
1.80000e-01, -nan, -nan, -nan 
1.82500e-01, -nan, -nan, -nan 
1.85000e-01, -nan, -nan, -nan 
1.87500e-01, -nan, -nan, -nan 
1.90000e-01, -nan, -nan, -nan 
1.92500e-01, -nan, -nan, -nan 
1.95000e-01, -nan, -nan, -nan 
1.97500e-01, -nan, -nan, -nan 
2.00000e-01, -nan, -nan, -nan 
2.02500e-01, -nan, -nan, -nan 
2.05000e-01, -nan, -nan, -nan 
2.07500e-01, -nan, -nan, -nan 
2.10000e-01, -nan, -nan, -nan 
2.12500e-01, -nan, -nan, -nan 
2.15000e-01, -nan, -nan, -nan 
2.17500e-01, -nan, -nan, -nan 
2.20000e-01, -nan, -nan, -nan 
2.22500e-01, -nan, -nan, -nan 
2.25000e-01, -nan, -nan, -nan 
2.27500e-01, -nan, -nan, -nan 
2.30000e-01, -nan, -nan, -nan 
2.32500e-01, -nan, -nan, -nan 
2.35000e-01, -nan, -nan, -nan 
2.37500e-01, -nan, -nan, -nan 
2.40000e-01, -nan, -nan, -nan 
2.42500e-01, -nan, -nan, -nan 
2.45000e-01, -nan, -nan, -nan 
2.47500e-01, -nan, -nan, -nan 
2.50000e-01, -nan, -nan, -nan 
2.52500e-01, -nan, -nan, -nan 
2.55000e-01, -nan, -nan, -nan 
2.57500e-01, -nan, -nan, -nan 
2.60000e-01, -nan, -nan, -nan 
2.62500e-01, -nan, -nan, -nan 
2.65000e-01, -nan, -nan, -nan 
2.67500e-01, -nan, -nan, -nan 
2.70000e-01, -nan, -nan, -nan 
2.72500e-01, -nan, -nan, -nan 
2.75000e-01, -nan, -nan, -nan 
2.77500e-01, -nan, -nan, -nan 
2.80000e-01, -nan, -nan, -nan 
2.82500e-01, -nan, -nan, -nan 
2.85000e-01, -nan, -nan, -nan 
2.87500e-01, -nan, -nan, -nan 
2.90000e-01, -nan, -nan, -nan 
2.92500e-01, -nan, -nan, -nan 
2.95000e-01, -nan, -nan, -nan 
2.97500e-01, -nan, -nan, -nan 
3.00000e-01, -nan, -nan, -nan 
3.02500e-01, -nan, -nan, -nan 
3.05000e-01, -nan, -nan, -nan 
3.07500e-01, -nan, -nan, -nan 
3.10000e-01, -nan, -nan, -nan 
3.12500e-01, -nan, -nan, -nan 
3.15000e-01, -nan, -nan, -nan 
3.17500e-01, -nan, -nan, -nan 
3.20000e-01, -nan, -nan, -nan 
3.22500e-01, -nan, -nan, -nan 
3.25000e-01, -nan, -nan, -nan 
3.27500e-01, -nan, -nan, -nan 
3.30000e-01, -nan, -nan, -nan 
3.32500e-01, -nan, -nan, -nan 
3.35000e-01, -nan, -nan, -nan 
3.37500e-01, -nan, -nan, -nan 
3.40000e-01, -nan, -nan, -nan 
3.42500e-01, -nan, -nan, -nan 
3.45000e-01, -nan, -nan, -nan 
3.47500e-01, -nan, -nan, -nan 
3.50000e-01, -nan, -nan, -nan 
3.52500e-01, -nan, -nan, -nan 
3.55000e-01, -nan, -nan, -nan 
3.57500e-01, -nan, -nan, -nan 
3.60000e-01, -nan, -nan, -nan 
3.62500e-01, -nan, -nan, -nan 
3.65000e-01, -nan, -nan, -nan 
3.67500e-01, -nan, -nan, -nan 
3.70000e-01, -nan, -nan, -nan 
3.72500e-01, -nan, -nan, -nan 
3.75000e-01, -nan, -nan, -nan 
3.77500e-01, -nan, -nan, -nan 
3.80000e-01, -nan, -nan, -nan 
3.82500e-01, -nan, -nan, -nan 
3.85000e-01, -nan, -nan, -nan 
3.87500e-01, -nan, -nan, -nan 
3.90000e-01, -nan, -nan, -nan 
3.92500e-01, -nan, -nan, -nan 
3.95000e-01, -nan, -nan, -nan 
3.97500e-01, -nan, -nan, -nan 
4.00000e-01, -nan, -nan, -nan 
4.02500e-01, -nan, -nan, -nan 
4.05000e-01, -nan, -nan, -nan 
4.07500e-01, -nan, -nan, -nan 
4.10000e-01, -nan, -nan, -nan 
4.12500e-01, -nan, -nan, -nan 
4.15000e-01, -nan, -nan, -nan 
4.17500e-01, -nan, -nan, -nan 
4.20000e-01, -nan, -nan, -nan 
4.22500e-01, -nan, -nan, -nan 
4.25000e-01, -nan, -nan, -nan 
4.27500e-01, -nan, -nan, -nan 
4.30000e-01, -nan, -nan, -nan 
4.32500e-01, -nan, -nan, -nan 
4.35000e-01, -nan, -nan, -nan 
4.37500e-01, -nan, -nan, -nan 
4.40000e-01, -nan, -nan, -nan 
4.42500e-01, -nan, -nan, -nan 
4.45000e-01, -nan, -nan, -nan 
4.47500e-01, -nan, -nan, -nan 
4.50000e-01, -nan, -nan, -nan 
4.52500e-01, -nan, -nan, -nan 
4.55000e-01, -nan, -nan, -nan 
4.57500e-01, -nan, -nan, -nan 
4.60000e-01, -nan, -nan, -nan 
4.62500e-01, -nan, -nan, -nan 
4.65000e-01, -nan, -nan, -nan 
4.67500e-01, -nan, -nan, -nan 
4.70000e-01, -nan, -nan, -nan 
4.72500e-01, -nan, -nan, -nan 
4.75000e-01, -nan, -nan, -nan 
4.77500e-01, -nan, -nan, -nan 
4.80000e-01, -nan, -nan, -nan 
4.82500e-01, -nan, -nan, -nan 
4.85000e-01, -nan, -nan, -nan 
4.87500e-01, -nan, -nan, -nan 
4.90000e-01, -nan, -nan, -nan 
4.92500e-01, -nan, -nan, -nan 
4.95000e-01, -nan, -nan, -nan 
4.97500e-01, -nan, -nan, -nan 
5.00000e-01, -nan, -nan, -nan 
5.02500e-01, -nan, -nan, -nan 
5.05000e-01, -nan, -nan, -nan 
5.07500e-01, -nan, -nan, -nan 
5.10000e-01, -nan, -nan, -nan 
5.12500e-01, -nan, -nan, -nan 
5.15000e-01, -nan, -nan, -nan 
5.17500e-01, -nan, -nan, -nan 
5.20000e-01, -nan, -nan, -nan 
5.22500e-01, -nan, -nan, -nan 
5.25000e-01, -nan, -nan, -nan 
5.27500e-01, -nan, -nan, -nan 
5.30000e-01, -nan, -nan, -nan 
5.32500e-01, -nan, -nan, -nan 
5.35000e-01, -nan, -nan, -nan 
5.37500e-01, -nan, -nan, -nan 
5.40000e-01, -nan, -nan, -nan 
5.42500e-01, -nan, -nan, -nan 
5.45000e-01, -nan, -nan, -nan 
5.47500e-01, -nan, -nan, -nan 
5.50000e-01, -nan, -nan, -nan 
5.52500e-01, -nan, -nan, -nan 
5.55000e-01, -nan, -nan, -nan 
5.57500e-01, -nan, -nan, -nan 
5.60000e-01, -nan, -nan, -nan 
5.62500e-01, -nan, -nan, -nan 
5.65000e-01, -nan, -nan, -nan 
5.67500e-01, -nan, -nan, -nan 
5.70000e-01, -nan, -nan, -nan 
5.72500e-01, -nan, -nan, -nan 
5.75000e-01, -nan, -nan, -nan 
5.77500e-01, -nan, -nan, -nan 
5.80000e-01, -nan, -nan, -nan 
5.82500e-01, -nan, -nan, -nan 
5.85000e-01, -nan, -nan, -nan 
5.87500e-01, -nan, -nan, -nan 
5.90000e-01, -nan, -nan, -nan 
5.92500e-01, -nan, -nan, -nan 
5.95000e-01, -nan, -nan, -nan 
5.97500e-01, -nan, -nan, -nan 
6.00000e-01, -nan, -nan, -nan 
6.02500e-01, -nan, -nan, -nan 
6.05000e-01, -nan, -nan, -nan 
6.07500e-01, -nan, -nan, -nan 
6.10000e-01, -nan, -nan, -nan 
6.12500e-01, -nan, -nan, -nan 
6.15000e-01, -nan, -nan, -nan 
6.17500e-01, -nan, -nan, -nan 
6.20000e-01, -nan, -nan, -nan 
6.22500e-01, -nan, -nan, -nan 
6.25000e-01, -nan, -nan, -nan 
6.27500e-01, -nan, -nan, -nan 
6.30000e-01, -nan, -nan, -nan 
6.32500e-01, -nan, -nan, -nan 
6.35000e-01, -nan, -nan, -nan 
6.37500e-01, -nan, -nan, -nan 
6.40000e-01, -nan, -nan, -nan 
6.42500e-01, -nan, -nan, -nan 
6.45000e-01, -nan, -nan, -nan 
6.47500e-01, -nan, -nan, -nan 
6.50000e-01, -nan, -nan, -nan 
6.52500e-01, -nan, -nan, -nan 
6.55000e-01, -nan, -nan, -nan 
6.57500e-01, -nan, -nan, -nan 
6.60000e-01, -nan, -nan, -nan 
6.62500e-01, -nan, -nan, -nan 
6.65000e-01, -nan, -nan, -nan 
6.67500e-01, -nan, -nan, -nan 
6.70000e-01, -nan, -nan, -nan 
6.72500e-01, -nan, -nan, -nan 
6.75000e-01, -nan, -nan, -nan 
