r(m), B_r(T), B_theta(T), B_z(T) 
0.00000e+00, 2.92174e+01, 2.92174e+01, -0.00000e+00 
2.50000e-03, 2.91395e+01, 2.89889e+01, -4.18890e+00 
5.00000e-03, 2.89068e+01, 2.83073e+01, -8.31193e+00 
7.50000e-03, 2.85217e+01, 2.71846e+01, -1.23044e+01 
1.00000e-02, 2.79882e+01, 2.56402e+01, -1.61039e+01 
1.25000e-02, 2.73121e+01, 2.37012e+01, -1.96513e+01 
1.50000e-02, 2.65005e+01, 2.14013e+01, -2.28920e+01 
1.75000e-02, 2.55619e+01, 1.87804e+01, -2.57767e+01 
2.00000e-02, 2.45061e+01, 1.58839e+01, -2.82621e+01 
2.25000e-02, 2.33440e+01, 1.27620e+01, -3.03121e+01 
2.50000e-02, 2.20877e+01, 9.46847e+00, -3.18981e+01 
2.75000e-02, 2.07500e+01, 6.05993e+00, -3.29992e+01 
3.00000e-02, 1.93442e+01, 2.59472e+00, -3.36032e+01 
3.25000e-02, 1.78845e+01, -8.68153e-01, -3.37061e+01 
3.50000e-02, 1.63851e+01, -4.27007e+00, -3.33127e+01 
3.75000e-02, 1.48606e+01, -7.55384e+00, -3.24359e+01 
4.00000e-02, 1.33254e+01, -1.06648e+01, -3.10969e+01 
4.25000e-02, 1.17938e+01, -1.35516e+01, -2.93245e+01 
4.50000e-02, 1.02795e+01, -1.61674e+01, -2.71547e+01 
4.75000e-02, 8.79601e+00, -1.84704e+01, -2.46297e+01 
5.00000e-02, 7.35582e+00, -2.04249e+01, -2.17976e+01 
5.25000e-02, 5.97070e+00, -2.20014e+01, -1.87109e+01 
5.50000e-02, 4.65144e+00, -2.31777e+01, -1.54262e+01 
5.75000e-02, 3.40772e+00, -2.39388e+01, -1.20024e+01 
6.00000e-02, 2.24802e+00, -2.42773e+01, -8.50035e+00 
6.25000e-02, 1.17958e+00, -2.41934e+01, -4.98117e+00 
6.50000e-02, 2.08269e-01, -2.36950e+01, -1.50552e+00 
6.75000e-02, -6.61382e-01, -2.27973e+01, 1.86766e+00 
7.00000e-02, -1.42625e+00, -2.15225e+01, 5.08217e+00 
7.25000e-02, -2.08459e+00, -1.98995e+01, 8.08549e+00 
7.50000e-02, -2.63605e+00, -1.79630e+01, 1.08297e+01 
7.75000e-02, -3.08158e+00, -1.57530e+01, 1.32724e+01 
8.00000e-02, -3.42346e+00, -1.33142e+01, 1.53773e+01 
8.25000e-02, -3.66512e+00, -1.06946e+01, 1.71146e+01 
8.50000e-02, -3.81114e+00, -7.94505e+00, 1.84621e+01 
8.75000e-02, -3.86711e+00, -5.11816e+00, 1.94047e+01 
9.00000e-02, -3.83952e+00, -2.26718e+00, 1.99353e+01 
9.25000e-02, -3.73565e+00, 5.54901e-01, 2.00543e+01 
9.50000e-02, -3.56341e+00, 3.29638e+00, 1.97697e+01 
9.75000e-02, -3.33123e+00, 5.90775e+00, 1.90969e+01 
1.00000e-01, -3.04791e+00, 8.34265e+00, 1.80582e+01 
1.02500e-01, -2.72248e+00, 1.05587e+01, 1.66823e+01 
1.05000e-01, -2.36405e+00, 1.25182e+01, 1.50039e+01 
1.07500e-01, -1.98169e+00, 1.41889e+01, 1.30626e+01 
1.10000e-01, -1.58428e+00, 1.55443e+01, 1.09021e+01 
1.12500e-01, -1.18040e+00, 1.65645e+01, 8.56982e+00 
1.15000e-01, -7.78200e-01, 1.72361e+01, 6.11527e+00 
1.17500e-01, -3.85301e-01, 1.75527e+01, 3.58954e+00 
1.20000e-01, -8.70247e-03, 1.75145e+01, 1.04415e+00 
1.22500e-01, 3.45301e-01, 1.71287e+01, -1.46997e+00 
1.25000e-01, 6.71187e-01, 1.64090e+01, -3.90339e+00 
1.27500e-01, 9.64255e-01, 1.53755e+01, -6.20913e+00 
1.30000e-01, 1.22067e+00, 1.40537e+01, -8.34355e+00 
1.32500e-01, 1.43747e+00, 1.24748e+01, -1.02671e+01 
1.35000e-01, 1.61261e+00, 1.06740e+01, -1.19451e+01 
1.37500e-01, 1.74488e+00, 8.69070e+00, -1.33482e+01 
1.40000e-01, 1.83398e+00, 6.56715e+00, -1.44531e+01 
1.42500e-01, 1.88040e+00, 4.34773e+00, -1.52427e+01 
