r(m), E_r(T), E_theta(T), E_z(T) 
0.00000e+00, 1.06381e+10, 0.00000e+00, 0.00000e+00 
2.50000e-03, 1.05549e+10, 0.00000e+00, 8.16854e-12 
5.00000e-03, 1.03068e+10, 0.00000e+00, 1.62087e-11 
7.50000e-03, 9.89797e+09, 0.00000e+00, 2.39942e-11 
1.00000e-02, 9.33568e+09, 0.00000e+00, 3.14033e-11 
1.25000e-02, 8.62968e+09, 0.00000e+00, 3.83210e-11 
1.50000e-02, 7.79227e+09, 0.00000e+00, 4.46405e-11 
1.75000e-02, 6.83799e+09, 0.00000e+00, 5.02657e-11 
2.00000e-02, 5.78338e+09, 0.00000e+00, 5.51124e-11 
2.25000e-02, 4.64668e+09, 0.00000e+00, 5.91101e-11 
2.50000e-02, 3.44749e+09, 0.00000e+00, 6.22028e-11 
2.75000e-02, 2.20644e+09, 0.00000e+00, 6.43500e-11 
3.00000e-02, 9.44745e+08, 0.00000e+00, 6.55278e-11 
3.25000e-02, -3.16097e+08, 0.00000e+00, 6.57285e-11 
3.50000e-02, -1.55474e+09, 0.00000e+00, 6.49613e-11 
3.75000e-02, -2.75037e+09, 0.00000e+00, 6.32515e-11 
4.00000e-02, -3.88307e+09, 0.00000e+00, 6.06404e-11 
4.25000e-02, -4.93417e+09, 0.00000e+00, 5.71842e-11 
4.50000e-02, -5.88658e+09, 0.00000e+00, 5.29529e-11 
4.75000e-02, -6.72513e+09, 0.00000e+00, 4.80291e-11 
5.00000e-02, -7.43674e+09, 0.00000e+00, 4.25063e-11 
5.25000e-02, -8.01076e+09, 0.00000e+00, 3.64872e-11 
5.50000e-02, -8.43905e+09, 0.00000e+00, 3.00818e-11 
5.75000e-02, -8.71617e+09, 0.00000e+00, 2.34053e-11 
6.00000e-02, -8.83941e+09, 0.00000e+00, 1.65761e-11 
6.25000e-02, -8.80887e+09, 0.00000e+00, 9.71352e-12 
6.50000e-02, -8.62740e+09, 0.00000e+00, 2.93584e-12 
6.75000e-02, -8.30055e+09, 0.00000e+00, -3.64203e-12 
7.00000e-02, -7.83640e+09, 0.00000e+00, -9.91047e-12 
7.25000e-02, -7.24546e+09, 0.00000e+00, -1.57671e-11 
7.50000e-02, -6.54037e+09, 0.00000e+00, -2.11185e-11 
7.75000e-02, -5.73572e+09, 0.00000e+00, -2.58819e-11 
8.00000e-02, -4.84772e+09, 0.00000e+00, -2.99864e-11 
8.25000e-02, -3.89392e+09, 0.00000e+00, -3.33743e-11 
8.50000e-02, -2.89281e+09, 0.00000e+00, -3.60019e-11 
8.75000e-02, -1.86354e+09, 0.00000e+00, -3.78402e-11 
9.00000e-02, -8.25488e+08, 0.00000e+00, -3.88748e-11 
9.25000e-02, 2.02041e+08, 0.00000e+00, -3.91068e-11 
9.50000e-02, 1.20022e+09, 0.00000e+00, -3.85518e-11 
9.75000e-02, 2.15103e+09, 0.00000e+00, -3.72398e-11 
1.00000e-01, 3.03758e+09, 0.00000e+00, -3.52143e-11 
1.02500e-01, 3.84445e+09, 0.00000e+00, -3.25314e-11 
1.05000e-01, 4.55791e+09, 0.00000e+00, -2.92584e-11 
1.07500e-01, 5.16620e+09, 0.00000e+00, -2.54727e-11 
1.10000e-01, 5.65972e+09, 0.00000e+00, -2.12597e-11 
1.12500e-01, 6.03118e+09, 0.00000e+00, -1.67116e-11 
1.15000e-01, 6.27572e+09, 0.00000e+00, -1.19251e-11 
1.17500e-01, 6.39097e+09, 0.00000e+00, -6.99978e-12 
1.20000e-01, 6.37706e+09, 0.00000e+00, -2.03614e-12 
1.22500e-01, 6.23659e+09, 0.00000e+00, 2.86651e-12 
1.25000e-01, 5.97457e+09, 0.00000e+00, 7.61179e-12 
1.27500e-01, 5.59825e+09, 0.00000e+00, 1.21081e-11 
1.30000e-01, 5.11700e+09, 0.00000e+00, 1.62703e-11 
1.32500e-01, 4.54209e+09, 0.00000e+00, 2.00213e-11 
1.35000e-01, 3.88643e+09, 0.00000e+00, 2.32935e-11 
1.37500e-01, 3.16431e+09, 0.00000e+00, 2.60296e-11 
1.40000e-01, 2.39112e+09, 0.00000e+00, 2.81842e-11 
1.42500e-01, 1.58302e+09, 0.00000e+00, 2.97240e-11 
1.45000e-01, 7.56627e+08, 0.00000e+00, 3.06282e-11 
1.47500e-01, -7.13192e+07, 0.00000e+00, 3.08895e-11 
1.50000e-01, -8.84288e+08, 0.00000e+00, 3.05130e-11 
1.52500e-01, -1.66627e+09, 0.00000e+00, 2.95167e-11 
1.55000e-01, -2.40210e+09, 0.00000e+00, 2.79308e-11 
1.57500e-01, -3.07773e+09, 0.00000e+00, 2.57966e-11 
1.60000e-01, -3.68049e+09, 0.00000e+00, 2.31659e-11 
1.62500e-01, -4.19933e+09, 0.00000e+00, 2.00997e-11 
1.65000e-01, -4.62502e+09, 0.00000e+00, 1.66669e-11 
1.67500e-01, -4.95032e+09, 0.00000e+00, 1.29427e-11 
1.70000e-01, -5.17007e+09, 0.00000e+00, 9.00731e-12 
1.72500e-01, -5.28129e+09, 0.00000e+00, 4.94382e-12 
1.75000e-01, -5.28320e+09, 0.00000e+00, 8.36933e-13 
1.77500e-01, -5.17725e+09, 0.00000e+00, -3.22894e-12 
1.80000e-01, -4.96699e+09, 0.00000e+00, -7.17136e-12 
1.82500e-01, -4.65807e+09, 0.00000e+00, -1.09115e-11 
1.85000e-01, -4.25801e+09, 0.00000e+00, -1.43755e-11 
1.87500e-01, -3.77610e+09, 0.00000e+00, -1.74964e-11 
1.90000e-01, -3.22314e+09, 0.00000e+00, -2.02146e-11 
1.92500e-01, -2.61127e+09, 0.00000e+00, -2.24797e-11 
1.95000e-01, -1.95365e+09, 0.00000e+00, -2.42512e-11 
1.97500e-01, -1.26422e+09, 0.00000e+00, -2.54989e-11 
2.00000e-01, -5.57385e+08, 0.00000e+00, -2.62038e-11 
2.02500e-01, 1.52236e+08, 0.00000e+00, -2.63581e-11 
2.05000e-01, 8.50150e+08, 0.00000e+00, -2.59653e-11 
2.07500e-01, 1.52226e+09, 0.00000e+00, -2.50401e-11 
2.10000e-01, 2.15514e+09, 0.00000e+00, -2.36078e-11 
2.12500e-01, 2.73633e+09, 0.00000e+00, -2.17038e-11 
2.15000e-01, 3.25452e+09, 0.00000e+00, -1.93727e-11 
2.17500e-01, 3.69984e+09, 0.00000e+00, -1.66674e-11 
2.20000e-01, 4.06397e+09, 0.00000e+00, -1.36478e-11 
2.22500e-01, 4.34036e+09, 0.00000e+00, -1.03796e-11 
2.25000e-01, 4.52430e+09, 0.00000e+00, -6.93285e-12 
2.27500e-01, 4.61301e+09, 0.00000e+00, -3.38049e-12 
2.30000e-01, 4.60568e+09, 0.00000e+00, 2.03114e-13 
2.32500e-01, 4.50348e+09, 0.00000e+00, 3.74377e-12 
2.35000e-01, 4.30947e+09, 0.00000e+00, 7.16892e-12 
2.37500e-01, 4.02860e+09, 0.00000e+00, 1.04091e-11 
2.40000e-01, 3.66750e+09, 0.00000e+00, 1.33995e-11 
2.42500e-01, 3.23441e+09, 0.00000e+00, 1.60809e-11 
2.45000e-01, 2.73894e+09, 0.00000e+00, 1.84011e-11 
2.47500e-01, 2.19188e+09, 0.00000e+00, 2.03158e-11 
2.50000e-01, 1.60499e+09, 0.00000e+00, 2.17897e-11 
2.52500e-01, 9.90723e+08, 0.00000e+00, 2.27965e-11 
2.55000e-01, 3.61976e+08, 0.00000e+00, 2.33201e-11 
2.57500e-01, -2.68175e+08, 0.00000e+00, 2.33543e-11 
2.60000e-01, -8.86747e+08, 0.00000e+00, 2.29032e-11 
2.62500e-01, -1.48111e+09, 0.00000e+00, 2.19806e-11 
2.65000e-01, -2.03926e+09, 0.00000e+00, 2.06102e-11 
2.67500e-01, -2.55001e+09, 0.00000e+00, 1.88245e-11 
2.70000e-01, -3.00328e+09, 0.00000e+00, 1.66642e-11 
2.72500e-01, -3.39025e+09, 0.00000e+00, 1.41775e-11 
2.75000e-01, -3.70353e+09, 0.00000e+00, 1.14189e-11 
2.77500e-01, -3.93731e+09, 0.00000e+00, 8.44787e-12 
2.80000e-01, -4.08748e+09, 0.00000e+00, 5.32788e-12 
