r(m), B_r(T), B_theta(T), B_z(T) 
0.00000e+00, 2.54189e+00, 2.54189e+00, -0.00000e+00 
2.50000e-03, 2.54185e+00, 2.54182e+00, -1.65334e-02 
5.00000e-03, 2.54173e+00, 2.54162e+00, -3.30658e-02 
7.50000e-03, 2.54154e+00, 2.54129e+00, -4.95961e-02 
1.00000e-02, 2.54126e+00, 2.54083e+00, -6.61233e-02 
1.25000e-02, 2.54091e+00, 2.54024e+00, -8.26464e-02 
1.50000e-02, 2.54048e+00, 2.53951e+00, -9.91645e-02 
1.75000e-02, 2.53997e+00, 2.53866e+00, -1.15676e-01 
2.00000e-02, 2.53939e+00, 2.53767e+00, -1.32181e-01 
2.25000e-02, 2.53872e+00, 2.53655e+00, -1.48678e-01 
2.50000e-02, 2.53798e+00, 2.53529e+00, -1.65165e-01 
2.75000e-02, 2.53716e+00, 2.53391e+00, -1.81642e-01 
3.00000e-02, 2.53626e+00, 2.53240e+00, -1.98108e-01 
3.25000e-02, 2.53529e+00, 2.53075e+00, -2.14561e-01 
3.50000e-02, 2.53423e+00, 2.52897e+00, -2.31001e-01 
3.75000e-02, 2.53310e+00, 2.52706e+00, -2.47427e-01 
4.00000e-02, 2.53189e+00, 2.52502e+00, -2.63838e-01 
4.25000e-02, 2.53061e+00, 2.52285e+00, -2.80232e-01 
4.50000e-02, 2.52924e+00, 2.52055e+00, -2.96609e-01 
4.75000e-02, 2.52780e+00, 2.51812e+00, -3.12967e-01 
5.00000e-02, 2.52628e+00, 2.51556e+00, -3.29306e-01 
5.25000e-02, 2.52468e+00, 2.51286e+00, -3.45625e-01 
5.50000e-02, 2.52301e+00, 2.51004e+00, -3.61922e-01 
5.75000e-02, 2.52126e+00, 2.50709e+00, -3.78197e-01 
6.00000e-02, 2.51943e+00, 2.50401e+00, -3.94448e-01 
6.25000e-02, 2.51753e+00, 2.50080e+00, -4.10675e-01 
6.50000e-02, 2.51554e+00, 2.49745e+00, -4.26877e-01 
6.75000e-02, 2.51349e+00, 2.49398e+00, -4.43052e-01 
7.00000e-02, 2.51135e+00, 2.49039e+00, -4.59199e-01 
7.25000e-02, 2.50914e+00, 2.48666e+00, -4.75318e-01 
7.50000e-02, 2.50685e+00, 2.48280e+00, -4.91408e-01 
7.75000e-02, 2.50449e+00, 2.47882e+00, -5.07467e-01 
8.00000e-02, 2.50205e+00, 2.47471e+00, -5.23495e-01 
8.25000e-02, 2.49953e+00, 2.47047e+00, -5.39491e-01 
8.50000e-02, 2.49694e+00, 2.46611e+00, -5.55453e-01 
8.75000e-02, 2.49427e+00, 2.46161e+00, -5.71380e-01 
9.00000e-02, 2.49153e+00, 2.45699e+00, -5.87272e-01 
9.25000e-02, 2.48871e+00, 2.45225e+00, -6.03128e-01 
9.50000e-02, 2.48581e+00, 2.44738e+00, -6.18947e-01 
9.75000e-02, 2.48284e+00, 2.44238e+00, -6.34727e-01 
1.00000e-01, 2.47980e+00, 2.43726e+00, -6.50468e-01 
1.02500e-01, 2.47668e+00, 2.43201e+00, -6.66169e-01 
1.05000e-01, 2.47349e+00, 2.42663e+00, -6.81828e-01 
1.07500e-01, 2.47022e+00, 2.42114e+00, -6.97446e-01 
1.10000e-01, 2.46688e+00, 2.41552e+00, -7.13020e-01 
1.12500e-01, 2.46346e+00, 2.40977e+00, -7.28550e-01 
1.15000e-01, 2.45997e+00, 2.40391e+00, -7.44035e-01 
1.17500e-01, 2.45641e+00, 2.39791e+00, -7.59474e-01 
1.20000e-01, 2.45277e+00, 2.39180e+00, -7.74866e-01 
1.22500e-01, 2.44906e+00, 2.38557e+00, -7.90210e-01 
1.25000e-01, 2.44527e+00, 2.37921e+00, -8.05505e-01 
1.27500e-01, 2.44142e+00, 2.37273e+00, -8.20750e-01 
1.30000e-01, 2.43749e+00, 2.36613e+00, -8.35945e-01 
1.32500e-01, 2.43349e+00, 2.35942e+00, -8.51088e-01 
1.35000e-01, 2.42941e+00, 2.35258e+00, -8.66178e-01 
1.37500e-01, 2.42527e+00, 2.34562e+00, -8.81215e-01 
1.40000e-01, 2.42105e+00, 2.33854e+00, -8.96198e-01 
1.42500e-01, 2.41676e+00, 2.33135e+00, -9.11125e-01 
1.45000e-01, 2.41240e+00, 2.32403e+00, -9.25996e-01 
1.47500e-01, 2.40797e+00, 2.31660e+00, -9.40809e-01 
1.50000e-01, 2.40346e+00, 2.30905e+00, -9.55565e-01 
1.52500e-01, 2.39889e+00, 2.30139e+00, -9.70261e-01 
1.55000e-01, 2.39425e+00, 2.29361e+00, -9.84898e-01 
1.57500e-01, 2.38953e+00, 2.28571e+00, -9.99474e-01 
1.60000e-01, 2.38475e+00, 2.27770e+00, -1.01399e+00 
1.62500e-01, 2.37989e+00, 2.26957e+00, -1.02844e+00 
1.65000e-01, 2.37497e+00, 2.26133e+00, -1.04283e+00 
1.67500e-01, 2.36998e+00, 2.25298e+00, -1.05715e+00 
1.70000e-01, 2.36492e+00, 2.24451e+00, -1.07141e+00 
1.72500e-01, 2.35979e+00, 2.23594e+00, -1.08560e+00 
1.75000e-01, 2.35459e+00, 2.22725e+00, -1.09973e+00 
1.77500e-01, 2.34933e+00, 2.21845e+00, -1.11379e+00 
1.80000e-01, 2.34400e+00, 2.20953e+00, -1.12778e+00 
1.82500e-01, 2.33860e+00, 2.20051e+00, -1.14170e+00 
1.85000e-01, 2.33313e+00, 2.19138e+00, -1.15554e+00 
1.87500e-01, 2.32759e+00, 2.18214e+00, -1.16932e+00 
1.90000e-01, 2.32199e+00, 2.17279e+00, -1.18303e+00 
1.92500e-01, 2.31633e+00, 2.16334e+00, -1.19666e+00 
1.95000e-01, 2.31060e+00, 2.15377e+00, -1.21022e+00 
1.97500e-01, 2.30480e+00, 2.14410e+00, -1.22371e+00 
2.00000e-01, 2.29893e+00, 2.13433e+00, -1.23712e+00 
2.02500e-01, 2.29301e+00, 2.12445e+00, -1.25045e+00 
2.05000e-01, 2.28701e+00, 2.11447e+00, -1.26371e+00 
2.07500e-01, 2.28096e+00, 2.10438e+00, -1.27689e+00 
