r(m), E_r(T), E_theta(T), E_z(T) 
0.00000e+00, 3.49023e+08, 0.00000e+00, 0.00000e+00 
2.50000e-03, 3.49014e+08, 0.00000e+00, 4.27467e-14 
5.00000e-03, 3.48987e+08, 0.00000e+00, 8.54908e-14 
7.50000e-03, 3.48942e+08, 0.00000e+00, 1.28230e-13 
1.00000e-02, 3.48878e+08, 0.00000e+00, 1.70960e-13 
1.25000e-02, 3.48797e+08, 0.00000e+00, 2.13681e-13 
1.50000e-02, 3.48697e+08, 0.00000e+00, 2.56388e-13 
1.75000e-02, 3.48579e+08, 0.00000e+00, 2.99079e-13 
2.00000e-02, 3.48444e+08, 0.00000e+00, 3.41751e-13 
2.25000e-02, 3.48290e+08, 0.00000e+00, 3.84403e-13 
2.50000e-02, 3.48118e+08, 0.00000e+00, 4.27030e-13 
2.75000e-02, 3.47928e+08, 0.00000e+00, 4.69631e-13 
3.00000e-02, 3.47720e+08, 0.00000e+00, 5.12203e-13 
3.25000e-02, 3.47494e+08, 0.00000e+00, 5.54743e-13 
3.50000e-02, 3.47249e+08, 0.00000e+00, 5.97249e-13 
3.75000e-02, 3.46987e+08, 0.00000e+00, 6.39718e-13 
4.00000e-02, 3.46707e+08, 0.00000e+00, 6.82147e-13 
4.25000e-02, 3.46409e+08, 0.00000e+00, 7.24534e-13 
4.50000e-02, 3.46093e+08, 0.00000e+00, 7.66876e-13 
4.75000e-02, 3.45759e+08, 0.00000e+00, 8.09170e-13 
5.00000e-02, 3.45407e+08, 0.00000e+00, 8.51414e-13 
5.25000e-02, 3.45038e+08, 0.00000e+00, 8.93606e-13 
5.50000e-02, 3.44650e+08, 0.00000e+00, 9.35742e-13 
5.75000e-02, 3.44245e+08, 0.00000e+00, 9.77820e-13 
6.00000e-02, 3.43822e+08, 0.00000e+00, 1.01984e-12 
6.25000e-02, 3.43381e+08, 0.00000e+00, 1.06179e-12 
6.50000e-02, 3.42922e+08, 0.00000e+00, 1.10368e-12 
6.75000e-02, 3.42446e+08, 0.00000e+00, 1.14550e-12 
7.00000e-02, 3.41951e+08, 0.00000e+00, 1.18725e-12 
7.25000e-02, 3.41440e+08, 0.00000e+00, 1.22893e-12 
7.50000e-02, 3.40910e+08, 0.00000e+00, 1.27053e-12 
7.75000e-02, 3.40363e+08, 0.00000e+00, 1.31205e-12 
8.00000e-02, 3.39799e+08, 0.00000e+00, 1.35349e-12 
8.25000e-02, 3.39217e+08, 0.00000e+00, 1.39484e-12 
8.50000e-02, 3.38617e+08, 0.00000e+00, 1.43611e-12 
8.75000e-02, 3.38001e+08, 0.00000e+00, 1.47729e-12 
9.00000e-02, 3.37366e+08, 0.00000e+00, 1.51838e-12 
9.25000e-02, 3.36715e+08, 0.00000e+00, 1.55938e-12 
9.50000e-02, 3.36046e+08, 0.00000e+00, 1.60027e-12 
9.75000e-02, 3.35360e+08, 0.00000e+00, 1.64107e-12 
1.00000e-01, 3.34656e+08, 0.00000e+00, 1.68177e-12 
1.02500e-01, 3.33936e+08, 0.00000e+00, 1.72237e-12 
1.05000e-01, 3.33198e+08, 0.00000e+00, 1.76285e-12 
1.07500e-01, 3.32443e+08, 0.00000e+00, 1.80323e-12 
1.10000e-01, 3.31671e+08, 0.00000e+00, 1.84350e-12 
1.12500e-01, 3.30883e+08, 0.00000e+00, 1.88365e-12 
1.15000e-01, 3.30077e+08, 0.00000e+00, 1.92369e-12 
1.17500e-01, 3.29254e+08, 0.00000e+00, 1.96360e-12 
1.20000e-01, 3.28415e+08, 0.00000e+00, 2.00340e-12 
1.22500e-01, 3.27559e+08, 0.00000e+00, 2.04307e-12 
1.25000e-01, 3.26686e+08, 0.00000e+00, 2.08262e-12 
1.27500e-01, 3.25797e+08, 0.00000e+00, 2.12203e-12 
1.30000e-01, 3.24891e+08, 0.00000e+00, 2.16132e-12 
1.32500e-01, 3.23968e+08, 0.00000e+00, 2.20047e-12 
1.35000e-01, 3.23029e+08, 0.00000e+00, 2.23949e-12 
1.37500e-01, 3.22074e+08, 0.00000e+00, 2.27836e-12 
1.40000e-01, 3.21102e+08, 0.00000e+00, 2.31710e-12 
1.42500e-01, 3.20114e+08, 0.00000e+00, 2.35569e-12 
1.45000e-01, 3.19110e+08, 0.00000e+00, 2.39414e-12 
1.47500e-01, 3.18089e+08, 0.00000e+00, 2.43244e-12 
1.50000e-01, 3.17053e+08, 0.00000e+00, 2.47059e-12 
1.52500e-01, 3.16000e+08, 0.00000e+00, 2.50859e-12 
1.55000e-01, 3.14932e+08, 0.00000e+00, 2.54643e-12 
1.57500e-01, 3.13848e+08, 0.00000e+00, 2.58412e-12 
1.60000e-01, 3.12748e+08, 0.00000e+00, 2.62165e-12 
1.62500e-01, 3.11632e+08, 0.00000e+00, 2.65901e-12 
1.65000e-01, 3.10501e+08, 0.00000e+00, 2.69621e-12 
1.67500e-01, 3.09354e+08, 0.00000e+00, 2.73324e-12 
1.70000e-01, 3.08191e+08, 0.00000e+00, 2.77011e-12 
1.72500e-01, 3.07013e+08, 0.00000e+00, 2.80680e-12 
1.75000e-01, 3.05820e+08, 0.00000e+00, 2.84333e-12 
1.77500e-01, 3.04612e+08, 0.00000e+00, 2.87967e-12 
1.80000e-01, 3.03388e+08, 0.00000e+00, 2.91584e-12 
1.82500e-01, 3.02149e+08, 0.00000e+00, 2.95183e-12 
1.85000e-01, 3.00895e+08, 0.00000e+00, 2.98764e-12 
1.87500e-01, 2.99627e+08, 0.00000e+00, 3.02326e-12 
1.90000e-01, 2.98343e+08, 0.00000e+00, 3.05870e-12 
1.92500e-01, 2.97045e+08, 0.00000e+00, 3.09395e-12 
1.95000e-01, 2.95732e+08, 0.00000e+00, 3.12900e-12 
1.97500e-01, 2.94404e+08, 0.00000e+00, 3.16387e-12 
2.00000e-01, 2.93062e+08, 0.00000e+00, 3.19854e-12 
2.02500e-01, 2.91705e+08, 0.00000e+00, 3.23301e-12 
2.05000e-01, 2.90334e+08, 0.00000e+00, 3.26729e-12 
2.07500e-01, 2.88949e+08, 0.00000e+00, 3.30136e-12 
2.10000e-01, 2.87550e+08, 0.00000e+00, 3.33524e-12 
2.12500e-01, 2.86137e+08, 0.00000e+00, 3.36890e-12 
2.15000e-01, 2.84709e+08, 0.00000e+00, 3.40236e-12 
2.17500e-01, 2.83268e+08, 0.00000e+00, 3.43561e-12 
2.20000e-01, 2.81813e+08, 0.00000e+00, 3.46865e-12 
2.22500e-01, 2.80344e+08, 0.00000e+00, 3.50148e-12 
2.25000e-01, 2.78862e+08, 0.00000e+00, 3.53409e-12 
2.27500e-01, 2.77366e+08, 0.00000e+00, 3.56648e-12 
2.30000e-01, 2.75857e+08, 0.00000e+00, 3.59866e-12 
2.32500e-01, 2.74335e+08, 0.00000e+00, 3.63061e-12 
2.35000e-01, 2.72799e+08, 0.00000e+00, 3.66234e-12 
2.37500e-01, 2.71251e+08, 0.00000e+00, 3.69385e-12 
2.40000e-01, 2.69689e+08, 0.00000e+00, 3.72513e-12 
2.42500e-01, 2.68114e+08, 0.00000e+00, 3.75618e-12 
2.45000e-01, 2.66527e+08, 0.00000e+00, 3.78700e-12 
2.47500e-01, 2.64927e+08, 0.00000e+00, 3.81759e-12 
2.50000e-01, 2.63314e+08, 0.00000e+00, 3.84795e-12 
