r(m), B_r(T), B_theta(T), B_z(T) 
0.00000e+00, 2.39295e+00, 2.39295e+00, -0.00000e+00 
2.50000e-03, 2.39291e+00, 2.39283e+00, -2.81720e-02 
5.00000e-03, 2.39278e+00, 2.39245e+00, -5.63411e-02 
7.50000e-03, 2.39257e+00, 2.39182e+00, -8.45042e-02 
1.00000e-02, 2.39227e+00, 2.39094e+00, -1.12658e-01 
1.25000e-02, 2.39188e+00, 2.38981e+00, -1.40801e-01 
1.50000e-02, 2.39141e+00, 2.38843e+00, -1.68928e-01 
1.75000e-02, 2.39086e+00, 2.38680e+00, -1.97038e-01 
2.00000e-02, 2.39022e+00, 2.38491e+00, -2.25126e-01 
2.25000e-02, 2.38949e+00, 2.38278e+00, -2.53191e-01 
2.50000e-02, 2.38868e+00, 2.38039e+00, -2.81230e-01 
2.75000e-02, 2.38778e+00, 2.37776e+00, -3.09238e-01 
3.00000e-02, 2.38679e+00, 2.37487e+00, -3.37214e-01 
3.25000e-02, 2.38573e+00, 2.37174e+00, -3.65154e-01 
3.50000e-02, 2.38457e+00, 2.36836e+00, -3.93056e-01 
3.75000e-02, 2.38333e+00, 2.36473e+00, -4.20916e-01 
4.00000e-02, 2.38201e+00, 2.36085e+00, -4.48732e-01 
4.25000e-02, 2.38060e+00, 2.35672e+00, -4.76500e-01 
4.50000e-02, 2.37911e+00, 2.35235e+00, -5.04218e-01 
4.75000e-02, 2.37753e+00, 2.34773e+00, -5.31883e-01 
5.00000e-02, 2.37587e+00, 2.34286e+00, -5.59492e-01 
5.25000e-02, 2.37412e+00, 2.33775e+00, -5.87041e-01 
5.50000e-02, 2.37229e+00, 2.33239e+00, -6.14529e-01 
5.75000e-02, 2.37038e+00, 2.32679e+00, -6.41951e-01 
6.00000e-02, 2.36838e+00, 2.32094e+00, -6.69306e-01 
6.25000e-02, 2.36630e+00, 2.31485e+00, -6.96591e-01 
6.50000e-02, 2.36413e+00, 2.30852e+00, -7.23802e-01 
6.75000e-02, 2.36188e+00, 2.30195e+00, -7.50936e-01 
7.00000e-02, 2.35955e+00, 2.29513e+00, -7.77992e-01 
7.25000e-02, 2.35713e+00, 2.28808e+00, -8.04965e-01 
7.50000e-02, 2.35463e+00, 2.28079e+00, -8.31853e-01 
7.75000e-02, 2.35205e+00, 2.27326e+00, -8.58654e-01 
8.00000e-02, 2.34938e+00, 2.26549e+00, -8.85364e-01 
8.25000e-02, 2.34664e+00, 2.25749e+00, -9.11980e-01 
8.50000e-02, 2.34381e+00, 2.24924e+00, -9.38501e-01 
8.75000e-02, 2.34089e+00, 2.24077e+00, -9.64923e-01 
9.00000e-02, 2.33790e+00, 2.23206e+00, -9.91243e-01 
9.25000e-02, 2.33482e+00, 2.22312e+00, -1.01746e+00 
9.50000e-02, 2.33167e+00, 2.21395e+00, -1.04357e+00 
9.75000e-02, 2.32843e+00, 2.20454e+00, -1.06956e+00 
1.00000e-01, 2.32511e+00, 2.19491e+00, -1.09545e+00 
1.02500e-01, 2.32171e+00, 2.18505e+00, -1.12122e+00 
1.05000e-01, 2.31823e+00, 2.17496e+00, -1.14687e+00 
1.07500e-01, 2.31467e+00, 2.16465e+00, -1.17240e+00 
1.10000e-01, 2.31103e+00, 2.15411e+00, -1.19781e+00 
1.12500e-01, 2.30730e+00, 2.14335e+00, -1.22309e+00 
1.15000e-01, 2.30350e+00, 2.13236e+00, -1.24825e+00 
1.17500e-01, 2.29962e+00, 2.12116e+00, -1.27327e+00 
1.20000e-01, 2.29567e+00, 2.10973e+00, -1.29816e+00 
1.22500e-01, 2.29163e+00, 2.09809e+00, -1.32291e+00 
1.25000e-01, 2.28751e+00, 2.08623e+00, -1.34752e+00 
1.27500e-01, 2.28332e+00, 2.07416e+00, -1.37199e+00 
1.30000e-01, 2.27905e+00, 2.06187e+00, -1.39632e+00 
1.32500e-01, 2.27470e+00, 2.04936e+00, -1.42050e+00 
1.35000e-01, 2.27027e+00, 2.03665e+00, -1.44453e+00 
1.37500e-01, 2.26577e+00, 2.02373e+00, -1.46841e+00 
1.40000e-01, 2.26119e+00, 2.01059e+00, -1.49214e+00 
1.42500e-01, 2.25653e+00, 1.99726e+00, -1.51570e+00 
1.45000e-01, 2.25180e+00, 1.98371e+00, -1.53911e+00 
1.47500e-01, 2.24699e+00, 1.96997e+00, -1.56236e+00 
1.50000e-01, 2.24211e+00, 1.95602e+00, -1.58544e+00 
1.52500e-01, 2.23715e+00, 1.94187e+00, -1.60836e+00 
1.55000e-01, 2.23212e+00, 1.92752e+00, -1.63111e+00 
1.57500e-01, 2.22702e+00, 1.91298e+00, -1.65369e+00 
1.60000e-01, 2.22184e+00, 1.89824e+00, -1.67609e+00 
1.62500e-01, 2.21658e+00, 1.88330e+00, -1.69832e+00 
1.65000e-01, 2.21126e+00, 1.86818e+00, -1.72037e+00 
1.67500e-01, 2.20586e+00, 1.85286e+00, -1.74224e+00 
1.70000e-01, 2.20038e+00, 1.83736e+00, -1.76393e+00 
1.72500e-01, 2.19484e+00, 1.82167e+00, -1.78544e+00 
1.75000e-01, 2.18923e+00, 1.80579e+00, -1.80675e+00 
1.77500e-01, 2.18354e+00, 1.78973e+00, -1.82788e+00 
1.80000e-01, 2.17778e+00, 1.77350e+00, -1.84882e+00 
1.82500e-01, 2.17196e+00, 1.75708e+00, -1.86956e+00 
1.85000e-01, 2.16606e+00, 1.74048e+00, -1.89011e+00 
1.87500e-01, 2.16009e+00, 1.72371e+00, -1.91046e+00 
1.90000e-01, 2.15406e+00, 1.70677e+00, -1.93061e+00 
1.92500e-01, 2.14795e+00, 1.68966e+00, -1.95056e+00 
1.95000e-01, 2.14178e+00, 1.67237e+00, -1.97031e+00 
1.97500e-01, 2.13554e+00, 1.65492e+00, -1.98985e+00 
2.00000e-01, 2.12923e+00, 1.63731e+00, -2.00918e+00 
2.02500e-01, 2.12285e+00, 1.61953e+00, -2.02831e+00 
2.05000e-01, 2.11641e+00, 1.60159e+00, -2.04722e+00 
2.07500e-01, 2.10991e+00, 1.58349e+00, -2.06592e+00 
2.10000e-01, 2.10333e+00, 1.56523e+00, -2.08440e+00 
2.12500e-01, 2.09669e+00, 1.54682e+00, -2.10267e+00 
2.15000e-01, 2.08999e+00, 1.52826e+00, -2.12072e+00 
2.17500e-01, 2.08322e+00, 1.50954e+00, -2.13855e+00 
2.20000e-01, 2.07639e+00, 1.49068e+00, -2.15615e+00 
2.22500e-01, 2.06950e+00, 1.47167e+00, -2.17354e+00 
2.25000e-01, 2.06254e+00, 1.45252e+00, -2.19069e+00 
2.27500e-01, 2.05552e+00, 1.43323e+00, -2.20762e+00 
2.30000e-01, 2.04844e+00, 1.41379e+00, -2.22432e+00 
2.32500e-01, 2.04130e+00, 1.39422e+00, -2.24079e+00 
2.35000e-01, 2.03410e+00, 1.37452e+00, -2.25702e+00 
2.37500e-01, 2.02683e+00, 1.35468e+00, -2.27302e+00 
2.40000e-01, 2.01951e+00, 1.33471e+00, -2.28879e+00 
2.42500e-01, 2.01213e+00, 1.31462e+00, -2.30432e+00 
2.45000e-01, 2.00469e+00, 1.29440e+00, -2.31961e+00 
2.47500e-01, 1.99719e+00, 1.27405e+00, -2.33466e+00 
2.50000e-01, 1.98963e+00, 1.25359e+00, -2.34947e+00 
2.52500e-01, 1.98202e+00, 1.23300e+00, -2.36404e+00 
2.55000e-01, 1.97435e+00, 1.21230e+00, -2.37836e+00 
2.57500e-01, 1.96662e+00, 1.19149e+00, -2.39244e+00 
2.60000e-01, 1.95884e+00, 1.17056e+00, -2.40627e+00 
2.62500e-01, 1.95100e+00, 1.14953e+00, -2.41985e+00 
2.65000e-01, 1.94311e+00, 1.12839e+00, -2.43318e+00 
2.67500e-01, 1.93516e+00, 1.10714e+00, -2.44626e+00 
2.70000e-01, 1.92716e+00, 1.08580e+00, -2.45909e+00 
2.72500e-01, 1.91911e+00, 1.06435e+00, -2.47166e+00 
2.75000e-01, 1.91101e+00, 1.04281e+00, -2.48399e+00 
2.77500e-01, 1.90285e+00, 1.02117e+00, -2.49605e+00 
2.80000e-01, 1.89464e+00, 9.99444e-01, -2.50786e+00 
2.82500e-01, 1.88638e+00, 9.77627e-01, -2.51941e+00 
2.85000e-01, 1.87807e+00, 9.55724e-01, -2.53071e+00 
2.87500e-01, 1.86972e+00, 9.33736e-01, -2.54174e+00 
2.90000e-01, 1.86131e+00, 9.11667e-01, -2.55251e+00 
