r(m), E_r(T), E_theta(T), E_z(T) 
0.00000e+00, 5.44781e+09, -5.44781e+09, 0.00000e+00 
2.50000e-03, 5.44779e+09, -5.44780e+09, 1.40547e-16 
5.00000e-03, 5.44774e+09, -5.44778e+09, 2.81094e-16 
7.50000e-03, 5.44765e+09, -5.44775e+09, 4.21638e-16 
1.00000e-02, 5.44753e+09, -5.44771e+09, 5.62180e-16 
1.25000e-02, 5.44737e+09, -5.44765e+09, 7.02718e-16 
1.50000e-02, 5.44718e+09, -5.44758e+09, 8.43252e-16 
1.75000e-02, 5.44695e+09, -5.44750e+09, 9.83780e-16 
2.00000e-02, 5.44668e+09, -5.44740e+09, 1.12430e-15 
2.25000e-02, 5.44638e+09, -5.44729e+09, 1.26481e-15 
2.50000e-02, 5.44605e+09, -5.44717e+09, 1.40532e-15 
2.75000e-02, 5.44568e+09, -5.44704e+09, 1.54582e-15 
3.00000e-02, 5.44528e+09, -5.44689e+09, 1.68630e-15 
3.25000e-02, 5.44484e+09, -5.44673e+09, 1.82678e-15 
3.50000e-02, 5.44436e+09, -5.44656e+09, 1.96724e-15 
3.75000e-02, 5.44385e+09, -5.44638e+09, 2.10769e-15 
4.00000e-02, 5.44330e+09, -5.44618e+09, 2.24813e-15 
4.25000e-02, 5.44272e+09, -5.44597e+09, 2.38855e-15 
4.50000e-02, 5.44211e+09, -5.44575e+09, 2.52895e-15 
4.75000e-02, 5.44146e+09, -5.44551e+09, 2.66934e-15 
5.00000e-02, 5.44077e+09, -5.44526e+09, 2.80971e-15 
5.25000e-02, 5.44005e+09, -5.44500e+09, 2.95007e-15 
5.50000e-02, 5.43929e+09, -5.44473e+09, 3.09040e-15 
5.75000e-02, 5.43850e+09, -5.44444e+09, 3.23071e-15 
6.00000e-02, 5.43768e+09, -5.44414e+09, 3.37100e-15 
6.25000e-02, 5.43681e+09, -5.44383e+09, 3.51127e-15 
6.50000e-02, 5.43592e+09, -5.44351e+09, 3.65152e-15 
6.75000e-02, 5.43498e+09, -5.44317e+09, 3.79174e-15 
7.00000e-02, 5.43402e+09, -5.44282e+09, 3.93194e-15 
7.25000e-02, 5.43302e+09, -5.44246e+09, 4.07211e-15 
7.50000e-02, 5.43198e+09, -5.44208e+09, 4.21225e-15 
7.75000e-02, 5.43091e+09, -5.44169e+09, 4.35237e-15 
8.00000e-02, 5.42980e+09, -5.44129e+09, 4.49246e-15 
8.25000e-02, 5.42866e+09, -5.44088e+09, 4.63252e-15 
8.50000e-02, 5.42748e+09, -5.44045e+09, 4.77254e-15 
8.75000e-02, 5.42627e+09, -5.44001e+09, 4.91254e-15 
9.00000e-02, 5.42502e+09, -5.43956e+09, 5.05250e-15 
9.25000e-02, 5.42374e+09, -5.43910e+09, 5.19243e-15 
9.50000e-02, 5.42242e+09, -5.43862e+09, 5.33233e-15 
9.75000e-02, 5.42106e+09, -5.43813e+09, 5.47219e-15 
1.00000e-01, 5.41968e+09, -5.43763e+09, 5.61201e-15 
1.02500e-01, 5.41825e+09, -5.43711e+09, 5.75180e-15 
1.05000e-01, 5.41680e+09, -5.43659e+09, 5.89155e-15 
1.07500e-01, 5.41530e+09, -5.43605e+09, 6.03126e-15 
1.10000e-01, 5.41378e+09, -5.43549e+09, 6.17093e-15 
1.12500e-01, 5.41221e+09, -5.43493e+09, 6.31056e-15 
1.15000e-01, 5.41062e+09, -5.43435e+09, 6.45015e-15 
1.17500e-01, 5.40898e+09, -5.43376e+09, 6.58970e-15 
1.20000e-01, 5.40732e+09, -5.43315e+09, 6.72920e-15 
1.22500e-01, 5.40561e+09, -5.43254e+09, 6.86866e-15 
1.25000e-01, 5.40388e+09, -5.43191e+09, 7.00807e-15 
1.27500e-01, 5.40210e+09, -5.43127e+09, 7.14744e-15 
1.30000e-01, 5.40030e+09, -5.43061e+09, 7.28676e-15 
1.32500e-01, 5.39846e+09, -5.42995e+09, 7.42603e-15 
1.35000e-01, 5.39658e+09, -5.42927e+09, 7.56525e-15 
1.37500e-01, 5.39467e+09, -5.42857e+09, 7.70442e-15 
1.40000e-01, 5.39272e+09, -5.42787e+09, 7.84355e-15 
1.42500e-01, 5.39074e+09, -5.42715e+09, 7.98262e-15 
1.45000e-01, 5.38872e+09, -5.42642e+09, 8.12163e-15 
1.47500e-01, 5.38667e+09, -5.42568e+09, 8.26060e-15 
1.50000e-01, 5.38459e+09, -5.42492e+09, 8.39951e-15 
1.52500e-01, 5.38247e+09, -5.42415e+09, 8.53836e-15 
1.55000e-01, 5.38031e+09, -5.42337e+09, 8.67716e-15 
1.57500e-01, 5.37812e+09, -5.42258e+09, 8.81590e-15 
1.60000e-01, 5.37590e+09, -5.42177e+09, 8.95458e-15 
1.62500e-01, 5.37364e+09, -5.42096e+09, 9.09320e-15 
1.65000e-01, 5.37135e+09, -5.42012e+09, 9.23177e-15 
1.67500e-01, 5.36902e+09, -5.41928e+09, 9.37027e-15 
1.70000e-01, 5.36666e+09, -5.41842e+09, 9.50871e-15 
1.72500e-01, 5.36426e+09, -5.41756e+09, 9.64709e-15 
1.75000e-01, 5.36183e+09, -5.41667e+09, 9.78540e-15 
1.77500e-01, 5.35936e+09, -5.41578e+09, 9.92365e-15 
1.80000e-01, 5.35686e+09, -5.41487e+09, 1.00618e-14 
1.82500e-01, 5.35432e+09, -5.41395e+09, 1.02000e-14 
1.85000e-01, 5.35175e+09, -5.41302e+09, 1.03380e-14 
1.87500e-01, 5.34915e+09, -5.41208e+09, 1.04760e-14 
1.90000e-01, 5.34651e+09, -5.41112e+09, 1.06139e-14 
1.92500e-01, 5.34384e+09, -5.41015e+09, 1.07517e-14 
1.95000e-01, 5.34113e+09, -5.40917e+09, 1.08895e-14 
