r(m), E_r(T), E_theta(T), E_z(T) 
0.00000e+00, 1.06381e+10, 0.00000e+00, 0.00000e+00 
2.50000e-03, 1.06376e+10, 0.00000e+00, 4.49942e-15 
5.00000e-03, 1.06359e+10, 0.00000e+00, 8.99836e-15 
7.50000e-03, 1.06331e+10, 0.00000e+00, 1.34964e-14 
1.00000e-02, 1.06292e+10, 0.00000e+00, 1.79929e-14 
1.25000e-02, 1.06242e+10, 0.00000e+00, 2.24876e-14 
1.50000e-02, 1.06180e+10, 0.00000e+00, 2.69799e-14 
1.75000e-02, 1.06107e+10, 0.00000e+00, 3.14693e-14 
2.00000e-02, 1.06024e+10, 0.00000e+00, 3.59554e-14 
2.25000e-02, 1.05929e+10, 0.00000e+00, 4.04377e-14 
2.50000e-02, 1.05823e+10, 0.00000e+00, 4.49158e-14 
2.75000e-02, 1.05706e+10, 0.00000e+00, 4.93891e-14 
3.00000e-02, 1.05578e+10, 0.00000e+00, 5.38572e-14 
3.25000e-02, 1.05438e+10, 0.00000e+00, 5.83196e-14 
3.50000e-02, 1.05288e+10, 0.00000e+00, 6.27758e-14 
3.75000e-02, 1.05126e+10, 0.00000e+00, 6.72254e-14 
4.00000e-02, 1.04954e+10, 0.00000e+00, 7.16679e-14 
4.25000e-02, 1.04770e+10, 0.00000e+00, 7.61029e-14 
4.50000e-02, 1.04576e+10, 0.00000e+00, 8.05298e-14 
4.75000e-02, 1.04371e+10, 0.00000e+00, 8.49482e-14 
5.00000e-02, 1.04154e+10, 0.00000e+00, 8.93576e-14 
5.25000e-02, 1.03927e+10, 0.00000e+00, 9.37576e-14 
5.50000e-02, 1.03689e+10, 0.00000e+00, 9.81477e-14 
5.75000e-02, 1.03440e+10, 0.00000e+00, 1.02527e-13 
6.00000e-02, 1.03180e+10, 0.00000e+00, 1.06896e-13 
6.25000e-02, 1.02909e+10, 0.00000e+00, 1.11254e-13 
6.50000e-02, 1.02628e+10, 0.00000e+00, 1.15600e-13 
6.75000e-02, 1.02335e+10, 0.00000e+00, 1.19934e-13 
