r(m), B_r(T), B_theta(T), B_z(T) 
0.00000e+00, 1.22544e+00, 1.22544e+00, -0.00000e+00 
2.50000e-03, 1.22544e+00, 1.22543e+00, -3.51938e-03 
5.00000e-03, 1.22543e+00, 1.22542e+00, -7.03874e-03 
7.50000e-03, 1.22542e+00, 1.22540e+00, -1.05581e-02 
1.00000e-02, 1.22541e+00, 1.22537e+00, -1.40773e-02 
1.25000e-02, 1.22540e+00, 1.22534e+00, -1.75965e-02 
1.50000e-02, 1.22539e+00, 1.22530e+00, -2.11155e-02 
1.75000e-02, 1.22537e+00, 1.22524e+00, -2.46344e-02 
2.00000e-02, 1.22535e+00, 1.22518e+00, -2.81531e-02 
2.25000e-02, 1.22532e+00, 1.22512e+00, -3.16717e-02 
2.50000e-02, 1.22529e+00, 1.22504e+00, -3.51900e-02 
2.75000e-02, 1.22526e+00, 1.22496e+00, -3.87081e-02 
3.00000e-02, 1.22523e+00, 1.22487e+00, -4.22260e-02 
3.25000e-02, 1.22520e+00, 1.22477e+00, -4.57435e-02 
3.50000e-02, 1.22516e+00, 1.22466e+00, -4.92608e-02 
3.75000e-02, 1.22512e+00, 1.22455e+00, -5.27778e-02 
4.00000e-02, 1.22507e+00, 1.22442e+00, -5.62944e-02 
4.25000e-02, 1.22502e+00, 1.22429e+00, -5.98106e-02 
4.50000e-02, 1.22497e+00, 1.22416e+00, -6.33264e-02 
4.75000e-02, 1.22492e+00, 1.22401e+00, -6.68418e-02 
5.00000e-02, 1.22486e+00, 1.22385e+00, -7.03568e-02 
5.25000e-02, 1.22481e+00, 1.22369e+00, -7.38713e-02 
5.50000e-02, 1.22474e+00, 1.22352e+00, -7.73853e-02 
5.75000e-02, 1.22468e+00, 1.22334e+00, -8.08988e-02 
6.00000e-02, 1.22461e+00, 1.22316e+00, -8.44118e-02 
6.25000e-02, 1.22454e+00, 1.22296e+00, -8.79242e-02 
6.50000e-02, 1.22447e+00, 1.22276e+00, -9.14361e-02 
6.75000e-02, 1.22439e+00, 1.22255e+00, -9.49473e-02 
7.00000e-02, 1.22432e+00, 1.22234e+00, -9.84579e-02 
7.25000e-02, 1.22423e+00, 1.22211e+00, -1.01968e-01 
7.50000e-02, 1.22415e+00, 1.22188e+00, -1.05477e-01 
7.75000e-02, 1.22406e+00, 1.22164e+00, -1.08986e-01 
8.00000e-02, 1.22397e+00, 1.22139e+00, -1.12494e-01 
8.25000e-02, 1.22388e+00, 1.22113e+00, -1.16001e-01 
8.50000e-02, 1.22378e+00, 1.22086e+00, -1.19507e-01 
8.75000e-02, 1.22368e+00, 1.22059e+00, -1.23013e-01 
9.00000e-02, 1.22358e+00, 1.22031e+00, -1.26517e-01 
9.25000e-02, 1.22348e+00, 1.22002e+00, -1.30021e-01 
9.50000e-02, 1.22337e+00, 1.21973e+00, -1.33524e-01 
9.75000e-02, 1.22326e+00, 1.21942e+00, -1.37027e-01 
1.00000e-01, 1.22315e+00, 1.21911e+00, -1.40528e-01 
1.02500e-01, 1.22303e+00, 1.21879e+00, -1.44028e-01 
1.05000e-01, 1.22291e+00, 1.21846e+00, -1.47528e-01 
1.07500e-01, 1.22279e+00, 1.21813e+00, -1.51026e-01 
1.10000e-01, 1.22267e+00, 1.21778e+00, -1.54524e-01 
1.12500e-01, 1.22254e+00, 1.21743e+00, -1.58020e-01 
1.15000e-01, 1.22241e+00, 1.21707e+00, -1.61515e-01 
1.17500e-01, 1.22228e+00, 1.21670e+00, -1.65010e-01 
1.20000e-01, 1.22214e+00, 1.21633e+00, -1.68503e-01 
1.22500e-01, 1.22200e+00, 1.21595e+00, -1.71995e-01 
1.25000e-01, 1.22186e+00, 1.21556e+00, -1.75486e-01 
1.27500e-01, 1.22172e+00, 1.21516e+00, -1.78976e-01 
1.30000e-01, 1.22157e+00, 1.21475e+00, -1.82464e-01 
1.32500e-01, 1.22142e+00, 1.21434e+00, -1.85952e-01 
1.35000e-01, 1.22127e+00, 1.21391e+00, -1.89438e-01 
1.37500e-01, 1.22111e+00, 1.21348e+00, -1.92923e-01 
1.40000e-01, 1.22095e+00, 1.21305e+00, -1.96407e-01 
1.42500e-01, 1.22079e+00, 1.21260e+00, -1.99889e-01 
1.45000e-01, 1.22063e+00, 1.21215e+00, -2.03370e-01 
1.47500e-01, 1.22046e+00, 1.21169e+00, -2.06850e-01 
1.50000e-01, 1.22029e+00, 1.21122e+00, -2.10328e-01 
1.52500e-01, 1.22012e+00, 1.21074e+00, -2.13805e-01 
1.55000e-01, 1.21994e+00, 1.21025e+00, -2.17281e-01 
1.57500e-01, 1.21976e+00, 1.20976e+00, -2.20755e-01 
1.60000e-01, 1.21958e+00, 1.20926e+00, -2.24228e-01 
1.62500e-01, 1.21940e+00, 1.20875e+00, -2.27699e-01 
1.65000e-01, 1.21921e+00, 1.20824e+00, -2.31169e-01 
1.67500e-01, 1.21902e+00, 1.20771e+00, -2.34637e-01 
1.70000e-01, 1.21883e+00, 1.20718e+00, -2.38103e-01 
1.72500e-01, 1.21863e+00, 1.20664e+00, -2.41568e-01 
1.75000e-01, 1.21843e+00, 1.20610e+00, -2.45032e-01 
1.77500e-01, 1.21823e+00, 1.20554e+00, -2.48494e-01 
1.80000e-01, 1.21803e+00, 1.20498e+00, -2.51954e-01 
1.82500e-01, 1.21782e+00, 1.20441e+00, -2.55413e-01 
1.85000e-01, 1.21761e+00, 1.20383e+00, -2.58869e-01 
1.87500e-01, 1.21740e+00, 1.20324e+00, -2.62325e-01 
1.90000e-01, 1.21718e+00, 1.20265e+00, -2.65778e-01 
1.92500e-01, 1.21697e+00, 1.20205e+00, -2.69230e-01 
1.95000e-01, 1.21675e+00, 1.20144e+00, -2.72680e-01 
1.97500e-01, 1.21652e+00, 1.20082e+00, -2.76128e-01 
2.00000e-01, 1.21630e+00, 1.20020e+00, -2.79574e-01 
2.02500e-01, 1.21607e+00, 1.19957e+00, -2.83018e-01 
2.05000e-01, 1.21583e+00, 1.19893e+00, -2.86461e-01 
2.07500e-01, 1.21560e+00, 1.19828e+00, -2.89902e-01 
2.10000e-01, 1.21536e+00, 1.19762e+00, -2.93340e-01 
2.12500e-01, 1.21512e+00, 1.19696e+00, -2.96777e-01 
2.15000e-01, 1.21488e+00, 1.19629e+00, -3.00212e-01 
2.17500e-01, 1.21463e+00, 1.19561e+00, -3.03645e-01 
2.20000e-01, 1.21438e+00, 1.19492e+00, -3.07076e-01 
2.22500e-01, 1.21413e+00, 1.19423e+00, -3.10505e-01 
2.25000e-01, 1.21387e+00, 1.19353e+00, -3.13932e-01 
2.27500e-01, 1.21362e+00, 1.19282e+00, -3.17356e-01 
2.30000e-01, 1.21336e+00, 1.19210e+00, -3.20779e-01 
2.32500e-01, 1.21309e+00, 1.19138e+00, -3.24200e-01 
2.35000e-01, 1.21283e+00, 1.19064e+00, -3.27618e-01 
2.37500e-01, 1.21256e+00, 1.18990e+00, -3.31034e-01 
2.40000e-01, 1.21229e+00, 1.18916e+00, -3.34448e-01 
2.42500e-01, 1.21201e+00, 1.18840e+00, -3.37860e-01 
2.45000e-01, 1.21174e+00, 1.18764e+00, -3.41270e-01 
2.47500e-01, 1.21146e+00, 1.18687e+00, -3.44677e-01 
2.50000e-01, 1.21117e+00, 1.18609e+00, -3.48082e-01 
2.52500e-01, 1.21089e+00, 1.18530e+00, -3.51485e-01 
2.55000e-01, 1.21060e+00, 1.18451e+00, -3.54886e-01 
2.57500e-01, 1.21031e+00, 1.18371e+00, -3.58284e-01 
2.60000e-01, 1.21001e+00, 1.18290e+00, -3.61680e-01 
2.62500e-01, 1.20972e+00, 1.18208e+00, -3.65073e-01 
2.65000e-01, 1.20942e+00, 1.18126e+00, -3.68464e-01 
2.67500e-01, 1.20911e+00, 1.18043e+00, -3.71853e-01 
2.70000e-01, 1.20881e+00, 1.17959e+00, -3.75239e-01 
2.72500e-01, 1.20850e+00, 1.17874e+00, -3.78622e-01 
2.75000e-01, 1.20819e+00, 1.17789e+00, -3.82004e-01 
2.77500e-01, 1.20788e+00, 1.17702e+00, -3.85382e-01 
2.80000e-01, 1.20756e+00, 1.17615e+00, -3.88758e-01 
2.82500e-01, 1.20724e+00, 1.17528e+00, -3.92132e-01 
2.85000e-01, 1.20692e+00, 1.17439e+00, -3.95503e-01 
2.87500e-01, 1.20660e+00, 1.17350e+00, -3.98871e-01 
2.90000e-01, 1.20627e+00, 1.17260e+00, -4.02237e-01 
2.92500e-01, 1.20594e+00, 1.17169e+00, -4.05600e-01 
2.95000e-01, 1.20561e+00, 1.17078e+00, -4.08961e-01 
2.97500e-01, 1.20527e+00, 1.16986e+00, -4.12318e-01 
3.00000e-01, 1.20493e+00, 1.16893e+00, -4.15673e-01 
3.02500e-01, 1.20459e+00, 1.16799e+00, -4.19026e-01 
3.05000e-01, 1.20425e+00, 1.16704e+00, -4.22375e-01 
3.07500e-01, 1.20390e+00, 1.16609e+00, -4.25722e-01 
3.10000e-01, 1.20355e+00, 1.16513e+00, -4.29066e-01 
3.12500e-01, 1.20320e+00, 1.16416e+00, -4.32407e-01 
3.15000e-01, 1.20284e+00, 1.16319e+00, -4.35745e-01 
3.17500e-01, 1.20248e+00, 1.16221e+00, -4.39080e-01 
3.20000e-01, 1.20212e+00, 1.16122e+00, -4.42413e-01 
3.22500e-01, 1.20176e+00, 1.16022e+00, -4.45742e-01 
3.25000e-01, 1.20139e+00, 1.15922e+00, -4.49069e-01 
